year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2024,WLD,Female,Lower-middle income (Medium risk),1379,,,,
2024,WLD,Female,Medium-income (Low risk),592,,,,
2024,WLD,Female,Rural poor (High risk),160,,,,
2024,WLD,Female,Urban poor (High risk),353,,,,
2024,WLD,Male,Lower-middle income (Medium risk),1449,,,,
2024,WLD,Male,Medium-income (Low risk),605,,,,
2024,WLD,Male,Rural poor (High risk),150,,,,
2024,WLD,Male,Urban poor (High risk),343,,,,
2013,AFG,Total,Lower-middle income (Medium risk),0,,,,
2014,AFG,Total,Lower-middle income (Medium risk),0,,,,
2015,AFG,Total,Lower-middle income (Medium risk),0,,,,
2016,AFG,Total,Lower-middle income (Medium risk),0,,,,
2017,AFG,Total,Lower-middle income (Medium risk),0,,,,
2018,AFG,Total,Lower-middle income (Medium risk),0,,,,
2019,AFG,Total,Lower-middle income (Medium risk),0,,,,
2020,AFG,Total,Lower-middle income (Medium risk),0,,,,
2021,AFG,Total,Lower-middle income (Medium risk),0,,,,
2022,AFG,Total,Lower-middle income (Medium risk),0,,,,
2023,AFG,Total,Lower-middle income (Medium risk),0,,,,
2024,AFG,Total,Lower-middle income (Medium risk),0,,,,
2013,AFG,Total,Medium-income (Low risk),0,,,,
2014,AFG,Total,Medium-income (Low risk),0,,,,
2015,AFG,Total,Medium-income (Low risk),0,,,,
2016,AFG,Total,Medium-income (Low risk),0,,,,
2017,AFG,Total,Medium-income (Low risk),0,,,,
2018,AFG,Total,Medium-income (Low risk),0,,,,
2019,AFG,Total,Medium-income (Low risk),0,,,,
2020,AFG,Total,Medium-income (Low risk),0,,,,
2021,AFG,Total,Medium-income (Low risk),0,,,,
2022,AFG,Total,Medium-income (Low risk),0,,,,
2023,AFG,Total,Medium-income (Low risk),0,,,,
2024,AFG,Total,Medium-income (Low risk),112,,,,
2013,AFG,Total,Rural poor (High risk),0,,,,
2014,AFG,Total,Rural poor (High risk),0,,,,
2015,AFG,Total,Rural poor (High risk),0,,,,
2016,AFG,Total,Rural poor (High risk),0,,,,
2017,AFG,Total,Rural poor (High risk),0,,,,
2018,AFG,Total,Rural poor (High risk),0,,,,
2019,AFG,Total,Rural poor (High risk),0,,,,
2020,AFG,Total,Rural poor (High risk),0,,,,
2021,AFG,Total,Rural poor (High risk),0,,,,
2022,AFG,Total,Rural poor (High risk),0,,,,
2023,AFG,Total,Rural poor (High risk),0,,,,
2024,AFG,Total,Rural poor (High risk),3.6,,,,
2013,AFG,Total,Urban poor (High risk),0.81,,,,
2014,AFG,Total,Urban poor (High risk),0.88,,,,
2015,AFG,Total,Urban poor (High risk),0.89,,,,
2016,AFG,Total,Urban poor (High risk),0.98,,,,
2017,AFG,Total,Urban poor (High risk),0.99,,,,
2018,AFG,Total,Urban poor (High risk),1,,,,
2019,AFG,Total,Urban poor (High risk),1.1,,,,
2020,AFG,Total,Urban poor (High risk),1.1,,,,
2021,AFG,Total,Urban poor (High risk),1.2,,,,
2022,AFG,Total,Urban poor (High risk),1.2,,,,
2023,AFG,Total,Urban poor (High risk),1.3,,,,
2024,AFG,Total,Urban poor (High risk),0.42,,,,
2013,AGO,Total,Lower-middle income (Medium risk),9.8,,,,
2014,AGO,Total,Lower-middle income (Medium risk),9.4,,,,
2015,AGO,Total,Lower-middle income (Medium risk),8.1,,,,
2016,AGO,Total,Lower-middle income (Medium risk),8.3,,,,
2017,AGO,Total,Lower-middle income (Medium risk),8,,,,
2018,AGO,Total,Lower-middle income (Medium risk),7.2,,,,
2019,AGO,Total,Lower-middle income (Medium risk),5.9,,,,
2020,AGO,Total,Lower-middle income (Medium risk),6,,,,
2021,AGO,Total,Lower-middle income (Medium risk),6.4,,,,
2022,AGO,Total,Lower-middle income (Medium risk),5.7,,,,
2023,AGO,Total,Lower-middle income (Medium risk),6.4,,,,
2024,AGO,Total,Lower-middle income (Medium risk),0.12,,,,
2013,AGO,Total,Medium-income (Low risk),3.3,,,,
2014,AGO,Total,Medium-income (Low risk),3.4,,,,
2015,AGO,Total,Medium-income (Low risk),3.6,,,,
2016,AGO,Total,Medium-income (Low risk),3.5,,,,
2017,AGO,Total,Medium-income (Low risk),3.3,,,,
2018,AGO,Total,Medium-income (Low risk),3.1,,,,
2019,AGO,Total,Medium-income (Low risk),2.8,,,,
2020,AGO,Total,Medium-income (Low risk),2.7,,,,
2021,AGO,Total,Medium-income (Low risk),2.5,,,,
2022,AGO,Total,Medium-income (Low risk),3.2,,,,
2023,AGO,Total,Medium-income (Low risk),2.6,,,,
2024,AGO,Total,Medium-income (Low risk),0.11,,,,
2013,AGO,Total,Rural poor (High risk),2.4,,,,
2014,AGO,Total,Rural poor (High risk),2.6,,,,
2015,AGO,Total,Rural poor (High risk),2.8,,,,
2016,AGO,Total,Rural poor (High risk),3.2,,,,
2017,AGO,Total,Rural poor (High risk),3.6,,,,
2018,AGO,Total,Rural poor (High risk),4.2,,,,
2019,AGO,Total,Rural poor (High risk),4.8,,,,
2020,AGO,Total,Rural poor (High risk),5.3,,,,
2021,AGO,Total,Rural poor (High risk),5.4,,,,
2022,AGO,Total,Rural poor (High risk),5.4,,,,
2023,AGO,Total,Rural poor (High risk),5.5,,,,
2024,AGO,Total,Rural poor (High risk),2.2,,,,
2013,AGO,Total,Urban poor (High risk),8.7,,,,
2014,AGO,Total,Urban poor (High risk),9.7,,,,
2015,AGO,Total,Urban poor (High risk),12,,,,
2016,AGO,Total,Urban poor (High risk),12,,,,
2017,AGO,Total,Urban poor (High risk),13,,,,
2018,AGO,Total,Urban poor (High risk),15,,,,
2019,AGO,Total,Urban poor (High risk),17,,,,
2020,AGO,Total,Urban poor (High risk),18,,,,
2021,AGO,Total,Urban poor (High risk),18,,,,
2022,AGO,Total,Urban poor (High risk),19,,,,
2023,AGO,Total,Urban poor (High risk),20,,,,
2024,AGO,Total,Urban poor (High risk),35,,,,
2013,ARG,Total,Lower-middle income (Medium risk),2.5,,,,
2014,ARG,Total,Lower-middle income (Medium risk),2.4,,,,
2015,ARG,Total,Lower-middle income (Medium risk),3.8,,,,
2016,ARG,Total,Lower-middle income (Medium risk),3.2,,,,
2017,ARG,Total,Lower-middle income (Medium risk),3.2,,,,
2018,ARG,Total,Lower-middle income (Medium risk),2.3,,,,
2019,ARG,Total,Lower-middle income (Medium risk),3.6,,,,
2020,ARG,Total,Lower-middle income (Medium risk),4.9,,,,
2021,ARG,Total,Lower-middle income (Medium risk),7,,,,
2022,ARG,Total,Lower-middle income (Medium risk),5,,,,
2023,ARG,Total,Lower-middle income (Medium risk),5.8,,,,
2024,ARG,Total,Lower-middle income (Medium risk),1.5,,,,
2013,ARG,Total,Medium-income (Low risk),12,,,,
2014,ARG,Total,Medium-income (Low risk),12,,,,
2015,ARG,Total,Medium-income (Low risk),13,,,,
2016,ARG,Total,Medium-income (Low risk),12,,,,
2017,ARG,Total,Medium-income (Low risk),12,,,,
2018,ARG,Total,Medium-income (Low risk),12,,,,
2019,ARG,Total,Medium-income (Low risk),13,,,,
2020,ARG,Total,Medium-income (Low risk),13,,,,
2021,ARG,Total,Medium-income (Low risk),14,,,,
2022,ARG,Total,Medium-income (Low risk),15,,,,
2023,ARG,Total,Medium-income (Low risk),14,,,,
2024,ARG,Total,Medium-income (Low risk),0.41,,,,
2013,ARG,Total,Rural poor (High risk),0.085,,,,
2014,ARG,Total,Rural poor (High risk),0.083,,,,
2015,ARG,Total,Rural poor (High risk),0.081,,,,
2016,ARG,Total,Rural poor (High risk),0.083,,,,
2017,ARG,Total,Rural poor (High risk),0.091,,,,
2018,ARG,Total,Rural poor (High risk),0.057,,,,
2019,ARG,Total,Rural poor (High risk),0.11,,,,
2020,ARG,Total,Rural poor (High risk),0.11,,,,
2021,ARG,Total,Rural poor (High risk),0.15,,,,
2022,ARG,Total,Rural poor (High risk),0.13,,,,
2023,ARG,Total,Rural poor (High risk),0.13,,,,
2024,ARG,Total,Rural poor (High risk),27,,,,
2013,ARG,Total,Urban poor (High risk),4.5,,,,
2014,ARG,Total,Urban poor (High risk),4.6,,,,
2015,ARG,Total,Urban poor (High risk),4.6,,,,
2016,ARG,Total,Urban poor (High risk),4.6,,,,
2017,ARG,Total,Urban poor (High risk),4.7,,,,
2018,ARG,Total,Urban poor (High risk),4.7,,,,
2019,ARG,Total,Urban poor (High risk),4.9,,,,
2020,ARG,Total,Urban poor (High risk),4.9,,,,
2021,ARG,Total,Urban poor (High risk),5.1,,,,
2022,ARG,Total,Urban poor (High risk),5.1,,,,
2023,ARG,Total,Urban poor (High risk),5.1,,,,
2024,ARG,Total,Urban poor (High risk),34,,,,
2013,BEN,Total,Lower-middle income (Medium risk),1.6,,,,
2014,BEN,Total,Lower-middle income (Medium risk),1.7,,,,
2015,BEN,Total,Lower-middle income (Medium risk),1.8,,,,
2016,BEN,Total,Lower-middle income (Medium risk),1.8,,,,
2017,BEN,Total,Lower-middle income (Medium risk),2,,,,
2018,BEN,Total,Lower-middle income (Medium risk),2.9,,,,
2019,BEN,Total,Lower-middle income (Medium risk),4.6,,,,
2020,BEN,Total,Lower-middle income (Medium risk),5.4,,,,
2021,BEN,Total,Lower-middle income (Medium risk),5.7,,,,
2022,BEN,Total,Lower-middle income (Medium risk),5.7,,,,
2023,BEN,Total,Lower-middle income (Medium risk),5.7,,,,
2024,BEN,Total,Lower-middle income (Medium risk),19,,,,
2013,BEN,Total,Medium-income (Low risk),0.3,,,,
2014,BEN,Total,Medium-income (Low risk),0.33,,,,
2015,BEN,Total,Medium-income (Low risk),0.38,,,,
2016,BEN,Total,Medium-income (Low risk),0.39,,,,
2017,BEN,Total,Medium-income (Low risk),0.37,,,,
2018,BEN,Total,Medium-income (Low risk),0.44,,,,
2019,BEN,Total,Medium-income (Low risk),0.58,,,,
2020,BEN,Total,Medium-income (Low risk),0.71,,,,
2021,BEN,Total,Medium-income (Low risk),0.6,,,,
2022,BEN,Total,Medium-income (Low risk),0.79,,,,
2023,BEN,Total,Medium-income (Low risk),0.91,,,,
2024,BEN,Total,Medium-income (Low risk),0.11,,,,
2013,BEN,Total,Rural poor (High risk),3.6,,,,
2014,BEN,Total,Rural poor (High risk),3.6,,,,
2015,BEN,Total,Rural poor (High risk),3.5,,,,
2016,BEN,Total,Rural poor (High risk),3.6,,,,
2017,BEN,Total,Rural poor (High risk),3.6,,,,
2018,BEN,Total,Rural poor (High risk),2.9,,,,
2019,BEN,Total,Rural poor (High risk),2,,,,
2020,BEN,Total,Rural poor (High risk),1.5,,,,
2021,BEN,Total,Rural poor (High risk),1.6,,,,
2022,BEN,Total,Rural poor (High risk),1.6,,,,
2023,BEN,Total,Rural poor (High risk),1.6,,,,
2024,BEN,Total,Rural poor (High risk),0,,,,
2013,BEN,Total,Urban poor (High risk),4.4,,,,
2014,BEN,Total,Urban poor (High risk),4.6,,,,
2015,BEN,Total,Urban poor (High risk),4.8,,,,
2016,BEN,Total,Urban poor (High risk),5,,,,
2017,BEN,Total,Urban poor (High risk),5.2,,,,
2018,BEN,Total,Urban poor (High risk),5.3,,,,
2019,BEN,Total,Urban poor (High risk),4.6,,,,
2020,BEN,Total,Urban poor (High risk),4.5,,,,
2021,BEN,Total,Urban poor (High risk),4.6,,,,
2022,BEN,Total,Urban poor (High risk),4.8,,,,
2023,BEN,Total,Urban poor (High risk),4.9,,,,
2024,BEN,Total,Urban poor (High risk),2.7,,,,
2013,BFA,Total,Lower-middle income (Medium risk),7,,,,
2014,BFA,Total,Lower-middle income (Medium risk),7.7,,,,
2015,BFA,Total,Lower-middle income (Medium risk),8.3,,,,
2016,BFA,Total,Lower-middle income (Medium risk),8.5,,,,
2017,BFA,Total,Lower-middle income (Medium risk),9.7,,,,
2018,BFA,Total,Lower-middle income (Medium risk),11,,,,
2019,BFA,Total,Lower-middle income (Medium risk),12,,,,
2020,BFA,Total,Lower-middle income (Medium risk),12,,,,
2021,BFA,Total,Lower-middle income (Medium risk),13,,,,
2022,BFA,Total,Lower-middle income (Medium risk),13,,,,
2023,BFA,Total,Lower-middle income (Medium risk),14,,,,
2024,BFA,Total,Lower-middle income (Medium risk),3.9,,,,
2013,BFA,Total,Medium-income (Low risk),0.07,,,,
2014,BFA,Total,Medium-income (Low risk),0.12,,,,
2015,BFA,Total,Medium-income (Low risk),0.15,,,,
2016,BFA,Total,Medium-income (Low risk),0.092,,,,
2017,BFA,Total,Medium-income (Low risk),0,,,,
2018,BFA,Total,Medium-income (Low risk),0,,,,
2019,BFA,Total,Medium-income (Low risk),0,,,,
2020,BFA,Total,Medium-income (Low risk),0,,,,
2021,BFA,Total,Medium-income (Low risk),0,,,,
2022,BFA,Total,Medium-income (Low risk),0,,,,
2023,BFA,Total,Medium-income (Low risk),0,,,,
2024,BFA,Total,Medium-income (Low risk),0.76,,,,
2013,BFA,Total,Rural poor (High risk),6,,,,
2014,BFA,Total,Rural poor (High risk),5.8,,,,
2015,BFA,Total,Rural poor (High risk),5.7,,,,
2016,BFA,Total,Rural poor (High risk),6,,,,
2017,BFA,Total,Rural poor (High risk),5.5,,,,
2018,BFA,Total,Rural poor (High risk),5.2,,,,
2019,BFA,Total,Rural poor (High risk),4.9,,,,
2020,BFA,Total,Rural poor (High risk),4.9,,,,
2021,BFA,Total,Rural poor (High risk),5,,,,
2022,BFA,Total,Rural poor (High risk),5.1,,,,
2023,BFA,Total,Rural poor (High risk),5.1,,,,
2024,BFA,Total,Rural poor (High risk),7.4,,,,
2013,BFA,Total,Urban poor (High risk),3.9,,,,
2014,BFA,Total,Urban poor (High risk),3.9,,,,
2015,BFA,Total,Urban poor (High risk),3.9,,,,
2016,BFA,Total,Urban poor (High risk),4,,,,
2017,BFA,Total,Urban poor (High risk),3.9,,,,
2018,BFA,Total,Urban poor (High risk),3.8,,,,
2019,BFA,Total,Urban poor (High risk),3.7,,,,
2020,BFA,Total,Urban poor (High risk),3.7,,,,
2021,BFA,Total,Urban poor (High risk),3.8,,,,
2022,BFA,Total,Urban poor (High risk),3.8,,,,
2023,BFA,Total,Urban poor (High risk),3.8,,,,
2024,BFA,Total,Urban poor (High risk),4.3,,,,
2013,BGD,Total,Lower-middle income (Medium risk),100,,,,
2014,BGD,Total,Lower-middle income (Medium risk),101,,,,
2015,BGD,Total,Lower-middle income (Medium risk),103,,,,
2016,BGD,Total,Lower-middle income (Medium risk),106,,,,
2017,BGD,Total,Lower-middle income (Medium risk),107,,,,
2018,BGD,Total,Lower-middle income (Medium risk),113,,,,
2019,BGD,Total,Lower-middle income (Medium risk),116,,,,
2020,BGD,Total,Lower-middle income (Medium risk),118,,,,
2021,BGD,Total,Lower-middle income (Medium risk),115,,,,
2022,BGD,Total,Lower-middle income (Medium risk),124,,,,
2023,BGD,Total,Lower-middle income (Medium risk),126,,,,
2024,BGD,Total,Lower-middle income (Medium risk),7.7,,,,
2013,BGD,Total,Medium-income (Low risk),5.4,,,,
2014,BGD,Total,Medium-income (Low risk),5.6,,,,
2015,BGD,Total,Medium-income (Low risk),5.9,,,,
2016,BGD,Total,Medium-income (Low risk),6.3,,,,
2017,BGD,Total,Medium-income (Low risk),6.6,,,,
2018,BGD,Total,Medium-income (Low risk),8.3,,,,
2019,BGD,Total,Medium-income (Low risk),9.6,,,,
2020,BGD,Total,Medium-income (Low risk),11,,,,
2021,BGD,Total,Medium-income (Low risk),11,,,,
2022,BGD,Total,Medium-income (Low risk),5.1,,,,
2023,BGD,Total,Medium-income (Low risk),6.5,,,,
2024,BGD,Total,Medium-income (Low risk),0.74,,,,
2013,BGD,Total,Rural poor (High risk),19,,,,
2014,BGD,Total,Rural poor (High risk),18,,,,
2015,BGD,Total,Rural poor (High risk),17,,,,
2016,BGD,Total,Rural poor (High risk),17,,,,
2017,BGD,Total,Rural poor (High risk),16,,,,
2018,BGD,Total,Rural poor (High risk),12,,,,
2019,BGD,Total,Rural poor (High risk),9.7,,,,
2020,BGD,Total,Rural poor (High risk),8.6,,,,
2021,BGD,Total,Rural poor (High risk),11,,,,
2022,BGD,Total,Rural poor (High risk),9.5,,,,
2023,BGD,Total,Rural poor (High risk),8,,,,
2024,BGD,Total,Rural poor (High risk),15,,,,
2013,BGD,Total,Urban poor (High risk),27,,,,
2014,BGD,Total,Urban poor (High risk),28,,,,
2015,BGD,Total,Urban poor (High risk),28,,,,
2016,BGD,Total,Urban poor (High risk),28,,,,
2017,BGD,Total,Urban poor (High risk),29,,,,
2018,BGD,Total,Urban poor (High risk),27,,,,
2019,BGD,Total,Urban poor (High risk),27,,,,
2020,BGD,Total,Urban poor (High risk),27,,,,
2021,BGD,Total,Urban poor (High risk),29,,,,
2022,BGD,Total,Urban poor (High risk),29,,,,
2023,BGD,Total,Urban poor (High risk),29,,,,
2024,BGD,Total,Urban poor (High risk),1.1,,,,
2013,BLZ,Total,Lower-middle income (Medium risk),0.018,,,,
2014,BLZ,Total,Lower-middle income (Medium risk),0.019,,,,
2015,BLZ,Total,Lower-middle income (Medium risk),0.019,,,,
2016,BLZ,Total,Lower-middle income (Medium risk),0.019,,,,
2017,BLZ,Total,Lower-middle income (Medium risk),0.02,,,,
2018,BLZ,Total,Lower-middle income (Medium risk),0.021,,,,
2019,BLZ,Total,Lower-middle income (Medium risk),0.021,,,,
2020,BLZ,Total,Lower-middle income (Medium risk),0.021,,,,
2021,BLZ,Total,Lower-middle income (Medium risk),0.022,,,,
2022,BLZ,Total,Lower-middle income (Medium risk),0.022,,,,
2023,BLZ,Total,Lower-middle income (Medium risk),0.022,,,,
2024,BLZ,Total,Lower-middle income (Medium risk),0.061,,,,
2013,BLZ,Total,Medium-income (Low risk),0.0041,,,,
2014,BLZ,Total,Medium-income (Low risk),0.0045,,,,
2015,BLZ,Total,Medium-income (Low risk),0.0046,,,,
2016,BLZ,Total,Medium-income (Low risk),0.0049,,,,
2017,BLZ,Total,Medium-income (Low risk),0.0049,,,,
2018,BLZ,Total,Medium-income (Low risk),0.0048,,,,
2019,BLZ,Total,Medium-income (Low risk),0.0049,,,,
2020,BLZ,Total,Medium-income (Low risk),0.0052,,,,
2021,BLZ,Total,Medium-income (Low risk),0.0042,,,,
2022,BLZ,Total,Medium-income (Low risk),0.0052,,,,
2023,BLZ,Total,Medium-income (Low risk),0.0052,,,,
2024,BLZ,Total,Medium-income (Low risk),521,,,,
2013,BLZ,Total,Rural poor (High risk),0.0044,,,,
2014,BLZ,Total,Rural poor (High risk),0.0042,,,,
2015,BLZ,Total,Rural poor (High risk),0.0043,,,,
2016,BLZ,Total,Rural poor (High risk),0.0043,,,,
2017,BLZ,Total,Rural poor (High risk),0.0044,,,,
2018,BLZ,Total,Rural poor (High risk),0.0045,,,,
2019,BLZ,Total,Rural poor (High risk),0.0046,,,,
2020,BLZ,Total,Rural poor (High risk),0.0046,,,,
2021,BLZ,Total,Rural poor (High risk),0.0054,,,,
2022,BLZ,Total,Rural poor (High risk),0.0051,,,,
2023,BLZ,Total,Rural poor (High risk),0.0051,,,,
2024,BLZ,Total,Rural poor (High risk),0.52,,,,
2013,BLZ,Total,Urban poor (High risk),0.0046,,,,
2014,BLZ,Total,Urban poor (High risk),0.0045,,,,
2015,BLZ,Total,Urban poor (High risk),0.0046,,,,
2016,BLZ,Total,Urban poor (High risk),0.0047,,,,
2017,BLZ,Total,Urban poor (High risk),0.0048,,,,
2018,BLZ,Total,Urban poor (High risk),0.0049,,,,
2019,BLZ,Total,Urban poor (High risk),0.005,,,,
2020,BLZ,Total,Urban poor (High risk),0.005,,,,
2021,BLZ,Total,Urban poor (High risk),0.0057,,,,
2022,BLZ,Total,Urban poor (High risk),0.0056,,,,
2023,BLZ,Total,Urban poor (High risk),0.0056,,,,
2024,BLZ,Total,Urban poor (High risk),0,,,,
2013,BOL,Total,Lower-middle income (Medium risk),0.8,,,,
2014,BOL,Total,Lower-middle income (Medium risk),0.64,,,,
2015,BOL,Total,Lower-middle income (Medium risk),0.74,,,,
2016,BOL,Total,Lower-middle income (Medium risk),0.79,,,,
2017,BOL,Total,Lower-middle income (Medium risk),0.7,,,,
2018,BOL,Total,Lower-middle income (Medium risk),0.67,,,,
2019,BOL,Total,Lower-middle income (Medium risk),0.73,,,,
2020,BOL,Total,Lower-middle income (Medium risk),0.58,,,,
2021,BOL,Total,Lower-middle income (Medium risk),0.68,,,,
2022,BOL,Total,Lower-middle income (Medium risk),0.52,,,,
2023,BOL,Total,Lower-middle income (Medium risk),0.34,,,,
2024,BOL,Total,Lower-middle income (Medium risk),3.2,,,,
2013,BOL,Total,Medium-income (Low risk),3.4,,,,
2014,BOL,Total,Medium-income (Low risk),3.5,,,,
2015,BOL,Total,Medium-income (Low risk),3.6,,,,
2016,BOL,Total,Medium-income (Low risk),3.6,,,,
2017,BOL,Total,Medium-income (Low risk),3.6,,,,
2018,BOL,Total,Medium-income (Low risk),3.7,,,,
2019,BOL,Total,Medium-income (Low risk),4,,,,
2020,BOL,Total,Medium-income (Low risk),4.3,,,,
2021,BOL,Total,Medium-income (Low risk),4.2,,,,
2022,BOL,Total,Medium-income (Low risk),4.5,,,,
2023,BOL,Total,Medium-income (Low risk),4.7,,,,
2024,BOL,Total,Medium-income (Low risk),0.1,,,,
2013,BOL,Total,Rural poor (High risk),0.34,,,,
2014,BOL,Total,Rural poor (High risk),0.27,,,,
2015,BOL,Total,Rural poor (High risk),0.23,,,,
2016,BOL,Total,Rural poor (High risk),0.25,,,,
2017,BOL,Total,Rural poor (High risk),0.31,,,,
2018,BOL,Total,Rural poor (High risk),0.27,,,,
2019,BOL,Total,Rural poor (High risk),0.18,,,,
2020,BOL,Total,Rural poor (High risk),0.11,,,,
2021,BOL,Total,Rural poor (High risk),0.18,,,,
2022,BOL,Total,Rural poor (High risk),0.11,,,,
2023,BOL,Total,Rural poor (High risk),0.11,,,,
2024,BOL,Total,Rural poor (High risk),1.1,,,,
2013,BOL,Total,Urban poor (High risk),2.8,,,,
2014,BOL,Total,Urban poor (High risk),2.7,,,,
2015,BOL,Total,Urban poor (High risk),2.7,,,,
2016,BOL,Total,Urban poor (High risk),2.8,,,,
2017,BOL,Total,Urban poor (High risk),2.9,,,,
2018,BOL,Total,Urban poor (High risk),3,,,,
2019,BOL,Total,Urban poor (High risk),2.9,,,,
2020,BOL,Total,Urban poor (High risk),2.8,,,,
2021,BOL,Total,Urban poor (High risk),3,,,,
2022,BOL,Total,Urban poor (High risk),2.9,,,,
2023,BOL,Total,Urban poor (High risk),3,,,,
2024,BOL,Total,Urban poor (High risk),34,,,,
2013,BRA,Total,Lower-middle income (Medium risk),58,,,,
2014,BRA,Total,Lower-middle income (Medium risk),55,,,,
2015,BRA,Total,Lower-middle income (Medium risk),53,,,,
2016,BRA,Total,Lower-middle income (Medium risk),54,,,,
2017,BRA,Total,Lower-middle income (Medium risk),56,,,,
2018,BRA,Total,Lower-middle income (Medium risk),55,,,,
2019,BRA,Total,Lower-middle income (Medium risk),53,,,,
2020,BRA,Total,Lower-middle income (Medium risk),52,,,,
2021,BRA,Total,Lower-middle income (Medium risk),49,,,,
2022,BRA,Total,Lower-middle income (Medium risk),60,,,,
2023,BRA,Total,Lower-middle income (Medium risk),59,,,,
2024,BRA,Total,Lower-middle income (Medium risk),0.73,,,,
2013,BRA,Total,Medium-income (Low risk),60,,,,
2014,BRA,Total,Medium-income (Low risk),62,,,,
2015,BRA,Total,Medium-income (Low risk),63,,,,
2016,BRA,Total,Medium-income (Low risk),64,,,,
2017,BRA,Total,Medium-income (Low risk),62,,,,
2018,BRA,Total,Medium-income (Low risk),63,,,,
2019,BRA,Total,Medium-income (Low risk),63,,,,
2020,BRA,Total,Medium-income (Low risk),64,,,,
2021,BRA,Total,Medium-income (Low risk),76,,,,
2022,BRA,Total,Medium-income (Low risk),63,,,,
2023,BRA,Total,Medium-income (Low risk),64,,,,
2024,BRA,Total,Medium-income (Low risk),0.38,,,,
2013,BRA,Total,Rural poor (High risk),3.2,,,,
2014,BRA,Total,Rural poor (High risk),2.7,,,,
2015,BRA,Total,Rural poor (High risk),2.4,,,,
2016,BRA,Total,Rural poor (High risk),2.8,,,,
2017,BRA,Total,Rural poor (High risk),3.4,,,,
2018,BRA,Total,Rural poor (High risk),3.8,,,,
2019,BRA,Total,Rural poor (High risk),3.9,,,,
2020,BRA,Total,Rural poor (High risk),3.9,,,,
2021,BRA,Total,Rural poor (High risk),1.4,,,,
2022,BRA,Total,Rural poor (High risk),4.3,,,,
2023,BRA,Total,Rural poor (High risk),4.3,,,,
2024,BRA,Total,Rural poor (High risk),13,,,,
2013,BRA,Total,Urban poor (High risk),25,,,,
2014,BRA,Total,Urban poor (High risk),24,,,,
2015,BRA,Total,Urban poor (High risk),24,,,,
2016,BRA,Total,Urban poor (High risk),25,,,,
2017,BRA,Total,Urban poor (High risk),26,,,,
2018,BRA,Total,Urban poor (High risk),28,,,,
2019,BRA,Total,Urban poor (High risk),28,,,,
2020,BRA,Total,Urban poor (High risk),28,,,,
2021,BRA,Total,Urban poor (High risk),23,,,,
2022,BRA,Total,Urban poor (High risk),30,,,,
2023,BRA,Total,Urban poor (High risk),30,,,,
