year,geog,value
1995,BRA,10.62
1996,BRA,10.19
1997,BRA,10.4
1998,BRA,10.71
1999,BRA,11.48
2001,BRA,10.58
2002,BRA,10.79
2003,BRA,10.54
2004,BRA,11.38
2005,BRA,10.2
2006,BRA,11.07
2007,BRA,11.09
2008,BRA,11.6
2009,BRA,11.2
2011,BRA,11.35
2012,BRA,11.84
2013,BRA,11.69
2014,BRA,11.76
2015,BRA,11.83
2016,BRA,11.63
2017,BRA,10.69
2018,BRA,10.87
2019,BRA,11.28
2020,BRA,11.03
2021,BRA,11.1
1994,VGB,24.24
1994,BRN,15.98
1995,BRN,14.1
1996,BRN,17.38
1997,BRN,16.24
1998,BRN,16.14
1999,BRN,17.62
2000,BRN,18.16
2001,BRN,15.85
2002,BRN,14.99
2003,BRN,16.56
2014,BRN,83.74
2017,BRN,11.17
2018,BRN,32.01
2019,BRN,6.16
2020,BRN,12.83
1996,BGR,32.14
1997,BGR,31.1
1998,BGR,29.66
1999,BGR,30.45
2000,BGR,33.23
2001,BGR,29.46
2002,BGR,29.78
2003,BGR,28.69
2004,BGR,31.83
2005,BGR,30.5
2006,BGR,29.86
2007,BGR,28.69
2008,BGR,29.91
2009,BGR,30.26
2010,BGR,31.47
2011,BGR,28.84
2012,BGR,26.99
2013,BGR,26.93
2014,BGR,27.17
2015,BGR,26.19
2016,BGR,26.82
2017,BGR,28.88
2018,BGR,29.27
2019,BGR,29.93
2020,BGR,29.91
2021,BGR,30.35
2014,BFA,24.27
2018,BFA,21.17
2014,BDI,31.53
2020,BDI,49.29
2017,CPV,8.63
2018,CPV,12.93
2019,CPV,7.35
2007,KHM,49.11
2008,KHM,47.4
2009,KHM,49.29
2010,KHM,48.92
2011,KHM,48.86
2013,KHM,46.3
2014,KHM,45.43
2015,KHM,49.16
2016,KHM,43.15
2017,KHM,46.56
2000,KHM,45.33
2001,KHM,49.88
2012,KHM,44.25
2019,KHM,46.86
2007,CMR,16.59
2014,CMR,20.51
1990,CAN,37.82
1991,CAN,37.72
1992,CAN,36
1993,CAN,34.43
1994,CAN,36.41
1995,CAN,35.01
1996,CAN,33.7
1997,CAN,35.28
1998,CAN,36.71
1999,CAN,36.35
2000,CAN,36.56
2001,CAN,35.4
2002,CAN,36.78
2003,CAN,34.26
2004,CAN,36.11
2005,CAN,36.93
2006,CAN,36.47
2007,CAN,36.63
2008,CAN,36.96
2009,CAN,35.11
2010,CAN,34.59
2011,CAN,36
2012,CAN,35.86
2013,CAN,35.26
2014,CAN,33.52
2015,CAN,34.8
2016,CAN,35.8
2017,CAN,36.08
2018,CAN,34.86
2019,CAN,38.21
2020,CAN,37.91
2021,CAN,37.13
2022,CAN,34.4
2012,CYM,16.52
2013,CYM,17.62
2014,CYM,18.87
2015,CYM,11.26
1990,TCD,4.41
1991,TCD,8.39
2018,TCD,39.85
1990,CHL,11.54
1992,CHL,15.55
1994,CHL,14.71
2009,CHL,24.18
2006,CHL,17.32
2007,CHL,18.46
2008,CHL,18.97
2010,CHL,18.86
2011,CHL,19.79
2012,CHL,19.99
2013,CHL,22.07
2014,CHL,21.36
2015,CHL,20.62
2016,CHL,23.66
2017,CHL,23.51
2018,CHL,23.69
2019,CHL,22.95
2020,CHL,22.64
2021,CHL,22.89
1992,MAC,12.95
1999,MAC,0
2000,MAC,0
2003,MAC,0
2004,MAC,33.33
2005,MAC,50
2006,MAC,66.67
2007,MAC,100
2008,MAC,66.67
2009,MAC,50
2010,MAC,50
2011,MAC,60
2012,MAC,50
1990,CHN,37.44
1991,CHN,37.45
1992,CHN,36.94
2003,CHN,36.35
2004,CHN,36.97
2005,CHN,37.13
2006,CHN,37.57
2007,CHN,36.9
2001,COL,9.27
2002,COL,9.43
2003,COL,10.11
2004,COL,10.37
2005,COL,10.88
2006,COL,9.74
1992,COL,33.17
1993,COL,31.52
1994,COL,34.1
1995,COL,31.21
1996,COL,35.12
1997,COL,26.12
1998,COL,31.26
1999,COL,27.51
2000,COL,26.95
2007,COL,10.21
2008,COL,10.57
2009,COL,9.61
2010,COL,10.97
2011,COL,10.57
2012,COL,11.54
2013,COL,10.76
2014,COL,11.08
2015,COL,12.87
2016,COL,12.12
2017,COL,11.75
2018,COL,12.05
2019,COL,10.96
2020,COL,10.93
2021,COL,12.17
2004,COM,16.84
2014,COM,14.55
2005,COG,20.05
2009,COG,84.53
1990,COK,12.7
1993,COK,13.57
2016,COK,32.2
2019,COK,9.86
1990,CRI,7.82
1991,CRI,8.98
1992,CRI,8.32
1993,CRI,9.38
1994,CRI,8.36
1995,CRI,10.23
1996,CRI,9.01
1997,CRI,9.99
1998,CRI,9.92
2000,CRI,9.49
2001,CRI,9.21
2002,CRI,9.6
2003,CRI,9.88
2004,CRI,8.97
2005,CRI,11.21
2006,CRI,13.24
2007,CRI,15.3
2008,CRI,14.29
2009,CRI,12.47
2010,CRI,13.78
2011,CRI,12.06
2012,CRI,12.06
2013,CRI,12.07
2014,CRI,13.82
2015,CRI,12.89
2016,CRI,11.85
2017,CRI,12.77
2018,CRI,12.68
2019,CRI,12.55
2020,CRI,12.78
2021,CRI,12.4
2012,CIV,14.1
2013,CIV,15.08
2016,CIV,8.68
2017,CIV,7.28
2019,CIV,11.72
1990,HRV,24.01
1991,HRV,24.83
1992,HRV,25.14
1993,HRV,25.34
1994,HRV,25.2
1995,HRV,24.74
1996,HRV,22.06
1997,HRV,25.65
1998,HRV,23.72
1999,HRV,29.81
2000,HRV,27.49
2001,HRV,29.23
2002,HRV,20.96
2003,HRV,19.27
2004,HRV,27.67
2005,HRV,22.91
2006,HRV,23.89
2007,HRV,25.07
2008,HRV,24.31
2009,HRV,28.16
2010,HRV,27.62
2011,HRV,25.37
2012,HRV,29.97
2013,HRV,28.58
2014,HRV,24.24
2015,HRV,19.45
2016,HRV,19.3
2017,HRV,21.84
2018,HRV,27.09
2019,HRV,22.42
2020,HRV,25.65
2021,HRV,33.83
1999,CUB,22.37
2000,CUB,23.65
2001,CUB,17.73
2002,CUB,21.74
2003,CUB,19.33
2004,CUB,29.07
2005,CUB,27.73
2006,CUB,27.75
2007,CUB,28.46
2008,CUB,28.26
2009,CUB,21.86
2010,CUB,22.86
1995,CYP,36.91
1996,CYP,37.06
1997,CYP,34.35
1998,CYP,34.1
1999,CYP,46.91
2000,CYP,37.29
2001,CYP,35.84
2002,CYP,31.81
2003,CYP,31.25
2004,CYP,20.72
2005,CYP,17.2
2006,CYP,19.01
2007,CYP,20.82
2008,CYP,32.63
2009,CYP,35.64
2010,CYP,25.52
2011,CYP,22.75
2012,CYP,22.56
2013,CYP,17.47
2014,CYP,21
2015,CYP,20.04
2016,CYP,14.99
2017,CYP,19.67
2018,CYP,28.01
2019,CYP,28.77
2020,CYP,32.32
2021,CYP,16.23
2000,CZE,33.33
2001,CZE,33.33
2002,CZE,33.33
2003,CZE,33.74
2004,CZE,33.77
2005,CZE,32.65
2006,CZE,27.14
2007,CZE,27.27
1993,CZE,37.28
1994,CZE,40.57
1995,CZE,39.44
1996,CZE,34.6
1997,CZE,34.66
1998,CZE,34.59
1999,CZE,34.46
2008,CZE,33.58
2009,CZE,33.06
2010,CZE,29.94
2011,CZE,29.32
2012,CZE,30.26
2013,CZE,31.87
2014,CZE,26.52
2015,CZE,26.7
2016,CZE,28.94
2017,CZE,30.87
2018,CZE,31.24
2019,CZE,32.29
2020,CZE,30.42
2021,CZE,28.77
2005,COD,44.17
2012,COD,33.74
1993,DNK,19.3
1994,DNK,16.87
1995,DNK,30.25
1996,DNK,23.8
1997,DNK,19.43
1998,DNK,20.17
1999,DNK,20.31
2000,DNK,25.26
2001,DNK,25.64
2002,DNK,26.62
2003,DNK,27.28
2004,DNK,37.74
2005,DNK,25.21
2006,DNK,24
2007,DNK,29.56
2008,DNK,22.55
2009,DNK,22.55
2010,DNK,19.02
2011,DNK,22.24
2012,DNK,23.46
2013,DNK,25.25
2014,DNK,20.75
2015,DNK,22.63
2016,DNK,21.09
2017,DNK,25.23
2018,DNK,25.5
2019,DNK,27.92
2020,DNK,26.25
2021,DNK,27.63
2017,DJI,14.17
2000,DOM,8.53
2001,DOM,5.25
2002,DOM,3.24
2003,DOM,5.56
2004,DOM,6.49
2005,DOM,8.62
2006,DOM,4.7
2007,DOM,5.95
2008,DOM,6.46
2009,DOM,6.08
2010,DOM,5.93
2011,DOM,5.61
2012,DOM,4.94
2013,DOM,9.7
2014,DOM,18.9
2015,DOM,6.19
2016,DOM,5.72
2017,DOM,6.11
2018,DOM,9.02
2019,DOM,10.05
2020,DOM,11.21
2021,DOM,11.91
2001,ECU,14.94
2002,ECU,17.21
2003,ECU,15.03
2004,ECU,14.66
2005,ECU,16.78
2006,ECU,15.22
2007,ECU,15.53
2008,ECU,15.43
2009,ECU,14.91
2010,ECU,14.56
2011,ECU,14.9
2012,ECU,15.32
2013,ECU,14.39
2014,ECU,16.57
2015,ECU,16.81
2016,ECU,15.55
2017,ECU,16.1
2018,ECU,15.36
2019,ECU,14.48
2020,ECU,13.11
2021,ECU,15.27
1990,EGY,10.49
1991,EGY,7.64
1992,EGY,11.55
1993,EGY,10.2
1994,EGY,9.6
1995,EGY,9.91
1997,EGY,8.44
1998,EGY,9.5
1999,EGY,9.93
2000,EGY,8.95
2001,EGY,7.72
2002,EGY,5.98
2003,EGY,7.12
2004,EGY,6.92
2005,EGY,5.68
2006,EGY,5.3
2007,EGY,5
2008,EGY,5.14
2009,EGY,5.73
2010,EGY,6.13
2011,EGY,5.53
2012,EGY,5.28
2013,EGY,5.53
2015,EGY,5.69
2016,EGY,28.38
2017,EGY,26.44
2018,EGY,7.06
2019,EGY,5.55
2020,EGY,5.26
2009,SLV,10.28
2010,SLV,10.85
2011,SLV,12.98
2012,SLV,11.6
2013,SLV,10.73
2014,SLV,9.31
2015,SLV,9.65
2016,SLV,8.72
2017,SLV,8.6
2018,SLV,8.55
2019,SLV,8.85
2020,SLV,8.25
2021,SLV,8.32
1998,SLV,9.85
1999,SLV,8.88
2000,SLV,7.19
2001,SLV,6.16
2002,SLV,4.53
2003,SLV,7.63
2004,SLV,7.03
2005,SLV,8.65
2006,SLV,9.85
2007,SLV,7.55
1996,ERI,16.99
1990,EST,32.15
1991,EST,32.07
1992,EST,31.59
1993,EST,30.32
1994,EST,30.79
1995,EST,33.26
1996,EST,31.72
1997,EST,32.69
1998,EST,33.17
1999,EST,36.53
2000,EST,33.98
2001,EST,26.83
2002,EST,34.14
2003,EST,31.67
2004,EST,34.68
2005,EST,38.2
2006,EST,34.19
2007,EST,31.97
2008,EST,27.93
2009,EST,36.53
2010,EST,37.65
2011,EST,32.44
2012,EST,30.33
2013,EST,28.25
2014,EST,31.2
2015,EST,33.05
2016,EST,27.05
2017,EST,27.46
2018,EST,26.44
2019,EST,27.23
2020,EST,29.83
2021,EST,29.16
1993,SWZ,18.64
1994,SWZ,17.85
1995,SWZ,15.81
1996,SWZ,18.26
2016,SWZ,35.66
1999,ETH,15.98
2005,ETH,16.5
2013,ETH,21.84
2021,ETH,26.78
2012,FLK,34.59
2016,FLK,37.08
1990,FJI,13.06
1993,FJI,13.09
1996,FJI,14.14
1997,FJI,13.54
1998,FJI,11.82
1999,FJI,11.29
2000,FJI,14.81
2004,FJI,13.18
2014,FJI,33.16
2017,FJI,18.64
2018,FJI,18.11
2005,FJI,11.13
2011,FJI,9.51
2016,FJI,10.29
1990,FIN,30
1991,FIN,35.29
1992,FIN,31.91
1993,FIN,32.56
1994,FIN,30.95
1995,FIN,30.47
1996,FIN,31.82
1997,FIN,38.79
1998,FIN,31.58
1999,FIN,33.49
2000,FIN,30
2001,FIN,34.38
2002,FIN,35.5
2003,FIN,32.62
2004,FIN,32.6
2005,FIN,30.56
2006,FIN,29.1
2007,FIN,28.27
2008,FIN,30.27
2009,FIN,31.76
2010,FIN,33.15
2011,FIN,28.47
2012,FIN,28.29
2013,FIN,30.25
2014,FIN,31.23
2015,FIN,29
2016,FIN,28.48
2017,FIN,32.35
2018,FIN,32.81
2019,FIN,31.66
2020,FIN,35.31
2021,FIN,32.8
1993,FRA,29.12
1994,FRA,25.72
1995,FRA,26
1996,FRA,25.55
1997,FRA,26.59
1998,FRA,26.65
1999,FRA,27.25
2000,FRA,28.71
2001,FRA,29.14
2002,FRA,27.77
2003,FRA,25.34
2004,FRA,27.95
2005,FRA,28.99
2006,FRA,27.01
2007,FRA,30.43
2008,FRA,33.12
2009,FRA,32.31
2010,FRA,31.26
2011,FRA,35.8
2012,FRA,33.66
2013,FRA,30.01
2014,FRA,27.33
2015,FRA,29.81
2016,FRA,28.41
2017,FRA,33.17
2018,FRA,29.18
2019,FRA,31.83
2020,FRA,34.97
2021,FRA,32.89
2012,GMB,45.2
2018,GMB,40.4
1998,GEO,30.64
1999,GEO,29.6
2002,GEO,24.04
2003,GEO,19.2
2004,GEO,20.19
2005,GEO,21.13
2009,GEO,22.85
2010,GEO,22.78
2011,GEO,18.12
2012,GEO,20.33
2013,GEO,14.59
2014,GEO,15.45
2015,GEO,24.96
2016,GEO,24.19
2017,GEO,24.7
2018,GEO,28.34
2019,GEO,24.85
2020,GEO,31.17
1993,DEU,35.65
1994,DEU,36.51
1995,DEU,38.97
1996,DEU,38.74
1997,DEU,38.44
1998,DEU,36.76
1999,DEU,36.96
2000,DEU,36.03
2001,DEU,32.21
2002,DEU,34
2003,DEU,32.95
2004,DEU,32.5
2005,DEU,31.54
2006,DEU,31
2007,DEU,31.05
2008,DEU,31.92
2009,DEU,33.43
2010,DEU,33.16
2011,DEU,33.39
2012,DEU,32.97
2013,DEU,33.55
2014,DEU,34.15
2015,DEU,34.24
2016,DEU,33.73
2017,DEU,34.18
2018,DEU,33.06
2019,DEU,34.99
2020,DEU,33.98
2021,DEU,36.91
1991,GHA,18.42
2006,GHA,23.35
2013,GHA,21.69
2017,GHA,27.56
2015,GHA,21.37
2000,GHA,29.24
2010,GHA,27.49
1993,GRC,27.59
1994,GRC,29.66
1995,GRC,30.26
1996,GRC,29.84
1997,GRC,26.49
1998,GRC,28.77
1999,GRC,28.16
2000,GRC,26.59
2001,GRC,23.26
2002,GRC,22.05
2003,GRC,24.96
2004,GRC,32.68
2005,GRC,30.59
2006,GRC,26.47
2007,GRC,26.37
2008,GRC,24.82
2009,GRC,23.56
2010,GRC,25.51
2011,GRC,21.94
2012,GRC,21.65
2013,GRC,22.7
2014,GRC,23.43
2015,GRC,20.5
2016,GRC,18.6
2017,GRC,19.5
2018,GRC,25.86
2019,GRC,26.08
2020,GRC,27.42
2021,GRC,27.74
1995,GUM,9.9
1996,GUM,9.85
1997,GUM,8.89
1998,GUM,8.25
1999,GUM,8.06
2000,GUM,11.48
2001,GUM,11.11
2002,GUM,7.8
2003,GUM,6.71
2004,GUM,6
2005,GUM,8.89
2006,GUM,14.29
2007,GUM,10.77
2008,GUM,9.64
2009,GUM,9.43
2010,GUM,11.18
2011,GUM,14.29
2012,GUM,13.07
2013,GUM,13.33
2014,GUM,100
2006,GTM,10.67
2003,GTM,13.85
2004,GTM,9.35
2010,GTM,9.02
2011,GTM,8.63
2012,GTM,7.13
2013,GTM,8.13
2014,GTM,7.94
2015,GTM,7.47
2016,GTM,7.98
2017,GTM,7.87
2018,GTM,8.98
2019,GTM,7.49
2011,GGY,51.5
2012,GGY,51.64
2013,GGY,40.17
2014,GGY,36.66
2015,GGY,36.25
2002,GIN,27.03
2018,GNB,55.08
2018,GUY,11.76
2019,GUY,11.06
2012,HTI,15.81
2005,HND,5.41
2006,HND,6.32
2007,HND,7.61
2008,HND,7.14
2009,HND,6.2
2010,HND,7.97
2011,HND,6.4
2012,HND,6.6
2013,HND,6.93
2014,HND,4.74
2015,HND,6.39
2016,HND,6.05
2017,HND,5.07
2018,HND,6.84
2019,HND,6.31
2020,HND,15.27
1996,HUN,22.05
1997,HUN,21.98
1998,HUN,21.94
1999,HUN,21.24
2000,HUN,22.03
2001,HUN,24.56
2002,HUN,25.61
2003,HUN,22.62
2004,HUN,22.84
2005,HUN,24.73
2006,HUN,24.46
2007,HUN,21.61
2008,HUN,24.77
2009,HUN,24.82
2010,HUN,22.92
2011,HUN,24.25
2012,HUN,24.33
2013,HUN,24.45
2014,HUN,23.95
2015,HUN,24.63
2016,HUN,24.47
2017,HUN,23.13
2018,HUN,24.81
2019,HUN,26.38
2020,HUN,25.75
2021,HUN,27.7
1991,ISL,12.2
1992,ISL,11.51
1993,ISL,7.62
1994,ISL,11.7
1996,ISL,14.62
1999,ISL,13.2
2000,ISL,15.55
2003,ISL,19.13
2004,ISL,18.35
2005,ISL,13.46
2006,ISL,14.72
2007,ISL,14.5
2008,ISL,17.88
2009,ISL,17.5
2010,ISL,12.65
2011,ISL,13.8
2012,ISL,15.03
2013,ISL,21.63
2014,ISL,13.93
2015,ISL,15.93
2016,ISL,24.46
2017,ISL,17.65
2020,ISL,20.02
2021,ISL,17.03
1990,IND,33.45
1991,IND,34.42
1992,IND,34.14
1993,IND,34.51
1995,IND,33.98
1996,IND,32.83
1997,IND,33.31
1998,IND,34.17
1999,IND,34.03
2001,IND,35.75
2002,IND,34.58
2003,IND,33.26
2004,IND,32.55
1994,IND,15.22
2000,IND,20.82
2005,IND,19.52
2010,IND,18.19
2012,IND,27.09
2018,IND,28.76
2019,IND,34.79
2020,IND,29.55
2000,IDN,38.36
2001,IDN,34.01
2002,IDN,33.39
2003,IDN,32.9
2004,IDN,31.76
2005,IDN,30.79
2006,IDN,29.66
2007,IDN,32.82
2008,IDN,33.23
2009,IDN,33.47
2010,IDN,33.1
2011,IDN,29.23
2012,IDN,30
2013,IDN,29.96
2014,IDN,29.64
2015,IDN,29.72
2016,IDN,29.4
2017,IDN,29.71
2018,IDN,29.52
2019,IDN,28.77
2020,IDN,28.54
2021,IDN,27.17
2022,IDN,27.34
2005,IRN,1.02
2006,IRN,1.02
2007,IRN,0.88
2008,IRN,13.56
2009,IRN,12.32
2010,IRN,13.98
2011,IRN,10.82
2012,IRN,11.58
2013,IRN,8.91
2014,IRN,7.41
2015,IRN,12.53
2016,IRN,12.15
2017,IRN,14.69
2018,IRN,11.9
2019,IRN,11.93
2020,IRN,8.95
1996,IRN,9.24
2021,IRQ,8.17
1993,IRL,13.22
1994,IRL,17.14
1995,IRL,17.03
1996,IRL,20.42
1997,IRL,19.43
1998,IRL,16.79
1999,IRL,15.77
2000,IRL,15.6
2001,IRL,15.14
2002,IRL,16.14
2003,IRL,18.09
2004,IRL,16.94
2005,IRL,18.27
2006,IRL,20.02
2007,IRL,21.12
2008,IRL,26.59
2009,IRL,24.38
2010,IRL,26.42
2011,IRL,24.31
2012,IRL,23.65
2013,IRL,22.96
2014,IRL,27.18
2015,IRL,23.59
2016,IRL,19.68
2017,IRL,22.73
2018,IRL,22.72
2019,IRL,20.4
2020,IRL,22.32
2001,IMN,16.83
2011,IMN,22.58
2016,IMN,23.9
1995,ISR,22.14
1996,ISR,24.14
1997,ISR,22.42
1998,ISR,26.79
1999,ISR,27.87
2000,ISR,23.5
2001,ISR,15.45
2002,ISR,18.97
2003,ISR,26.03
2004,ISR,23.33
2005,ISR,22.77
2006,ISR,17.72
2007,ISR,19.01
2008,ISR,20.45
2009,ISR,21.94
2010,ISR,26.83
2011,ISR,24.92
2012,ISR,33.19
2013,ISR,33.83
2014,ISR,33.32
2015,ISR,36.29
2016,ISR,32.2
2017,ISR,29.07
2018,ISR,37.01
2019,ISR,32.28
2020,ISR,30.5
2021,ISR,36.1
1992,ITA,41.58
1993,ITA,36.86
1994,ITA,36.42
1995,ITA,37.63
1996,ITA,32.56
1997,ITA,31.3
1998,ITA,32.01
1999,ITA,31.6
2000,ITA,30.91
2001,ITA,32.08
2002,ITA,31.79
2003,ITA,30.69
2004,ITA,30.69
2005,ITA,33.04
2006,ITA,33.18
2007,ITA,31.58
2008,ITA,31.93
2009,ITA,30.45
2010,ITA,31.56
2011,ITA,32.01
2012,ITA,31.91
2013,ITA,29.75
2014,ITA,27.66
2015,ITA,27.13
2016,ITA,26.93
2017,ITA,25.93
2018,ITA,26.34
2019,ITA,25.41
2020,ITA,25.1
2021,ITA,25.99
2008,JAM,22.34
2009,JAM,22.79
2010,JAM,23.01
2011,JAM,24.57
2012,JAM,22.07
2013,JAM,21.31
2014,JAM,21.85
2016,JAM,24.64
2017,JAM,22.07
2018,JAM,22.88
2019,JAM,17.1
2020,JAM,22.13
1990,JPN,30.95
1991,JPN,32.56
1992,JPN,30.43
1993,JPN,31.82
1994,JPN,35.71
1995,JPN,36.36
1996,JPN,35.56
1997,JPN,38.1
1998,JPN,41.46
1999,JPN,40
2000,JPN,40.21
2001,JPN,39.98
2002,JPN,38.67
2003,JPN,40.08
2004,JPN,40.13
2005,JPN,39.22
2006,JPN,41.85
2007,JPN,43.03
2008,JPN,42.16
2009,JPN,43.38
2010,JPN,42.65
2011,JPN,39.61
2012,JPN,38.57
2013,JPN,39.85
2014,JPN,39.7
2015,JPN,39.06
2016,JPN,39.08
2017,JPN,42.48
2018,JPN,43.8
2019,JPN,43.81
2020,JPN,41.54
2021,JPN,41.27
2022,JPN,42.86
2017,JOR,4.84
2018,JOR,3.06
2019,JOR,4.01
2020,JOR,4.01
2021,JOR,2.7
2001,KAZ,26.02
2002,KAZ,26.06
2003,KAZ,28.47
2004,KAZ,29.32
2005,KAZ,29.74
2006,KAZ,32.63
2007,KAZ,33.44
2008,KAZ,33.75
2009,KAZ,34.79
2010,KAZ,34.07
2011,KAZ,35.47
2012,KAZ,37.51
2013,KAZ,39.37
2015,KAZ,36.77
2017,KAZ,34.54
1990,KEN,23.88
1991,KEN,23.68
1992,KEN,23.64
1993,KEN,23.55
1994,KEN,23.32
1995,KEN,24.22
1996,KEN,25.28
1997,KEN,23.76
