year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,2015,PSE,Total,0.00022,,,,
2016,2020,PSE,Total,0.0012,,,,
2000,2005,PYF,Natural,0,,,,
2006,2010,PYF,Natural,0,,,,
2011,2015,PYF,Natural,0,,,,
2016,2020,PYF,Natural,0,,,,
2000,2005,PYF,Planted,0,,,,
2006,2010,PYF,Planted,0,,,,
2011,2015,PYF,Planted,0,,,,
2016,2020,PYF,Planted,0,,,,
2000,2005,PYF,Total,0,,,,
2006,2010,PYF,Total,0,,,,
2011,2015,PYF,Total,0,,,,
2016,2020,PYF,Total,0,,,,
2000,2005,QAT,Natural,0.00000076,,,,
2006,2010,QAT,Natural,0.0000009,,,,
2011,2015,QAT,Natural,0.0000015,,,,
2016,2020,QAT,Natural,0.000035,,,,
2000,2005,QAT,Planted,0,,,,
2006,2010,QAT,Planted,0,,,,
2011,2015,QAT,Planted,0,,,,
2016,2020,QAT,Planted,0,,,,
2000,2005,QAT,Total,0.00000076,,,,
2006,2010,QAT,Total,0.0000009,,,,
2011,2015,QAT,Total,0.0000015,,,,
2016,2020,QAT,Total,0.000035,,,,
2000,2005,REU,Natural,0,,,,
2006,2010,REU,Natural,0,,,,
2011,2015,REU,Natural,0,,,,
2016,2020,REU,Natural,0,,,,
2000,2005,REU,Planted,0,,,,
2006,2010,REU,Planted,0,,,,
2011,2015,REU,Planted,0,,,,
2016,2020,REU,Planted,0,,,,
2000,2005,REU,Total,0,,,,
2006,2010,REU,Total,0,,,,
2011,2015,REU,Total,0,,,,
2016,2020,REU,Total,0,,,,
2000,2005,ROU,Natural,0.041,,,,
2006,2010,ROU,Natural,0.057,,,,
2011,2015,ROU,Natural,0.049,,,,
2016,2020,ROU,Natural,0.05,,,,
2000,2005,ROU,Planted,0.0075,,,,
2006,2010,ROU,Planted,0.01,,,,
2011,2015,ROU,Planted,0.0057,,,,
2016,2020,ROU,Planted,0.0034,,,,
2000,2005,ROU,Total,0.048,,,,
2006,2010,ROU,Total,0.067,,,,
2011,2015,ROU,Total,0.055,,,,
2016,2020,ROU,Total,0.054,,,,
2000,2005,RUS,Natural,12,,,,
2006,2010,RUS,Natural,10,,,,
2011,2015,RUS,Natural,7.5,,,,
2016,2020,RUS,Natural,6.4,,,,
2000,2005,RUS,Planted,0.37,,,,
2006,2010,RUS,Planted,0.44,,,,
2011,2015,RUS,Planted,0.36,,,,
2016,2020,RUS,Planted,0.18,,,,
2000,2005,RUS,Total,12,,,,
2006,2010,RUS,Total,11,,,,
2011,2015,RUS,Total,7.8,,,,
2016,2020,RUS,Total,6.6,,,,
2000,2005,RWA,Natural,0.0034,,,,
2006,2010,RWA,Natural,0.0028,,,,
2011,2015,RWA,Natural,0.0029,,,,
2016,2020,RWA,Natural,0.002,,,,
2000,2005,RWA,Planted,0.0025,,,,
2006,2010,RWA,Planted,0.0014,,,,
2011,2015,RWA,Planted,0.00052,,,,
2016,2020,RWA,Planted,0.0006,,,,
2000,2005,RWA,Total,0.0058,,,,
2006,2010,RWA,Total,0.0042,,,,
2011,2015,RWA,Total,0.0034,,,,
2016,2020,RWA,Total,0.0026,,,,
2000,2005,SAU,Natural,0.00079,,,,
2006,2010,SAU,Natural,0.00047,,,,
2011,2015,SAU,Natural,0.00084,,,,
2016,2020,SAU,Natural,0.0055,,,,
2000,2005,SAU,Planted,0,,,,
2006,2010,SAU,Planted,0,,,,
2011,2015,SAU,Planted,0,,,,
2016,2020,SAU,Planted,0,,,,
2000,2005,SAU,Total,0.00079,,,,
