year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2006,UKR,3.9,,,,
2008,UKR,3.2,,,,
2010,UKR,2.5,,,,
2012,UKR,1.8,,,,
2014,UKR,1.1,,,,
2016,UKR,1.1,,,,
2018,UKR,1.1,,,,
2000,UGA,81,,,,
2002,UGA,78,,,,
2004,UGA,76,,,,
2006,UGA,73,,,,
2008,UGA,70,,,,
2010,UGA,68,,,,
2012,UGA,65,,,,
2014,UGA,62,,,,
2016,UGA,59,,,,
2018,UGA,57,,,,
2020,UGA,54,,,,
2000,TZA,81,,,,
2002,TZA,77,,,,
2004,TZA,73,,,,
2006,TZA,69,,,,
2008,TZA,64,,,,
2010,TZA,60,,,,
2012,TZA,56,,,,
2014,TZA,52,,,,
2016,TZA,47,,,,
2018,TZA,43,,,,
2020,TZA,41,,,,
2000,TUR,25,,,,
2002,TUR,23,,,,
2004,TUR,22,,,,
2006,TUR,20,,,,
2008,TUR,19,,,,
2010,TUR,18,,,,
2012,TUR,16,,,,
2014,TUR,15,,,,
2016,TUR,14,,,,
2018,TUR,14,,,,
2006,TUN,10,,,,
2008,TUN,10,,,,
2010,TUN,10,,,,
2012,TUN,9.6,,,,
2014,TUN,9.1,,,,
2016,TUN,8.6,,,,
2018,TUN,8.1,,,,
2020,TUN,7.6,,,,
2000,TTO,11,,,,
2002,TTO,11,,,,
2004,TTO,11,,,,
2006,TTO,10,,,,
2008,TTO,9.5,,,,
2010,TTO,8.7,,,,
2012,TTO,7.9,,,,
2014,TTO,7.5,,,,
2016,TTO,7.5,,,,
2004,TLS,56,,,,
2006,TLS,56,,,,
2008,TLS,54,,,,
2010,TLS,50,,,,
2012,TLS,46,,,,
2014,TLS,42,,,,
2016,TLS,38,,,,
2018,TLS,34,,,,
2020,TLS,34,,,,
2000,TKM,11,,,,
2002,TKM,11,,,,
2004,TKM,11,,,,
2006,TKM,10,,,,
2008,TKM,10,,,,
2010,TKM,9.8,,,,
2012,TKM,9.5,,,,
2014,TKM,9.3,,,,
2016,TKM,9.0,,,,
2018,TKM,8.8,,,,
2020,TKM,8.5,,,,
2000,TJK,60,,,,
2002,TJK,56,,,,
2004,TJK,51,,,,
2006,TJK,47,,,,
2008,TJK,42,,,,
2010,TJK,38,,,,
2012,TJK,33,,,,
2014,TJK,28,,,,
2016,TJK,24,,,,
2018,TJK,19,,,,
2020,TJK,17,,,,
2000,THA,16,,,,
2002,THA,16,,,,
2004,THA,15,,,,
2006,THA,14,,,,
2008,THA,13,,,,
2010,THA,12,,,,
2012,THA,11,,,,
2014,THA,9.9,,,,
2016,THA,8.9,,,,
2018,THA,7.8,,,,
2020,THA,6.8,,,,
2000,TGO,69,,,,
2002,TGO,66,,,,
2004,TGO,63,,,,
2006,TGO,60,,,,
2008,TGO,56,,,,
2010,TGO,53,,,,
2012,TGO,50,,,,
2014,TGO,47,,,,
2016,TGO,43,,,,
2018,TGO,40,,,,
2020,TGO,39,,,,
2000,TCD,92,,,,
2002,TCD,91,,,,
2004,TCD,89,,,,
