year,geo,value
2013,EST,143
2014,EST,152
2015,EST,176
2016,EST,181
2017,EST,179
2018,EST,179
2019,EST,183
2020,EST,163
2021,EST,156
2022,EST,150
2023,EST,141
2024,EST,0
2000,FJI,1
2001,FJI,1
2002,FJI,1
2003,FJI,1
2004,FJI,1
2005,FJI,0
2006,FJI,0
2007,FJI,0
2008,FJI,0
2009,FJI,0
2010,FJI,0
2011,FJI,0
2012,FJI,0
2013,FJI,0
2014,FJI,0
2015,FJI,0
2016,FJI,0
2017,FJI,0
2018,FJI,0
2019,FJI,0
2020,FJI,0
2021,FJI,0
2022,FJI,0
2023,FJI,0
2024,FJI,0
2000,FIN,395
2001,FIN,399
2002,FIN,401
2003,FIN,400
2004,FIN,400
2005,FIN,400
2006,FIN,349
2007,FIN,351
2008,FIN,355
2009,FIN,350
2010,FIN,348
2011,FIN,347
2012,FIN,348
2013,FIN,337
2014,FIN,333
2015,FIN,325
2016,FIN,321
2017,FIN,318
2018,FIN,312
2019,FIN,305
2020,FIN,272
2021,FIN,245
2022,FIN,7
2023,FIN,7
2024,FIN,0
2000,FRA,183
2001,FRA,244
2002,FRA,253
2003,FRA,297
2004,FRA,319
2005,FRA,329
2006,FRA,721
2007,FRA,1432
2008,FRA,1630
2009,FRA,1785
2010,FRA,1875
2011,FRA,1896
2012,FRA,1909
2013,FRA,1918
2014,FRA,1912
2015,FRA,1913
2016,FRA,1933
2017,FRA,1928
2018,FRA,1923
2019,FRA,1916
2020,FRA,1924
2021,FRA,1914
2022,FRA,1887
2023,FRA,1847
2024,FRA,0
2000,DEU,2
2001,DEU,2
2002,DEU,2
2003,DEU,2
2004,DEU,2
2005,DEU,2
2006,DEU,2
2007,DEU,2
2008,DEU,432
2009,DEU,469
2010,DEU,473
2011,DEU,474
2012,DEU,465
2013,DEU,469
2014,DEU,466
2015,DEU,855
2016,DEU,862
2017,DEU,899
2018,DEU,913
2019,DEU,1479
2020,DEU,1485
2021,DEU,1497
2022,DEU,1463
2023,DEU,1317
2024,DEU,0
2000,GHA,0
2001,GHA,0
2002,GHA,0
2003,GHA,0
2004,GHA,0
2005,GHA,0
2006,GHA,0
2007,GHA,0
2008,GHA,0
2009,GHA,0
2010,GHA,0
2011,GHA,0
2012,GHA,0
2013,GHA,0
2014,GHA,0
2015,GHA,0
2016,GHA,2
2017,GHA,2
2018,GHA,0
2019,GHA,0
2020,GHA,0
2021,GHA,0
2022,GHA,0
2023,GHA,0
2024,GHA,0
2000,GRC,0
2001,GRC,0
2002,GRC,4
2003,GRC,0
2004,GRC,0
2005,GRC,0
2006,GRC,586
2007,GRC,642
2008,GRC,646
2009,GRC,641
2010,GRC,641
2011,GRC,641
2012,GRC,724
2013,GRC,979
2014,GRC,1005
2015,GRC,945
2016,GRC,564
2017,GRC,564
2018,GRC,565
2019,GRC,523
2020,GRC,502
2021,GRC,413
2022,GRC,0
2023,GRC,0
2024,GRC,0
2000,GTM,16
2001,GTM,20
2002,GTM,14
2003,GTM,14
2004,GTM,16
2005,GTM,16
2006,GTM,13
2007,GTM,21
2008,GTM,18
2009,GTM,13
2010,GTM,13
2011,GTM,13
2012,GTM,16
2013,GTM,0
2014,GTM,0
2015,GTM,0
2016,GTM,3
2017,GTM,2
2018,GTM,0
2019,GTM,0
2020,GTM,0
2021,GTM,0
2022,GTM,0
2023,GTM,0
2024,GTM,0
2000,HUN,67
2001,HUN,68
2002,HUN,68
2003,HUN,69
2004,HUN,69
2005,HUN,69
2006,HUN,65
2007,HUN,3
2008,HUN,0
2009,HUN,0
2010,HUN,0
2011,HUN,0
2012,HUN,0
2013,HUN,0
2014,HUN,0
2015,HUN,0
2016,HUN,0
2017,HUN,0
2018,HUN,0
2019,HUN,0
2020,HUN,0
2021,HUN,0
2022,HUN,0
2023,HUN,0
2024,HUN,0
2000,ISL,0
2001,ISL,0
2002,ISL,0
2003,ISL,0
2004,ISL,0
2005,ISL,0
2006,ISL,0
2007,ISL,0
2008,ISL,1
2009,ISL,3
2010,ISL,3
2011,ISL,3
2012,ISL,3
2013,ISL,3
2014,ISL,3
2015,ISL,3
2016,ISL,3
2017,ISL,3
2018,ISL,3
2019,ISL,3
2020,ISL,3
2021,ISL,3
2022,ISL,3
2023,ISL,3
2024,ISL,1
2000,IND,284
2001,IND,310
2002,IND,323
2003,IND,376
2004,IND,393
2005,IND,414
2006,IND,415
2007,IND,419
2008,IND,437
2009,IND,371
2010,IND,371
2011,IND,372
2012,IND,373
2013,IND,373
2014,IND,384
2015,IND,386
2016,IND,385
2017,IND,388
2018,IND,1961
2019,IND,2387
2020,IND,2434
2021,IND,2356
2022,IND,0
2023,IND,0
2024,IND,0
2000,IDN,0
2001,IDN,0
2002,IDN,0
2003,IDN,0
2004,IDN,0
2005,IDN,0
2006,IDN,0
2007,IDN,0
2008,IDN,0
2009,IDN,0
2010,IDN,0
2011,IDN,0
2012,IDN,0
2013,IDN,0
2014,IDN,0
2015,IDN,0
2016,IDN,0
2017,IDN,0
2018,IDN,0
2019,IDN,0
2020,IDN,0
2021,IDN,0
2022,IDN,0
2023,IDN,0
2024,IDN,0
2000,IRQ,0
2001,IRQ,0
2002,IRQ,0
2003,IRQ,0
2004,IRQ,0
2005,IRQ,0
2006,IRQ,0
2007,IRQ,0
2008,IRQ,0
2009,IRQ,0
2010,IRQ,0
2011,IRQ,0
2012,IRQ,0
2013,IRQ,0
2014,IRQ,0
2015,IRQ,0
2016,IRQ,0
2017,IRQ,0
2018,IRQ,0
2019,IRQ,0
2020,IRQ,0
2021,IRQ,0
2022,IRQ,0
2023,IRQ,0
2024,IRQ,0
2000,IRL,8
2001,IRL,8
2002,IRL,8
2003,IRL,8
2004,IRL,8
2005,IRL,8
2006,IRL,8
2007,IRL,97
2008,IRL,151
2009,IRL,195
2010,IRL,197
2011,IRL,197
2012,IRL,196
2013,IRL,381
2014,IRL,386
2015,IRL,619
2016,IRL,621
2017,IRL,621
2018,IRL,621
2019,IRL,616
2020,IRL,614
2021,IRL,615
2022,IRL,615
2023,IRL,380
2024,IRL,4
2000,ISR,1
2001,ISR,1
2002,ISR,1
2003,ISR,1
2004,ISR,1
2005,ISR,1
2006,ISR,1
2007,ISR,0
2008,ISR,0
2009,ISR,0
2010,ISR,0
2011,ISR,0
2012,ISR,0
2013,ISR,0
2014,ISR,0
2015,ISR,0
2016,ISR,0
2017,ISR,0
2018,ISR,0
2019,ISR,0
2020,ISR,0
2021,ISR,0
2022,ISR,0
2023,ISR,0
2024,ISR,0
2000,ITA,3
2001,ITA,35
2002,ITA,96
2003,ITA,113
2004,ITA,119
2005,ITA,130
2006,ITA,160
2007,ITA,982
2008,ITA,1092
2009,ITA,1147
2010,ITA,1598
2011,ITA,1672
2012,ITA,1840
2013,ITA,1800
2014,ITA,1878
2015,ITA,2222
2016,ITA,2329
2017,ITA,2462
2018,ITA,2548
2019,ITA,2667
2020,ITA,2671
2021,ITA,2625
2022,ITA,2416
2023,ITA,1709
2024,ITA,0
2000,JPN,26
2001,JPN,26
2002,JPN,26
2003,JPN,26
2004,JPN,22
2005,JPN,22
2006,JPN,22
2007,JPN,22
2008,JPN,22
2009,JPN,22
2010,JPN,22
2011,JPN,22
2012,JPN,22
2013,JPN,23
2014,JPN,23
2015,JPN,23
2016,JPN,23
2017,JPN,22
2018,JPN,21
2019,JPN,21
2020,JPN,21
2021,JPN,21
2022,JPN,20
2023,JPN,20
2024,JPN,13
2000,JOR,0
2001,JOR,0
2002,JOR,0
2003,JOR,0
2004,JOR,0
2005,JOR,0
2006,JOR,0
2007,JOR,0
2008,JOR,0
2009,JOR,0
2010,JOR,0
2011,JOR,0
2012,JOR,0
2013,JOR,0
2014,JOR,0
2015,JOR,0
2016,JOR,0
2017,JOR,0
2018,JOR,0
2019,JOR,0
2020,JOR,0
2021,JOR,0
2022,JOR,0
2023,JOR,0
2024,JOR,0
2000,KEN,0
2001,KEN,0
2002,KEN,0
2003,KEN,0
2004,KEN,0
2005,KEN,0
2006,KEN,0
2007,KEN,0
2008,KEN,0
2009,KEN,0
