year,geo,value
2011,HRV,109
2012,HRV,113
2013,HRV,114
2014,HRV,118
2015,HRV,125
2016,HRV,130
2017,HRV,143
2018,HRV,151
2019,HRV,161
2020,HRV,146
2021,HRV,141
2022,HRV,127
2023,HRV,129
2024,HRV,120
2025,HRV,114
2014,HTI,1.1
2015,HTI,1.3
2016,HTI,2.1
2017,HTI,2.3
2018,HTI,2.1
2019,HTI,3.9
2004,HUN,39
2005,HUN,41
2006,HUN,45
2007,HUN,50
2008,HUN,54
2009,HUN,56
2010,HUN,57
2011,HUN,58
2012,HUN,56
2013,HUN,57
2014,HUN,58
2015,HUN,58
2016,HUN,60
2017,HUN,61
2018,HUN,61
2019,HUN,62
2020,HUN,61
2021,HUN,60
2022,HUN,58
2023,HUN,59
2024,HUN,63
2025,HUN,69
2004,IDN,8.3
2005,IDN,9
2006,IDN,10
2007,IDN,11
2008,IDN,13
2009,IDN,14
2010,IDN,13
2011,IDN,16
2012,IDN,35
2013,IDN,41
2014,IDN,48
2015,IDN,52
2016,IDN,53
2017,IDN,54
2018,IDN,54
2019,IDN,53
2020,IDN,51
2021,IDN,48
2022,IDN,47
2023,IDN,45
2024,IDN,46
2025,IDN,46
2005,IND,2.3
2006,IND,2.7
2007,IND,3.4
2008,IND,4.3
2009,IND,5.3
2010,IND,7.2
2011,IND,8.8
2012,IND,11
2013,IND,13
2014,IND,18
2015,IND,20
2016,IND,21
2017,IND,22
2018,IND,21
2019,IND,21
2020,IND,21
2021,IND,21
2022,IND,25
2023,IND,25
2024,IND,24
2025,IND,24
2004,IRL,91
2005,IRL,89
2006,IRL,90
2007,IRL,92
2008,IRL,95
2009,IRL,94
2010,IRL,91
2011,IRL,89
2012,IRL,85
2013,IRL,85
2014,IRL,98
2015,IRL,91
2016,IRL,90
2017,IRL,88
2018,IRL,78
2019,IRL,72
2020,IRL,59
2021,IRL,44
2022,IRL,33
2023,IRL,30
2024,IRL,30
2025,IRL,29
2005,IRN,4.3
2006,IRN,8.1
2007,IRN,13
2008,IRN,17
2009,IRN,22
2010,IRN,29
2011,IRN,34
2012,IRN,44
2013,IRN,49
2014,IRN,54
2015,IRN,64
2016,IRN,69
2017,IRN,73
2018,IRN,84
2008,IRQ,0.68
2009,IRQ,1.2
2010,IRQ,2.1
2011,IRQ,2.1
2012,IRQ,2.1
2013,IRQ,1
2014,IRQ,1.5
2015,IRQ,1.8
2016,IRQ,2.3
2017,IRQ,2.8
2018,IRQ,3.5
2019,IRQ,4
2020,IRQ,5.2
2021,IRQ,5.9
2022,IRQ,8.1
2023,IRQ,14
2004,ISL,106
2005,ISL,111
2006,ISL,106
2007,ISL,106
2008,ISL,101
2009,ISL,79
2010,ISL,82
2011,ISL,76
2012,ISL,74
2013,ISL,76
2014,ISL,79
2015,ISL,73
2016,ISL,89
2017,ISL,88
2018,ISL,86
2019,ISL,77
2020,ISL,73
2021,ISL,70
2022,ISL,68
2023,ISL,58
2024,ISL,68
2025,ISL,56
2004,ISR,69
2005,ISR,58
2006,ISR,77
2007,ISR,82
2008,ISR,88
2009,ISR,102
2010,ISR,122
2011,ISR,124
2012,ISR,124
2013,ISR,124
2014,ISR,124
2015,ISR,102
2016,ISR,112
2017,ISR,122
2018,ISR,129
2019,ISR,134
2020,ISR,134
2021,ISR,132
2022,ISR,128
2023,ISR,133
2024,ISR,129
2025,ISR,126
2004,ITA,74
2005,ITA,75
2006,ITA,80
2007,ITA,87
2008,ITA,98
2009,ITA,106
2010,ITA,99
2011,ITA,100
2012,ITA,98
2013,ITA,92
2014,ITA,93
2015,ITA,97
2016,ITA,95
2017,ITA,93
2018,ITA,92
2019,ITA,91
2020,ITA,90
2021,ITA,88
2022,ITA,90
2023,ITA,88
2024,ITA,86
2025,ITA,86
2004,JAM,18
2005,JAM,20
2006,JAM,22
2007,JAM,22
2008,JAM,23
2009,JAM,25
2010,JAM,26
2011,JAM,27
2012,JAM,27
