year,year_max,geo,value
1979,2019,JPN,1.3
1979,2019,KAZ,1.8
1979,2019,KEN,2.7
1979,2019,KGZ,1.5
1979,2019,KHM,1.3
1979,2019,KNA,1.9
1979,2019,KOR,1
1979,2019,KWT,3.8
1979,2019,LAO,1.3
1979,2019,LBN,2
1979,2019,LBR,0.8
1979,2019,LBY,2.8
1979,2019,LCA,1.2
1979,2019,LIE,1.2
1979,2019,LKA,1.5
1979,2019,LSO,2.9
1979,2019,LTU,2
1979,2019,LUX,1.6
1979,2019,LVA,1.7
1979,2019,MAC,1.2
1979,2019,MAR,2.8
1979,2019,MDA,1.5
1979,2019,MDG,2
1979,2019,MEX,2.6
1979,2019,MKD,1.7
1979,2019,MLI,2.6
1979,2019,MLT,2.8
1979,2019,MMR,0.9
1979,2019,MNE,1.5
1979,2019,MNG,2.7
1979,2019,MOZ,3
1979,2019,MRT,3.4
1979,2019,MSR,1.9
1979,2019,MTQ,1.2
1979,2019,MWI,2
1979,2019,MYS,1.4
1979,2019,MYT,2.1
1979,2019,NAM,4.1
1979,2019,NCL,2.8
1979,2019,NER,3.2
1979,2019,NGA,2
1979,2019,NIC,2.1
1979,2019,NLD,1.4
1979,2019,NOR,1.1
1979,2019,NPL,1.1
1979,2019,NRU,5
1979,2019,NZL,1.2
1979,2019,OMN,4.3
1979,2019,PAK,2.9
1979,2019,PAN,1
1979,2019,PER,1.5
1979,2019,PHL,2.2
1979,2019,PNG,1.5
1979,2019,POL,2.4
1979,2019,PRI,1.9
1979,2019,PRK,1.2
1979,2019,PRT,2.5
1979,2019,PRY,1.9
1979,2019,PSE,2.7
1979,2019,QAT,2.6
1979,2019,ROU,1.6
1979,2019,RUS,1.6
1979,2019,RWA,1
1979,2019,SAU,3.6
1979,2019,SDN,2.4
1979,2019,SEN,2.2
1979,2019,SGP,1.2
1979,2019,SJM,1.2
1979,2019,SLB,1.6
1979,2019,SLE,1.1
1979,2019,SLV,2.1
1979,2019,SMR,2.1
1979,2019,SOM,3.1
1979,2019,SPM,1.2
1979,2019,SRB,1.6
1979,2019,SSD,1.7
1979,2019,STP,1.2
1979,2019,SUR,1.6
1979,2019,SVK,1.6
1979,2019,SVN,1.6
1979,2019,SWE,1.8
1979,2019,SWZ,3
1979,2019,SYC,5
1979,2019,SYR,2
1979,2019,TCA,2.2
1979,2019,TCD,2.9
1979,2019,TGO,1.2
1979,2019,THA,1.5
1979,2019,TJK,2
1979,2019,TKM,2.5
1979,2019,TLS,1
1979,2019,TTO,1.2
1979,2019,TUN,2.3
1979,2019,TUR,1.5
1979,2019,TWN,1.7
1979,2019,TZA,2.1
1979,2019,UGA,1.4
1979,2019,UKR,1.7
1979,2019,UMI,5
1979,2019,URY,2.9
1979,2019,USA,2.3
1979,2019,UZB,1.9
1979,2019,VCT,1.2
1979,2019,VEN,1.2
1979,2019,VGB,1.9
1979,2019,VIR,1.9
1979,2019,VNM,1.3
1979,2019,VUT,2.3
1979,2019,YEM,3.4
1979,2019,ZAF,3.7
1979,2019,ZMB,2.1
1979,2019,ZWE,3.3
