year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2018,BHS,Total,1,,,,
2019,BHS,Total,1,,,,
2020,BHS,Total,1,,,,
2021,BHS,Total,1,,,,
2022,BHS,Total,1,,,,
2018,BIH,Total,1,,,,
2019,BIH,Total,1,,,,
2020,BIH,Total,1,,,,
2021,BIH,Total,1,,,,
2022,BIH,Total,1,,,,
2018,BLR,Total,0,,,,
2019,BLR,Total,0,,,,
2020,BLR,Total,0,,,,
2021,BLR,Total,0,,,,
2022,BLR,Total,0,,,,
2018,BLZ,Total,1,,,,
2019,BLZ,Total,1,,,,
2020,BLZ,Total,1,,,,
2021,BLZ,Total,1,,,,
2022,BLZ,Total,1,,,,
2018,BOL,Total,1,,,,
2019,BOL,Total,1,,,,
2020,BOL,Total,1,,,,
2021,BOL,Total,1,,,,
2022,BOL,Total,1,,,,
2018,BRA,Total,1,,,,
2019,BRA,Total,1,,,,
2020,BRA,Total,1,,,,
2021,BRA,Total,1,,,,
2022,BRA,Total,1,,,,
2018,BRB,Total,1,,,,
2019,BRB,Total,1,,,,
2020,BRB,Total,1,,,,
2021,BRB,Total,1,,,,
2022,BRB,Total,1,,,,
2018,BRN,Total,1,,,,
2019,BRN,Total,0,,,,
2020,BRN,Total,0,,,,
2021,BRN,Total,0,,,,
2022,BRN,Total,0,,,,
2018,BTN,Total,1,,,,
2019,BTN,Total,1,,,,
2020,BTN,Total,1,,,,
2021,BTN,Total,1,,,,
2022,BTN,Total,1,,,,
2018,BWA,Total,1,,,,
2019,BWA,Total,1,,,,
2020,BWA,Total,1,,,,
2021,BWA,Total,1,,,,
2022,BWA,Total,1,,,,
2018,CAF,Total,0,,,,
2019,CAF,Total,0,,,,
2020,CAF,Total,0,,,,
2021,CAF,Total,0,,,,
2022,CAF,Total,0,,,,
2018,CAN,Total,1,,,,
2019,CAN,Total,1,,,,
2020,CAN,Total,1,,,,
2021,CAN,Total,1,,,,
2022,CAN,Total,1,,,,
2018,CHE,Total,1,,,,
2019,CHE,Total,1,,,,
2020,CHE,Total,1,,,,
2021,CHE,Total,1,,,,
2022,CHE,Total,1,,,,
2018,CHL,Total,1,,,,
2019,CHL,Total,1,,,,
2020,CHL,Total,1,,,,
2021,CHL,Total,1,,,,
2022,CHL,Total,1,,,,
2018,CHN,Total,0,,,,
