year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2010,KOR,Total,1.24,,,,
2015,KOR,Total,1.63,,,,
2020,KOR,Total,1.39,,,,
2010,KWT,Total,0.94,,,,
2015,KWT,Total,0.95,,,,
2020,KWT,Total,0.78,,,,
2010,LAO,Total,2.06,,,,
2015,LAO,Total,0.15,,,,
2020,LAO,Total,0.00,,,,
2010,LBN,Total,1.36,,,,
2015,LBN,Total,1.45,,,,
2020,LBN,Total,1.32,,,,
2010,LBR,Total,0.11,,,,
2015,LBR,Total,0.36,,,,
2020,LBR,Total,0.33,,,,
2010,LBY,Total,1.00,,,,
2015,LBY,Total,0.85,,,,
2020,LBY,Total,0.91,,,,
2010,LKA,Total,0.01,,,,
2015,LKA,Total,-0.03,,,,
2020,LKA,Total,-0.08,,,,
2010,LSO,Total,0.08,,,,
2015,LSO,Total,0.12,,,,
2020,LSO,Total,0.04,,,,
2010,LTU,Total,0.98,,,,
2015,LTU,Total,1.01,,,,
2020,LTU,Total,0.82,,,,
2010,LVA,Total,0.95,,,,
2015,LVA,Total,1.05,,,,
2020,LVA,Total,1.01,,,,
2010,MAC,Total,0.21,,,,
2015,MAC,Total,0.35,,,,
2020,MAC,Total,0.09,,,,
2010,MAR,Total,1.15,,,,
2015,MAR,Total,1.26,,,,
2020,MAR,Total,1.29,,,,
2010,MDA,Total,1.30,,,,
2015,MDA,Total,1.59,,,,
2020,MDA,Total,1.35,,,,
2010,MDG,Total,0.26,,,,
2015,MDG,Total,0.58,,,,
2020,MDG,Total,0.34,,,,
2010,MEX,Total,0.71,,,,
2015,MEX,Total,0.74,,,,
2020,MEX,Total,0.84,,,,
2010,MKD,Total,1.13,,,,
2015,MKD,Total,1.25,,,,
2020,MKD,Total,1.05,,,,
2010,MLI,Total,0.08,,,,
2015,MLI,Total,0.15,,,,
2020,MLI,Total,0.13,,,,
2010,MMR,Total,0.06,,,,
2015,MMR,Total,0.29,,,,
2020,MMR,Total,0.24,,,,
2010,MNE,Total,1.64,,,,
2015,MNE,Total,1.37,,,,
2020,MNE,Total,1.82,,,,
2010,MNG,Total,0.50,,,,
2015,MNG,Total,0.42,,,,
2020,MNG,Total,0.62,,,,
2010,MOZ,Total,0.15,,,,
2015,MOZ,Total,0.13,,,,
2020,MOZ,Total,0.07,,,,
2010,MRT,Total,0.08,,,,
2015,MRT,Total,0.14,,,,
2020,MRT,Total,-0.03,,,,
2010,MUS,Total,0.57,,,,
2015,MUS,Total,0.34,,,,
2020,MUS,Total,0.15,,,,
2010,MWI,Total,0.03,,,,
2015,MWI,Total,0.15,,,,
2020,MWI,Total,0.08,,,,
2010,MYS,Total,0.33,,,,
2015,MYS,Total,0.32,,,,
2020,MYS,Total,0.31,,,,
2010,NAM,Total,-0.23,,,,
2015,NAM,Total,-0.41,,,,
2020,NAM,Total,-0.76,,,,
2010,NCL,Total,0.01,,,,
2015,NCL,Total,-0.07,,,,
2020,NCL,Total,0.00,,,,
2010,NER,Total,0.14,,,,
2015,NER,Total,0.14,,,,
2020,NER,Total,0.15,,,,
2010,NGA,Total,0.32,,,,
2015,NGA,Total,0.21,,,,
2020,NGA,Total,0.29,,,,
2010,NIC,Total,0.07,,,,
2015,NIC,Total,0.08,,,,
2020,NIC,Total,0.26,,,,
2010,NLD,Total,0.98,,,,
2015,NLD,Total,0.97,,,,
2020,NLD,Total,1.20,,,,
2010,NOR,Total,0.09,,,,
2015,NOR,Total,0.15,,,,
2020,NOR,Total,0.12,,,,
2010,NPL,Total,0.89,,,,
2015,NPL,Total,0.55,,,,
2020,NPL,Total,0.55,,,,
2010,NZL,Total,0.36,,,,
2015,NZL,Total,0.39,,,,
2020,NZL,Total,0.38,,,,
2010,OMN,Total,0.30,,,,
2015,OMN,Total,0.45,,,,
2020,OMN,Total,0.06,,,,
2010,PAK,Total,0.67,,,,
2015,PAK,Total,0.78,,,,
2020,PAK,Total,0.83,,,,
2010,PAN,Total,0.01,,,,
2015,PAN,Total,-0.08,,,,
2020,PAN,Total,0.05,,,,
2010,PER,Total,0.94,,,,
2015,PER,Total,0.73,,,,
2020,PER,Total,0.42,,,,
2010,PHL,Total,0.38,,,,
2015,PHL,Total,0.14,,,,
2020,PHL,Total,0.25,,,,
2010,PNG,Total,0.19,,,,
2015,PNG,Total,0.08,,,,
2020,PNG,Total,0.21,,,,
2010,POL,Total,1.28,,,,
2015,POL,Total,1.60,,,,
2020,POL,Total,1.09,,,,
2010,PRI,Total,0.50,,,,
2015,PRI,Total,0.50,,,,
2020,PRI,Total,0.52,,,,
2010,PRK,Total,0.19,,,,
2015,PRK,Total,0.32,,,,
2020,PRK,Total,0.21,,,,
2010,PRT,Total,0.83,,,,
2015,PRT,Total,0.82,,,,
2020,PRT,Total,0.80,,,,
2010,PRY,Total,0.63,,,,
2015,PRY,Total,0.58,,,,
2020,PRY,Total,0.51,,,,
2010,PSE,Total,0.35,,,,
2015,PSE,Total,0.40,,,,
2020,PSE,Total,0.41,,,,
2010,QAT,Total,0.73,,,,
2015,QAT,Total,0.80,,,,
2020,QAT,Total,0.93,,,,
2010,REU,Total,-0.01,,,,
2015,REU,Total,0.04,,,,
2020,REU,Total,-0.02,,,,
2010,ROU,Total,1.85,,,,
2015,ROU,Total,2.12,,,,
2020,ROU,Total,1.89,,,,
2010,RUS,Total,1.63,,,,
2015,RUS,Total,1.32,,,,
2020,RUS,Total,1.30,,,,
2010,RWA,Total,0.18,,,,
2015,RWA,Total,0.11,,,,
2020,RWA,Total,0.13,,,,
2010,SAU,Total,0.58,,,,
2015,SAU,Total,0.67,,,,
2020,SAU,Total,0.57,,,,
2010,SDN,Total,0.54,,,,
2015,SDN,Total,0.68,,,,
2020,SDN,Total,0.76,,,,
2010,SEN,Total,0.61,,,,
2015,SEN,Total,0.36,,,,
2020,SEN,Total,0.19,,,,
2010,SGP,Total,0.49,,,,
2015,SGP,Total,0.41,,,,
2020,SGP,Total,0.49,,,,
2010,SLE,Total,0.72,,,,
2015,SLE,Total,0.57,,,,
2020,SLE,Total,0.11,,,,
2010,SLV,Total,-0.01,,,,
2015,SLV,Total,0.00,,,,
2020,SLV,Total,0.02,,,,
2010,SOM,Total,0.02,,,,
2015,SOM,Total,0.07,,,,
2020,SOM,Total,0.15,,,,
2010,SRB,Total,1.51,,,,
2015,SRB,Total,2.12,,,,
2020,SRB,Total,1.74,,,,
2010,SSD,Total,0.11,,,,
2015,SSD,Total,0.11,,,,
2020,SSD,Total,0.20,,,,
2010,SUR,Total,0.15,,,,
2015,SUR,Total,0.09,,,,
2020,SUR,Total,0.11,,,,
2010,SVK,Total,1.48,,,,
2015,SVK,Total,1.89,,,,
2020,SVK,Total,1.12,,,,
2010,SVN,Total,1.32,,,,
2015,SVN,Total,1.50,,,,
2020,SVN,Total,1.37,,,,
2010,SWE,Total,0.64,,,,
2015,SWE,Total,0.61,,,,
2020,SWE,Total,0.67,,,,
2010,SYR,Total,1.48,,,,
2015,SYR,Total,1.49,,,,
2020,SYR,Total,1.47,,,,
2010,TCD,Total,-0.17,,,,
2015,TCD,Total,-0.17,,,,
2020,TCD,Total,-0.09,,,,
2010,TGO,Total,0.31,,,,
2015,TGO,Total,0.20,,,,
2020,TGO,Total,0.20,,,,
2010,THA,Total,0.08,,,,
2015,THA,Total,0.55,,,,
2020,THA,Total,0.52,,,,
2010,TJK,Total,0.67,,,,
2015,TJK,Total,0.74,,,,
2020,TJK,Total,1.07,,,,
2010,TKM,Total,1.91,,,,
2015,TKM,Total,2.00,,,,
2020,TKM,Total,2.03,,,,
2010,TUN,Total,0.93,,,,
2015,TUN,Total,0.92,,,,
2020,TUN,Total,0.87,,,,
2010,TUR,Total,1.13,,,,
2015,TUR,Total,1.15,,,,
2020,TUR,Total,1.24,,,,
2010,TWN,Total,0.56,,,,
2015,TWN,Total,0.38,,,,
2020,TWN,Total,0.61,,,,
2010,TZA,Total,0.15,,,,
2015,TZA,Total,0.17,,,,
2020,TZA,Total,0.15,,,,
2010,UGA,Total,0.75,,,,
2015,UGA,Total,0.57,,,,
2020,UGA,Total,0.56,,,,
2010,UKR,Total,1.71,,,,
2015,UKR,Total,1.71,,,,
2020,UKR,Total,1.61,,,,
2010,URY,Total,1.37,,,,
2015,URY,Total,1.28,,,,
2020,URY,Total,1.73,,,,
2010,USA,Total,0.73,,,,
2015,USA,Total,0.70,,,,
2020,USA,Total,0.73,,,,
2010,UZB,Total,1.03,,,,
2015,UZB,Total,1.14,,,,
2020,UZB,Total,1.35,,,,
2010,VAT,Total,2.26,,,,
