year,year_max,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,2015,GUF,21.95,,,,
2015,2019,GUF,38.11,,,,
2019,2023,GUF,35.79,,,,
2000,2015,GUM,27.99,,,,
2015,2019,GUM,43.62,,,,
2019,2023,GUM,44.7,,,,
2000,2015,GUY,30.23,,,,
2015,2019,GUY,47.61,,,,
2019,2023,GUY,39.22,,,,
2000,2015,HND,30.56,,,,
2015,2019,HND,49.45,,,,
2019,2023,HND,45.66,,,,
2000,2015,HRV,12.49,,,,
2015,2019,HRV,26.94,,,,
2019,2023,HRV,46.91,,,,
2000,2015,HTI,54.68,,,,
2015,2019,HTI,56.62,,,,
2019,2023,HTI,53.4,,,,
2000,2015,HUN,16.9,,,,
2015,2019,HUN,40.83,,,,
2019,2023,HUN,58.12,,,,
2000,2015,IDN,30.83,,,,
2015,2019,IDN,41.55,,,,
2019,2023,IDN,38.46,,,,
2000,2015,IMN,22.84,,,,
2015,2019,IMN,35.16,,,,
2019,2023,IMN,29.53,,,,
2000,2015,IND,11.06,,,,
2015,2019,IND,28.79,,,,
2019,2023,IND,12.74,,,,
2000,2015,IRL,25.05,,,,
2015,2019,IRL,31.96,,,,
2019,2023,IRL,15.94,,,,
2000,2015,IRN,12.19,,,,
2015,2019,IRN,16.75,,,,
2019,2023,IRN,22.5,,,,
2000,2015,IRQ,12.59,,,,
2015,2019,IRQ,14.67,,,,
2019,2023,IRQ,26.08,,,,
2000,2015,ISL,12.28,,,,
2015,2019,ISL,20.25,,,,
2019,2023,ISL,31.51,,,,
2000,2015,ISR,20.99,,,,
2015,2019,ISR,30.65,,,,
2019,2023,ISR,23.04,,,,
2000,2015,ITA,11.01,,,,
2015,2019,ITA,30.87,,,,
2019,2023,ITA,37.8,,,,
2000,2015,JAM,47.51,,,,
2015,2019,JAM,46.91,,,,
2019,2023,JAM,42.97,,,,
2000,2015,JOR,4.31,,,,
2015,2019,JOR,6.01,,,,
2019,2023,JOR,5.8,,,,
2000,2015,JPN,17.74,,,,
2015,2019,JPN,27.89,,,,
2019,2023,JPN,25.37,,,,
2000,2015,KAZ,40.26,,,,
2015,2019,KAZ,47.92,,,,
2019,2023,KAZ,62.1,,,,
2000,2015,KEN,48.27,,,,
2015,2019,KEN,59.13,,,,
2019,2023,KEN,64.17,,,,
2000,2015,KGZ,55.83,,,,
2015,2019,KGZ,59.6,,,,
2019,2023,KGZ,68.51,,,,
2000,2015,KHM,45.18,,,,
2015,2019,KHM,51.02,,,,
2019,2023,KHM,56.53,,,,
2000,2015,KIR,18.84,,,,
2015,2019,KIR,32.13,,,,
2019,2023,KIR,36.92,,,,
2000,2015,KNA,24.41,,,,
2015,2019,KNA,62.63,,,,
2019,2023,KNA,52.44,,,,
2000,2015,KOR,16.31,,,,
2015,2019,KOR,19.79,,,,
2019,2023,KOR,19.61,,,,
2000,2015,KWT,2.68,,,,
2015,2019,KWT,3.81,,,,
2019,2023,KWT,2.65,,,,
2000,2015,LAO,33.66,,,,
2015,2019,LAO,38.46,,,,
2019,2023,LAO,40.96,,,,
2000,2015,LBN,19.62,,,,
2015,2019,LBN,32.16,,,,
2019,2023,LBN,27.79,,,,
2000,2015,LBR,18.22,,,,
2015,2019,LBR,23.84,,,,
2019,2023,LBR,15.48,,,,
2000,2015,LBY,1.26,,,,
2015,2019,LBY,1.33,,,,
2019,2023,LBY,1.78,,,,
2000,2015,LCA,29,,,,
2015,2019,LCA,50.14,,,,
2019,2023,LCA,45,,,,
2000,2015,LIE,30.54,,,,
2015,2019,LIE,43.43,,,,
2019,2023,LIE,41.04,,,,
2000,2015,LKA,24.08,,,,
2015,2019,LKA,35.08,,,,
2019,2023,LKA,26.87,,,,
2000,2015,LSO,88.2,,,,
2015,2019,LSO,93.84,,,,
2019,2023,LSO,64.21,,,,
2000,2015,LTU,40.58,,,,
2015,2019,LTU,59.37,,,,
2019,2023,LTU,57.78,,,,
2000,2015,LUX,13.15,,,,
2015,2019,LUX,40.9,,,,
2019,2023,LUX,29.36,,,,
2000,2015,LVA,37.5,,,,
2015,2019,LVA,58.02,,,,
2019,2023,LVA,51.92,,,,
2000,2015,MAR,8.29,,,,
2015,2019,MAR,18.61,,,,
2019,2023,MAR,33.49,,,,
2000,2015,MCO,11.63,,,,
2015,2019,MCO,18.61,,,,
2019,2023,MCO,48.84,,,,
2000,2015,MDA,36.55,,,,
2015,2019,MDA,52.57,,,,
2019,2023,MDA,73.2,,,,
2000,2015,MDG,66.69,,,,
2015,2019,MDG,78.74,,,,
2019,2023,MDG,79.56,,,,
2000,2015,MDV,7.95,,,,
2015,2019,MDV,9.64,,,,
2019,2023,MDV,8.61,,,,
2000,2015,MEX,15.55,,,,
2015,2019,MEX,33.39,,,,
2019,2023,MEX,53.65,,,,
2000,2015,MHL,3.56,,,,
2015,2019,MHL,3.61,,,,
2019,2023,MHL,3.56,,,,
2000,2015,MKD,14.15,,,,
2015,2019,MKD,53.02,,,,
2019,2023,MKD,54.81,,,,
2000,2015,MLI,14.77,,,,
2015,2019,MLI,25.14,,,,
2019,2023,MLI,18.09,,,,
2000,2015,MLT,19.14,,,,
2015,2019,MLT,26.39,,,,
2019,2023,MLT,79.84,,,,
2000,2015,MMR,34.23,,,,
2015,2019,MMR,35.02,,,,
2019,2023,MMR,32.31,,,,
2000,2015,MNE,20.77,,,,
2015,2019,MNE,52.56,,,,
2019,2023,MNE,48.54,,,,
2000,2015,MNG,15.75,,,,
2015,2019,MNG,25.25,,,,
2019,2023,MNG,27.31,,,,
2000,2015,MNP,13.39,,,,
2015,2019,MNP,32.07,,,,
2019,2023,MNP,24.23,,,,
2000,2015,MOZ,62.45,,,,
2015,2019,MOZ,64.3,,,,
2019,2023,MOZ,61.49,,,,
2000,2015,MRT,7.08,,,,
2015,2019,MRT,17.45,,,,
2019,2023,MRT,10.78,,,,
2000,2015,MSR,15.91,,,,
2015,2019,MSR,22.88,,,,
2019,2023,MSR,17.03,,,,
2000,2015,MTQ,27.55,,,,
2015,2019,MTQ,40.57,,,,
2019,2023,MTQ,41.95,,,,
2000,2015,MUS,31.3,,,,
2015,2019,MUS,39.37,,,,
2019,2023,MUS,46.69,,,,
2000,2015,MWI,79.04,,,,
2015,2019,MWI,79.74,,,,
2019,2023,MWI,79.99,,,,
2000,2015,MYS,35.78,,,,
2015,2019,MYS,41.83,,,,
2019,2023,MYS,36.34,,,,
2000,2015,MYT,33.06,,,,
2015,2019,MYT,60.03,,,,
2019,2023,MYT,46.99,,,,
2000,2015,NAM,42.64,,,,
2015,2019,NAM,71.86,,,,
2019,2023,NAM,58.26,,,,
2000,2015,NCL,20.91,,,,
2015,2019,NCL,35.53,,,,
2019,2023,NCL,24.98,,,,
2000,2015,NER,13.54,,,,
2015,2019,NER,16.58,,,,
2019,2023,NER,13.55,,,,
2000,2015,NGA,52.98,,,,
2015,2019,NGA,65,,,,
2019,2023,NGA,65.93,,,,
2000,2015,NIC,38.22,,,,
2015,2019,NIC,46.33,,,,
2019,2023,NIC,41.65,,,,
2000,2015,NIU,60.25,,,,
2015,2019,NIU,60.54,,,,
2019,2023,NIU,62.73,,,,
2000,2015,NLD,14.08,,,,
2015,2019,NLD,28.53,,,,
2019,2023,NLD,21.63,,,,
2000,2015,NOR,26.05,,,,
2015,2019,NOR,41.01,,,,
2019,2023,NOR,40.98,,,,
2000,2015,NPL,14.97,,,,
2015,2019,NPL,25.85,,,,
2019,2023,NPL,17.2,,,,
2000,2015,NRU,17.09,,,,
2015,2019,NRU,29.91,,,,
2019,2023,NRU,78.92,,,,
2000,2015,NZL,31.36,,,,
2015,2019,NZL,39.39,,,,
2019,2023,NZL,37.78,,,,
2000,2015,OMN,0.92,,,,
2015,2019,OMN,1.2,,,,
2019,2023,OMN,0.76,,,,
2000,2015,PAK,9.38,,,,
2015,2019,PAK,18.8,,,,
2019,2023,PAK,13.02,,,,
2000,2015,PAN,29.28,,,,
2015,2019,PAN,45.34,,,,
2019,2023,PAN,38.38,,,,
2000,2015,PCN,27.67,,,,
2015,2019,PCN,38.64,,,,
2019,2023,PCN,46.26,,,,
2000,2015,PER,22.98,,,,
2015,2019,PER,29.34,,,,
2019,2023,PER,30.66,,,,
2000,2015,PHL,29.1,,,,
2015,2019,PHL,35.5,,,,
2019,2023,PHL,30.33,,,,
2000,2015,PLW,11.06,,,,
2015,2019,PLW,14.23,,,,
2019,2023,PLW,14.89,,,,
2000,2015,PNG,28.29,,,,
2015,2019,PNG,38.76,,,,
2019,2023,PNG,38.22,,,,
2000,2015,POL,24.52,,,,
2015,2019,POL,41.24,,,,
2019,2023,POL,38.67,,,,
2000,2015,PRK,24.77,,,,
2015,2019,PRK,31.95,,,,
2019,2023,PRK,29.22,,,,
2000,2015,PRT,15.91,,,,
2015,2019,PRT,44.31,,,,
2019,2023,PRT,28.05,,,,
2000,2015,PRY,31.62,,,,
2015,2019,PRY,44.52,,,,
2019,2023,PRY,62.47,,,,
2000,2015,PSE,32.37,,,,
2015,2019,PSE,46.84,,,,
2019,2023,PSE,27.13,,,,
2000,2015,PYF,19.22,,,,
2015,2019,PYF,34.28,,,,
2019,2023,PYF,35.86,,,,
2000,2015,QAT,1.62,,,,
2015,2019,QAT,2.41,,,,
2019,2023,QAT,2.59,,,,
2000,2015,REU,29.63,,,,
2015,2019,REU,32.24,,,,
2019,2023,REU,39.3,,,,
2000,2015,ROU,21.99,,,,
2015,2019,ROU,44.73,,,,
2019,2023,ROU,61.42,,,,
2000,2015,RWA,59.54,,,,
2015,2019,RWA,63.72,,,,
2019,2023,RWA,64.98,,,,
2000,2015,SAU,4.1,,,,
2015,2019,SAU,4.39,,,,
2019,2023,SAU,3.6,,,,
2000,2015,SDN,16.61,,,,
2015,2019,SDN,20.86,,,,
2019,2023,SDN,12.61,,,,
2000,2015,SEN,44.26,,,,
2015,2019,SEN,83.74,,,,
2019,2023,SEN,56.21,,,,
2000,2015,SGP,47.41,,,,
2015,2019,SGP,58.25,,,,
2019,2023,SGP,56.3,,,,
2000,2015,SHN,24.55,,,,
2015,2019,SHN,43.82,,,,
2019,2023,SHN,50.06,,,,
2000,2015,SLB,30.53,,,,
2015,2019,SLB,44.12,,,,
2019,2023,SLB,39.08,,,,
2000,2015,SLE,45.8,,,,
2015,2019,SLE,64.68,,,,
2019,2023,SLE,38.61,,,,
2000,2015,SLV,19.27,,,,
2015,2019,SLV,33.2,,,,
2019,2023,SLV,17.14,,,,
2000,2015,SMR,6.92,,,,
2015,2019,SMR,18.26,,,,
2019,2023,SMR,33.8,,,,
2000,2015,SOM,23.12,,,,
2015,2019,SOM,57.58,,,,
2019,2023,SOM,39.93,,,,
2000,2015,SRB,27.32,,,,
2015,2019,SRB,66.26,,,,
2019,2023,SRB,55.32,,,,
2000,2015,SSD,8.85,,,,
2015,2019,SSD,23.06,,,,
2019,2023,SSD,12.51,,,,
2000,2015,STP,21.79,,,,
2015,2019,STP,35.07,,,,
2019,2023,STP,35.36,,,,
2000,2015,SUR,25.39,,,,
2015,2019,SUR,40.1,,,,
2019,2023,SUR,34.2,,,,
2000,2015,SVK,22.95,,,,
2015,2019,SVK,42.8,,,,
2019,2023,SVK,48,,,,
2000,2015,SVN,17.04,,,,
2015,2019,SVN,23.84,,,,
2019,2023,SVN,44.5,,,,
2000,2015,SWE,20.62,,,,
2015,2019,SWE,34.98,,,,
2019,2023,SWE,34.88,,,,
2000,2015,SWZ,54.35,,,,
2015,2019,SWZ,58.42,,,,
2019,2023,SWZ,30.83,,,,
2000,2015,SYC,20.63,,,,
2015,2019,SYC,36.3,,,,
2019,2023,SYC,34.81,,,,
2000,2015,SYR,22.94,,,,
2015,2019,SYR,26.79,,,,
2019,2023,SYR,31.67,,,,
2000,2015,TCA,45.19,,,,
2015,2019,TCA,58.73,,,,
2019,2023,TCA,54.96,,,,
2000,2015,TCD,20.87,,,,
2015,2019,TCD,27.21,,,,
2019,2023,TCD,17.82,,,,
2000,2015,TGO,39.62,,,,
2015,2019,TGO,64.15,,,,
2019,2023,TGO,54.3,,,,
2000,2015,THA,26.31,,,,
2015,2019,THA,28.93,,,,
2019,2023,THA,33.42,,,,
2000,2015,TJK,16.78,,,,
2015,2019,TJK,39.69,,,,
2019,2023,TJK,45.77,,,,
2000,2015,TKL,0,,,,
2015,2019,TKL,0,,,,
2019,2023,TKL,0,,,,
2000,2015,TKM,21.89,,,,
2015,2019,TKM,28.8,,,,
2019,2023,TKM,46.27,,,,
2000,2015,TLS,17.95,,,,
2015,2019,TLS,34.76,,,,
2019,2023,TLS,19.72,,,,
2000,2015,TON,26.29,,,,
2015,2019,TON,37.45,,,,
2019,2023,TON,38.45,,,,
2000,2015,TTO,30.74,,,,
2015,2019,TTO,53.2,,,,
2019,2023,TTO,39.3,,,,
2000,2015,TUN,12.82,,,,
2015,2019,TUN,18.88,,,,
2019,2023,TUN,40.65,,,,
2000,2015,TUR,11.42,,,,
2015,2019,TUR,22.06,,,,
2019,2023,TUR,40.23,,,,
2000,2015,TUV,6.2,,,,
2015,2019,TUV,13.82,,,,
2019,2023,TUV,20.86,,,,
2000,2015,TWN,26.11,,,,
2015,2019,TWN,28.89,,,,
2019,2023,TWN,31.63,,,,
2000,2015,TZA,52.72,,,,
2015,2019,TZA,58.31,,,,
2019,2023,TZA,54.29,,,,
2000,2015,UGA,39.46,,,,
2015,2019,UGA,62.03,,,,
2019,2023,UGA,60.4,,,,
2000,2015,UKR,47.37,,,,
2015,2019,UKR,62.96,,,,
2019,2023,UKR,62.61,,,,
2000,2015,URY,28.76,,,,
2015,2019,URY,30.25,,,,
2019,2023,URY,32.71,,,,
2000,2015,USA,30.1,,,,
2015,2019,USA,44.61,,,,
2019,2023,USA,49.22,,,,
2000,2015,UZB,26.56,,,,
2015,2019,UZB,37.8,,,,
2019,2023,UZB,46.33,,,,
2000,2015,VAT,0,,,,
2015,2019,VAT,0,,,,
2019,2023,VAT,0,,,,
2000,2015,VCT,35.98,,,,
2015,2019,VCT,52.1,,,,
2019,2023,VCT,54.44,,,,
2000,2015,VEN,35.96,,,,
2015,2019,VEN,52.19,,,,
2019,2023,VEN,36.4,,,,
2000,2015,VGB,27.74,,,,
2015,2019,VGB,68.37,,,,
2019,2023,VGB,67.87,,,,
2000,2015,VIR,16.26,,,,
2015,2019,VIR,54.27,,,,
2019,2023,VIR,70.54,,,,
2000,2015,VNM,27.55,,,,
2015,2019,VNM,29.55,,,,
2019,2023,VNM,30.39,,,,
2000,2015,VUT,34.42,,,,
2015,2019,VUT,46.99,,,,
2019,2023,VUT,42.99,,,,
2000,2015,WLF,19.24,,,,
2015,2019,WLF,23.57,,,,
2019,2023,WLF,18.55,,,,
2000,2015,WSM,29.07,,,,
2015,2019,WSM,35.73,,,,
2019,2023,WSM,39.42,,,,
2000,2015,YEM,6.92,,,,
2015,2019,YEM,7.09,,,,
2019,2023,YEM,2.75,,,,
2000,2015,ZAF,54.75,,,,
2015,2019,ZAF,80.46,,,,
2019,2023,ZAF,52.28,,,,
2000,2015,ZMB,49.2,,,,
2015,2019,ZMB,58.93,,,,
2019,2023,ZMB,60.88,,,,
2000,2015,ZWE,54.26,,,,
2015,2019,ZWE,60.33,,,,
2019,2023,ZWE,52.01,,,,
