year,geog,value
2017,VGB,100
2018,VGB,100
2019,VGB,100
2020,VGB,100
2000,BRN,100
2001,BRN,100
2002,BRN,100
2003,BRN,100
2004,BRN,100
2005,BRN,100
2006,BRN,100
2007,BRN,100
2008,BRN,100
2009,BRN,100
2010,BRN,100
2011,BRN,100
2012,BRN,100
2013,BRN,100
2014,BRN,100
2015,BRN,100
2016,BRN,100
2017,BRN,100
2018,BRN,100
2019,BRN,100
2020,BRN,100
2000,BGR,100
2001,BGR,100
2002,BGR,100
2003,BGR,100
2004,BGR,100
2005,BGR,100
2006,BGR,100
2007,BGR,100
2008,BGR,100
2009,BGR,100
2010,BGR,100
2011,BGR,100
2012,BGR,100
2013,BGR,100
2014,BGR,100
2015,BGR,100
2016,BGR,100
2017,BGR,100
2018,BGR,100
2019,BGR,100
2020,BGR,99.7
2000,BFA,9.1
2001,BFA,9.5
2002,BFA,10
2003,BFA,11.4
2004,BFA,10.8
2005,BFA,11.3
2006,BFA,11.7
2007,BFA,12.1
2008,BFA,12.6
2009,BFA,12.6
2010,BFA,13.1
2011,BFA,14.8
2012,BFA,15.1
2013,BFA,15.4
2014,BFA,19.2
2015,BFA,16.1
2016,BFA,16.6
2017,BFA,17.2
2018,BFA,14.4
2019,BFA,18.4
2020,BFA,19
2000,BDI,2.5
2001,BDI,2.8
2002,BDI,3.1
2003,BDI,3.4
2004,BDI,3.8
2005,BDI,3.2
2006,BDI,2.7
2007,BDI,4.7
2008,BDI,4.8
2009,BDI,5.4
2010,BDI,5.3
2011,BDI,6.1
2012,BDI,6.5
2013,BDI,6.9
2014,BDI,7
2015,BDI,8.4
2016,BDI,9.3
2017,BDI,9.3
2018,BDI,10.9
2019,BDI,11.4
2020,BDI,11.7
2000,CPV,58.4
2001,CPV,60.2
2002,CPV,58.6
2003,CPV,63.6
2004,CPV,65.3
2005,CPV,67
2006,CPV,68.8
2007,CPV,70.5
2008,CPV,72.3
2009,CPV,74
2010,CPV,81.1
2011,CPV,82.4
2012,CPV,83.4
2013,CPV,84.3
2014,CPV,85.3
2015,CPV,86.4
2016,CPV,87.5
2017,CPV,88.7
2018,CPV,90.4
2019,CPV,91.4
2020,CPV,94.2
2000,KHM,16.6
2001,KHM,14.6
2002,KHM,18.2
2003,KHM,19.3
2004,KHM,25.3
2005,KHM,20.5
2006,KHM,32.4
2007,KHM,36
2008,KHM,26.4
2009,KHM,43.1
2010,KHM,31.1
2011,KHM,50.3
2012,KHM,53.9
2013,KHM,57.6
2014,KHM,56.1
2015,KHM,64.9
2016,KHM,69.5
2017,KHM,89.1
2018,KHM,81.1
2019,KHM,84
2020,KHM,86.4
2000,CMR,41
2001,CMR,46.2
2002,CMR,44
2003,CMR,45.1
2004,CMR,47.1
2005,CMR,47.3
2006,CMR,49
2007,CMR,48.2
2008,CMR,50.5
2009,CMR,51.6
2010,CMR,52.8
2011,CMR,53.7
2012,CMR,55
2013,CMR,56.2
2014,CMR,56.8
2015,CMR,58.6
2016,CMR,59.8
2017,CMR,61
2018,CMR,62.2
2019,CMR,63.5
2020,CMR,64.7
