year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,Sex,Female,15.4,,,,
2017,WLD,Sex,Female,15.8,,,,
2018,WLD,Sex,Female,16.2,,,,
2019,WLD,Sex,Female,16.6,,,,
2020,WLD,Sex,Female,17,,,,
2021,WLD,Sex,Female,17.5,,,,
2022,WLD,Sex,Female,17.9,,,,
2000,WLD,Sex,Male,6.8,,,,
2001,WLD,Sex,Male,7.1,,,,
2002,WLD,Sex,Male,7.3,,,,
2003,WLD,Sex,Male,7.6,,,,
2004,WLD,Sex,Male,7.9,,,,
2005,WLD,Sex,Male,8.2,,,,
2006,WLD,Sex,Male,8.5,,,,
2007,WLD,Sex,Male,8.8,,,,
2008,WLD,Sex,Male,9.1,,,,
2009,WLD,Sex,Male,9.4,,,,
2010,WLD,Sex,Male,9.6,,,,
2011,WLD,Sex,Male,9.9,,,,
2012,WLD,Sex,Male,10.2,,,,
2013,WLD,Sex,Male,10.5,,,,
2014,WLD,Sex,Male,10.8,,,,
2015,WLD,Sex,Male,11.1,,,,
2016,WLD,Sex,Male,11.4,,,,
2017,WLD,Sex,Male,11.7,,,,
2018,WLD,Sex,Male,12.1,,,,
2019,WLD,Sex,Male,12.4,,,,
2020,WLD,Sex,Male,12.8,,,,
2021,WLD,Sex,Male,13.2,,,,
2022,WLD,Sex,Male,13.6,,,,
2000,AFG,Sex,Female,4.7,,,,
2001,AFG,Sex,Female,5.1,,,,
2002,AFG,Sex,Female,5.5,,,,
2003,AFG,Sex,Female,6,,,,
2004,AFG,Sex,Female,6.5,,,,
2005,AFG,Sex,Female,7,,,,
2006,AFG,Sex,Female,7.6,,,,
2007,AFG,Sex,Female,8.2,,,,
2008,AFG,Sex,Female,8.9,,,,
2009,AFG,Sex,Female,9.6,,,,
2010,AFG,Sex,Female,10.3,,,,
2011,AFG,Sex,Female,11.1,,,,
2012,AFG,Sex,Female,12,,,,
2013,AFG,Sex,Female,12.9,,,,
2014,AFG,Sex,Female,14,,,,
2015,AFG,Sex,Female,15,,,,
2016,AFG,Sex,Female,16.2,,,,
2017,AFG,Sex,Female,17.4,,,,
2018,AFG,Sex,Female,18.6,,,,
2019,AFG,Sex,Female,19.8,,,,
2020,AFG,Sex,Female,21.1,,,,
2021,AFG,Sex,Female,22.4,,,,
2022,AFG,Sex,Female,23.7,,,,
2000,AFG,Sex,Male,3.7,,,,
2001,AFG,Sex,Male,4,,,,
2002,AFG,Sex,Male,4.4,,,,
2003,AFG,Sex,Male,4.7,,,,
2004,AFG,Sex,Male,5,,,,
2005,AFG,Sex,Male,5.4,,,,
2006,AFG,Sex,Male,5.8,,,,
2007,AFG,Sex,Male,6.2,,,,
2008,AFG,Sex,Male,6.6,,,,
2009,AFG,Sex,Male,7,,,,
2010,AFG,Sex,Male,7.5,,,,
2011,AFG,Sex,Male,7.9,,,,
2012,AFG,Sex,Male,8.4,,,,
2013,AFG,Sex,Male,8.9,,,,
2014,AFG,Sex,Male,9.4,,,,
2015,AFG,Sex,Male,10,,,,
2016,AFG,Sex,Male,10.5,,,,
2017,AFG,Sex,Male,11.1,,,,
2018,AFG,Sex,Male,11.8,,,,
2019,AFG,Sex,Male,12.4,,,,
2020,AFG,Sex,Male,13.1,,,,
2021,AFG,Sex,Male,13.8,,,,
2022,AFG,Sex,Male,14.5,,,,
2000,AFG,All,Total,4.3,,,,
2001,AFG,All,Total,4.6,,,,
2002,AFG,All,Total,5,,,,
2003,AFG,All,Total,5.4,,,,
2004,AFG,All,Total,5.8,,,,
2005,AFG,All,Total,6.2,,,,
2006,AFG,All,Total,6.7,,,,
2007,AFG,All,Total,7.2,,,,
2008,AFG,All,Total,7.8,,,,
2009,AFG,All,Total,8.3,,,,
2010,AFG,All,Total,9,,,,
2011,AFG,All,Total,9.6,,,,
2012,AFG,All,Total,10.3,,,,
2013,AFG,All,Total,11,,,,
2014,AFG,All,Total,11.7,,,,
2015,AFG,All,Total,12.6,,,,
2016,AFG,All,Total,13.4,,,,
2017,AFG,All,Total,14.3,,,,
2018,AFG,All,Total,15.3,,,,
2019,AFG,All,Total,16.2,,,,
2020,AFG,All,Total,17.2,,,,
2021,AFG,All,Total,18.2,,,,
2022,AFG,All,Total,19.2,,,,
2000,AGO,Sex,Female,7.7,,,,
2001,AGO,Sex,Female,8.1,,,,
2002,AGO,Sex,Female,8.5,,,,
2003,AGO,Sex,Female,8.9,,,,
2004,AGO,Sex,Female,9.4,,,,
2005,AGO,Sex,Female,9.8,,,,
2006,AGO,Sex,Female,10.2,,,,
2007,AGO,Sex,Female,10.5,,,,
2008,AGO,Sex,Female,10.9,,,,
2009,AGO,Sex,Female,11.3,,,,
2010,AGO,Sex,Female,11.6,,,,
2011,AGO,Sex,Female,12,,,,
2012,AGO,Sex,Female,12.3,,,,
2013,AGO,Sex,Female,12.6,,,,
2014,AGO,Sex,Female,13,,,,
2015,AGO,Sex,Female,13.4,,,,
2016,AGO,Sex,Female,13.8,,,,
2017,AGO,Sex,Female,14.1,,,,
2018,AGO,Sex,Female,14.6,,,,
2019,AGO,Sex,Female,15,,,,
2020,AGO,Sex,Female,15.4,,,,
2021,AGO,Sex,Female,15.9,,,,
2022,AGO,Sex,Female,16.3,,,,
2000,AGO,Sex,Male,2.6,,,,
2001,AGO,Sex,Male,2.8,,,,
2002,AGO,Sex,Male,2.9,,,,
2003,AGO,Sex,Male,3.1,,,,
2004,AGO,Sex,Male,3.3,,,,
2005,AGO,Sex,Male,3.4,,,,
2006,AGO,Sex,Male,3.6,,,,
2007,AGO,Sex,Male,3.7,,,,
2008,AGO,Sex,Male,3.9,,,,
2009,AGO,Sex,Male,4,,,,
2010,AGO,Sex,Male,4.2,,,,
2011,AGO,Sex,Male,4.3,,,,
2012,AGO,Sex,Male,4.4,,,,
2013,AGO,Sex,Male,4.5,,,,
2014,AGO,Sex,Male,4.7,,,,
2015,AGO,Sex,Male,4.8,,,,
2016,AGO,Sex,Male,5,,,,
2017,AGO,Sex,Male,5.1,,,,
2018,AGO,Sex,Male,5.3,,,,
2019,AGO,Sex,Male,5.5,,,,
2020,AGO,Sex,Male,5.8,,,,
2021,AGO,Sex,Male,6,,,,
2022,AGO,Sex,Male,6.3,,,,
2000,AGO,All,Total,5.3,,,,
2001,AGO,All,Total,5.6,,,,
2002,AGO,All,Total,5.9,,,,
2003,AGO,All,Total,6.2,,,,
2004,AGO,All,Total,6.5,,,,
2005,AGO,All,Total,6.7,,,,
2006,AGO,All,Total,7,,,,
2007,AGO,All,Total,7.3,,,,
2008,AGO,All,Total,7.6,,,,
2009,AGO,All,Total,7.8,,,,
2010,AGO,All,Total,8.1,,,,
2011,AGO,All,Total,8.3,,,,
2012,AGO,All,Total,8.5,,,,
2013,AGO,All,Total,8.8,,,,
2014,AGO,All,Total,9,,,,
2015,AGO,All,Total,9.3,,,,
2016,AGO,All,Total,9.5,,,,
2017,AGO,All,Total,9.8,,,,
2018,AGO,All,Total,10.1,,,,
2019,AGO,All,Total,10.4,,,,
2020,AGO,All,Total,10.8,,,,
2021,AGO,All,Total,11.1,,,,
2022,AGO,All,Total,11.5,,,,
2000,ALB,Sex,Female,15.6,,,,
2001,ALB,Sex,Female,15.9,,,,
2002,ALB,Sex,Female,16.2,,,,
2003,ALB,Sex,Female,16.5,,,,
2004,ALB,Sex,Female,16.8,,,,
2005,ALB,Sex,Female,17.1,,,,
2006,ALB,Sex,Female,17.5,,,,
2007,ALB,Sex,Female,17.9,,,,
2008,ALB,Sex,Female,18.3,,,,
2009,ALB,Sex,Female,18.7,,,,
2010,ALB,Sex,Female,19.1,,,,
2011,ALB,Sex,Female,19.6,,,,
2012,ALB,Sex,Female,20.1,,,,
2013,ALB,Sex,Female,20.6,,,,
2014,ALB,Sex,Female,21.1,,,,
2015,ALB,Sex,Female,21.6,,,,
2016,ALB,Sex,Female,22.1,,,,
2017,ALB,Sex,Female,22.6,,,,
2018,ALB,Sex,Female,23.1,,,,
2019,ALB,Sex,Female,23.6,,,,
2020,ALB,Sex,Female,24.1,,,,
2021,ALB,Sex,Female,24.7,,,,
2022,ALB,Sex,Female,25.2,,,,
2000,ALB,Sex,Male,9.9,,,,
2001,ALB,Sex,Male,10.3,,,,
2002,ALB,Sex,Male,10.6,,,,
2003,ALB,Sex,Male,11,,,,
2004,ALB,Sex,Male,11.4,,,,
2005,ALB,Sex,Male,11.8,,,,
2006,ALB,Sex,Male,12.2,,,,
2007,ALB,Sex,Male,12.6,,,,
2008,ALB,Sex,Male,13.1,,,,
2009,ALB,Sex,Male,13.5,,,,
2010,ALB,Sex,Male,14,,,,
2011,ALB,Sex,Male,14.4,,,,
2012,ALB,Sex,Male,14.9,,,,
2013,ALB,Sex,Male,15.4,,,,
2014,ALB,Sex,Male,16,,,,
2015,ALB,Sex,Male,16.5,,,,
2016,ALB,Sex,Male,17.1,,,,
2017,ALB,Sex,Male,17.8,,,,
2018,ALB,Sex,Male,18.4,,,,
2019,ALB,Sex,Male,19.1,,,,
2020,ALB,Sex,Male,19.8,,,,
2021,ALB,Sex,Male,20.6,,,,
2022,ALB,Sex,Male,21.4,,,,
2000,ALB,All,Total,12.8,,,,
2001,ALB,All,Total,13.1,,,,
2002,ALB,All,Total,13.4,,,,
2003,ALB,All,Total,13.7,,,,
2004,ALB,All,Total,14.1,,,,
2005,ALB,All,Total,14.5,,,,
2006,ALB,All,Total,14.8,,,,
2007,ALB,All,Total,15.3,,,,
2008,ALB,All,Total,15.7,,,,
2009,ALB,All,Total,16.1,,,,
2010,ALB,All,Total,16.6,,,,
2011,ALB,All,Total,17,,,,
2012,ALB,All,Total,17.5,,,,
2013,ALB,All,Total,18,,,,
2014,ALB,All,Total,18.5,,,,
2015,ALB,All,Total,19.1,,,,
2016,ALB,All,Total,19.6,,,,
2017,ALB,All,Total,20.2,,,,
2018,ALB,All,Total,20.8,,,,
2019,ALB,All,Total,21.4,,,,
2020,ALB,All,Total,22,,,,
2021,ALB,All,Total,22.7,,,,
2022,ALB,All,Total,23.4,,,,
2000,AND,Sex,Female,13.8,,,,
2001,AND,Sex,Female,13.9,,,,
2002,AND,Sex,Female,14.1,,,,
2003,AND,Sex,Female,14.2,,,,
2004,AND,Sex,Female,14.3,,,,
2005,AND,Sex,Female,14.4,,,,
2006,AND,Sex,Female,14.5,,,,
2007,AND,Sex,Female,14.6,,,,
2008,AND,Sex,Female,14.7,,,,
2009,AND,Sex,Female,14.8,,,,
2010,AND,Sex,Female,14.8,,,,
2011,AND,Sex,Female,14.9,,,,
2012,AND,Sex,Female,14.9,,,,
2013,AND,Sex,Female,15,,,,
2014,AND,Sex,Female,15,,,,
2015,AND,Sex,Female,15.1,,,,
2016,AND,Sex,Female,15.1,,,,
2017,AND,Sex,Female,15.2,,,,
2018,AND,Sex,Female,15.2,,,,
2019,AND,Sex,Female,15.3,,,,
2020,AND,Sex,Female,15.4,,,,
2021,AND,Sex,Female,15.5,,,,
2022,AND,Sex,Female,15.5,,,,
2000,AND,Sex,Male,13.6,,,,
2001,AND,Sex,Male,14.2,,,,
2002,AND,Sex,Male,14.7,,,,
2003,AND,Sex,Male,15.2,,,,
2004,AND,Sex,Male,15.7,,,,
2005,AND,Sex,Male,16.1,,,,
2006,AND,Sex,Male,16.6,,,,
2007,AND,Sex,Male,17,,,,
2008,AND,Sex,Male,17.3,,,,
2009,AND,Sex,Male,17.7,,,,
2010,AND,Sex,Male,17.9,,,,
2011,AND,Sex,Male,18.1,,,,
2012,AND,Sex,Male,18.3,,,,
2013,AND,Sex,Male,18.5,,,,
2014,AND,Sex,Male,18.7,,,,
2015,AND,Sex,Male,18.8,,,,
2016,AND,Sex,Male,19,,,,
2017,AND,Sex,Male,19.2,,,,
2018,AND,Sex,Male,19.4,,,,
2019,AND,Sex,Male,19.7,,,,
2020,AND,Sex,Male,19.9,,,,
2021,AND,Sex,Male,20.2,,,,
2022,AND,Sex,Male,20.5,,,,
2000,AND,All,Total,13.7,,,,
2001,AND,All,Total,14,,,,
2002,AND,All,Total,14.4,,,,
2003,AND,All,Total,14.7,,,,
2004,AND,All,Total,15,,,,
2005,AND,All,Total,15.3,,,,
2006,AND,All,Total,15.6,,,,
2007,AND,All,Total,15.8,,,,
2008,AND,All,Total,16.1,,,,
2009,AND,All,Total,16.3,,,,
2010,AND,All,Total,16.4,,,,
2011,AND,All,Total,16.5,,,,
2012,AND,All,Total,16.7,,,,
2013,AND,All,Total,16.8,,,,
2014,AND,All,Total,16.9,,,,
2015,AND,All,Total,17,,,,
2016,AND,All,Total,17.1,,,,
2017,AND,All,Total,17.3,,,,
2018,AND,All,Total,17.4,,,,
2019,AND,All,Total,17.6,,,,
2020,AND,All,Total,17.7,,,,
2021,AND,All,Total,17.9,,,,
2022,AND,All,Total,18.1,,,,
2000,ARE,Sex,Female,36.3,,,,
2001,ARE,Sex,Female,36.7,,,,
2002,ARE,Sex,Female,37.1,,,,
2003,ARE,Sex,Female,37.5,,,,
2004,ARE,Sex,Female,37.8,,,,
2005,ARE,Sex,Female,38,,,,
2006,ARE,Sex,Female,38.2,,,,
2007,ARE,Sex,Female,38.3,,,,
2008,ARE,Sex,Female,38.4,,,,
2009,ARE,Sex,Female,38.5,,,,
2010,ARE,Sex,Female,38.6,,,,
2011,ARE,Sex,Female,38.7,,,,
2012,ARE,Sex,Female,38.8,,,,
2013,ARE,Sex,Female,38.9,,,,
2014,ARE,Sex,Female,39,,,,
2015,ARE,Sex,Female,39,,,,
2016,ARE,Sex,Female,39.1,,,,
2017,ARE,Sex,Female,39.2,,,,
2018,ARE,Sex,Female,39.2,,,,
2019,ARE,Sex,Female,39.3,,,,
2020,ARE,Sex,Female,39.3,,,,
2021,ARE,Sex,Female,39.3,,,,
2022,ARE,Sex,Female,39.4,,,,
2000,ARE,Sex,Male,21.6,,,,
2001,ARE,Sex,Male,22.2,,,,
2002,ARE,Sex,Male,22.9,,,,
2003,ARE,Sex,Male,23.5,,,,
2004,ARE,Sex,Male,24.1,,,,
2005,ARE,Sex,Male,24.6,,,,
2006,ARE,Sex,Male,25.1,,,,
2007,ARE,Sex,Male,25.6,,,,
2008,ARE,Sex,Male,26,,,,
2009,ARE,Sex,Male,26.4,,,,
2010,ARE,Sex,Male,26.7,,,,
2011,ARE,Sex,Male,27,,,,
2012,ARE,Sex,Male,27.2,,,,
2013,ARE,Sex,Male,27.4,,,,
2014,ARE,Sex,Male,27.6,,,,
2015,ARE,Sex,Male,27.8,,,,
2016,ARE,Sex,Male,28,,,,
2017,ARE,Sex,Male,28.2,,,,
2018,ARE,Sex,Male,28.3,,,,
2019,ARE,Sex,Male,28.3,,,,
2020,ARE,Sex,Male,28.4,,,,
2021,ARE,Sex,Male,28.5,,,,
2022,ARE,Sex,Male,28.6,,,,
2000,ARE,All,Total,25.4,,,,
2001,ARE,All,Total,26.1,,,,
2002,ARE,All,Total,26.7,,,,
2003,ARE,All,Total,27.2,,,,
2004,ARE,All,Total,27.7,,,,
2005,ARE,All,Total,28.2,,,,
2006,ARE,All,Total,28.7,,,,
2007,ARE,All,Total,29.5,,,,
2008,ARE,All,Total,30.7,,,,
2009,ARE,All,Total,32.1,,,,
2010,ARE,All,Total,32.4,,,,
2011,ARE,All,Total,32.1,,,,
2012,ARE,All,Total,31.9,,,,
2013,ARE,All,Total,31.9,,,,
2014,ARE,All,Total,31.9,,,,
2015,ARE,All,Total,31.9,,,,
2016,ARE,All,Total,32,,,,
2017,ARE,All,Total,32,,,,
2018,ARE,All,Total,32,,,,
2019,ARE,All,Total,32,,,,
2020,ARE,All,Total,32,,,,
2021,ARE,All,Total,32,,,,
2022,ARE,All,Total,32.1,,,,
2000,ARG,Sex,Female,18.3,,,,
2001,ARG,Sex,Female,19,,,,
2002,ARG,Sex,Female,19.6,,,,
2003,ARG,Sex,Female,20.3,,,,
2004,ARG,Sex,Female,20.9,,,,
2005,ARG,Sex,Female,21.6,,,,
2006,ARG,Sex,Female,22.3,,,,
2007,ARG,Sex,Female,23,,,,
2008,ARG,Sex,Female,23.7,,,,
2009,ARG,Sex,Female,24.5,,,,
2010,ARG,Sex,Female,25.2,,,,
2011,ARG,Sex,Female,26.1,,,,
2012,ARG,Sex,Female,26.9,,,,
2013,ARG,Sex,Female,27.8,,,,
2014,ARG,Sex,Female,28.7,,,,
2015,ARG,Sex,Female,29.6,,,,
2016,ARG,Sex,Female,30.5,,,,
2017,ARG,Sex,Female,31.4,,,,
2018,ARG,Sex,Female,32.4,,,,
2019,ARG,Sex,Female,33.3,,,,
2020,ARG,Sex,Female,34.3,,,,
2021,ARG,Sex,Female,35.3,,,,
2022,ARG,Sex,Female,36.3,,,,
2000,ARG,Sex,Male,18.1,,,,
2001,ARG,Sex,Male,18.7,,,,
2002,ARG,Sex,Male,19.3,,,,
2003,ARG,Sex,Male,19.8,,,,
2004,ARG,Sex,Male,20.4,,,,
2005,ARG,Sex,Male,21,,,,
2006,ARG,Sex,Male,21.6,,,,
2007,ARG,Sex,Male,22.2,,,,
2008,ARG,Sex,Male,22.8,,,,
2009,ARG,Sex,Male,23.4,,,,
2010,ARG,Sex,Male,24.1,,,,
2011,ARG,Sex,Male,24.8,,,,
2012,ARG,Sex,Male,25.5,,,,
2013,ARG,Sex,Male,26.3,,,,
2014,ARG,Sex,Male,27,,,,
2015,ARG,Sex,Male,27.9,,,,
2016,ARG,Sex,Male,28.7,,,,
2017,ARG,Sex,Male,29.6,,,,
2018,ARG,Sex,Male,30.5,,,,
2019,ARG,Sex,Male,31.5,,,,
2020,ARG,Sex,Male,32.4,,,,
2021,ARG,Sex,Male,33.4,,,,
2022,ARG,Sex,Male,34.4,,,,
2000,ARG,All,Total,18.3,,,,
2001,ARG,All,Total,18.9,,,,
2002,ARG,All,Total,19.5,,,,
2003,ARG,All,Total,20.1,,,,
2004,ARG,All,Total,20.7,,,,
2005,ARG,All,Total,21.3,,,,
2006,ARG,All,Total,22,,,,
2007,ARG,All,Total,22.6,,,,
2008,ARG,All,Total,23.3,,,,
2009,ARG,All,Total,24,,,,
2010,ARG,All,Total,24.7,,,,
2011,ARG,All,Total,25.5,,,,
2012,ARG,All,Total,26.3,,,,
2013,ARG,All,Total,27.1,,,,
2014,ARG,All,Total,27.9,,,,
2015,ARG,All,Total,28.8,,,,
2016,ARG,All,Total,29.7,,,,
2017,ARG,All,Total,30.6,,,,
2018,ARG,All,Total,31.5,,,,
2019,ARG,All,Total,32.4,,,,
2020,ARG,All,Total,33.4,,,,
2021,ARG,All,Total,34.4,,,,
2022,ARG,All,Total,35.4,,,,
2000,ARM,Sex,Female,21.2,,,,
2001,ARM,Sex,Female,21.6,,,,
2002,ARM,Sex,Female,22.1,,,,
2003,ARM,Sex,Female,22.5,,,,
2004,ARM,Sex,Female,22.9,,,,
2005,ARM,Sex,Female,23.3,,,,
2006,ARM,Sex,Female,23.6,,,,
2007,ARM,Sex,Female,24,,,,
2008,ARM,Sex,Female,24.4,,,,
2009,ARM,Sex,Female,24.7,,,,
2010,ARM,Sex,Female,25,,,,
2011,ARM,Sex,Female,25.4,,,,
2012,ARM,Sex,Female,25.7,,,,
2013,ARM,Sex,Female,26,,,,
2014,ARM,Sex,Female,26.2,,,,
2015,ARM,Sex,Female,26.5,,,,
2016,ARM,Sex,Female,26.7,,,,
2017,ARM,Sex,Female,27,,,,
2018,ARM,Sex,Female,27.2,,,,
2019,ARM,Sex,Female,27.4,,,,
2020,ARM,Sex,Female,27.6,,,,
2021,ARM,Sex,Female,27.8,,,,
2022,ARM,Sex,Female,28,,,,
2000,ARM,Sex,Male,7.8,,,,
2001,ARM,Sex,Male,8.1,,,,
2002,ARM,Sex,Male,8.4,,,,
2003,ARM,Sex,Male,8.7,,,,
2004,ARM,Sex,Male,9.1,,,,
2005,ARM,Sex,Male,9.5,,,,
2006,ARM,Sex,Male,10,,,,
2007,ARM,Sex,Male,10.4,,,,
2008,ARM,Sex,Male,10.9,,,,
2009,ARM,Sex,Male,11.4,,,,
2010,ARM,Sex,Male,11.9,,,,
2011,ARM,Sex,Male,12.4,,,,
2012,ARM,Sex,Male,12.9,,,,
2013,ARM,Sex,Male,13.5,,,,
2014,ARM,Sex,Male,14,,,,
2015,ARM,Sex,Male,14.6,,,,
2016,ARM,Sex,Male,15.2,,,,
2017,ARM,Sex,Male,15.8,,,,
2018,ARM,Sex,Male,16.4,,,,
2019,ARM,Sex,Male,17,,,,
2020,ARM,Sex,Male,17.7,,,,
2021,ARM,Sex,Male,18.3,,,,
2022,ARM,Sex,Male,19,,,,
2000,ARM,All,Total,15.3,,,,
2001,ARM,All,Total,15.7,,,,
2002,ARM,All,Total,16.1,,,,
2003,ARM,All,Total,16.5,,,,
2004,ARM,All,Total,16.9,,,,
2005,ARM,All,Total,17.3,,,,
2006,ARM,All,Total,17.7,,,,
2007,ARM,All,Total,18.2,,,,
2008,ARM,All,Total,18.6,,,,
2009,ARM,All,Total,19,,,,
2010,ARM,All,Total,19.5,,,,
2011,ARM,All,Total,19.9,,,,
2012,ARM,All,Total,20.3,,,,
2013,ARM,All,Total,20.8,,,,
2014,ARM,All,Total,21.2,,,,
2015,ARM,All,Total,21.6,,,,
2016,ARM,All,Total,22,,,,
2017,ARM,All,Total,22.4,,,,
2018,ARM,All,Total,22.8,,,,
2019,ARM,All,Total,23.2,,,,
2020,ARM,All,Total,23.7,,,,
2021,ARM,All,Total,24.1,,,,
2022,ARM,All,Total,24.5,,,,
