year,geo,value
2014,054,0.0015
2016,054,0.0016
2017,054,0.0016
2018,054,0.0016
2019,054,0.0016
2020,054,0.002
2021,054,0.0026
2022,054,0.0029
2023,054,0.0027
2024,054,0.0027
1995,143,0.062
2000,143,0.063
2005,143,0.067
2010,143,0.069
2012,143,0.07
2014,143,0.072
2016,143,0.075
2017,143,0.075
2018,143,0.075
2019,143,0.076
2020,143,0.076
2021,143,0.076
2022,143,0.076
2023,143,0.076
2024,143,0.076
1995,145,0.046
2000,145,0.05
2005,145,0.057
2010,145,0.063
2012,145,0.065
2014,145,0.068
2016,145,0.07
2017,145,0.071
2018,145,0.096
2019,145,0.098
2020,145,0.096
2021,145,0.099
2022,145,0.1
2023,145,0.1
2024,145,0.11
1995,151,0.51
2000,151,0.55
2005,151,0.59
2010,151,0.62
2012,151,0.63
2014,151,0.64
2016,151,0.65
2017,151,0.66
2018,151,0.66
2019,151,0.66
2020,151,0.66
2021,151,0.66
2022,151,0.67
2023,151,0.66
2024,151,0.67
1995,154,0.1
2000,154,0.15
2005,154,0.49
2010,154,0.73
2012,154,0.79
2014,154,0.83
2016,154,0.85
2017,154,0.87
2018,154,0.89
2019,154,0.89
2020,154,0.89
2021,154,0.89
2022,154,0.9
2023,154,0.9
2024,154,0.9
1995,155,0.2
2000,155,0.21
2005,155,0.27
2010,155,0.29
2012,155,0.3
2014,155,0.3
2016,155,0.3
2017,155,0.3
2018,155,0.3
2019,155,0.31
2020,155,0.3
2021,155,0.31
2022,155,0.31
2023,155,0.31
2024,155,0.31
1995,AFG,0
2000,AFG,0
2005,AFG,0
2010,AFG,0.00076
2012,AFG,0.00081
