year,ISO,value,projections,benchmark_low,benchmark_mid,benchmark_high
1993,AUS,2.81775,,,,
1994,AUS,3.25026,,,,
1995,AUS,3.11992,,,,
1996,AUS,3.016,,,,
1997,AUS,2.9575,,,,
1998,AUS,3.24005,,,,
1999,AUS,3.31525,,,,
2000,AUS,3.4125,,,,
2001,AUS,3.3375,,,,
2002,AUS,3.3069,,,,
2003,AUS,3.416,,,,
2004,AUS,3.376,,,,
2005,AUS,3.45984,,,,
2006,AUS,3.681,,,,
2007,AUS,3.7715,,,,
2008,AUS,3.666,,,,
2009,AUS,3.634,,,,
2010,AUS,3.3615,,,,
2011,AUS,3.311,,,,
2012,AUS,3.3405,,,,
2013,AUS,3.1332,,,,
2014,AUS,2.988,,,,
2015,AUS,3.0875,,,,
2016,AUS,3.03733,,,,
2017,AUS,3.01851,,,,
2018,AUS,3.08464,,,,
2019,AUS,2.92523,,,,
2020,AUS,2.95848,,,,
1970,AUT,2.37614,,,,
1971,AUT,2.6895,,,,
1972,AUT,3.08308,,,,
1973,AUT,2.99228,,,,
1974,AUT,3.04612,,,,
1975,AUT,2.63484,,,,
1976,AUT,2.72244,,,,
1977,AUT,2.74342,,,,
1978,AUT,2.58996,,,,
1979,AUT,2.50767,,,,
1980,AUT,2.41332,,,,
1981,AUT,2.31173,,,,
1982,AUT,2.16432,,,,
1983,AUT,2.09657,,,,
1984,AUT,2.0678,,,,
1985,AUT,1.90152,,,,
1986,AUT,1.88284,,,,
1987,AUT,1.83964,,,,
1988,AUT,1.91352,,,,
1989,AUT,1.88575,,,,
1990,AUT,1.9208,,,,
1991,AUT,1.89254,,,,
1992,AUT,1.98685,,,,
1993,AUT,1.91178,,,,
1994,AUT,1.97064,,,,
1995,AUT,1.524,,,,
1996,AUT,1.51704,,,,
1997,AUT,1.61315,,,,
1998,AUT,1.4938,,,,
1999,AUT,1.50508,,,,
2000,AUT,1.5876,,,,
2001,AUT,1.5922,,,,
2002,AUT,1.62288,,,,
2003,AUT,1.62213,,,,
