year,geo,disagg,disagg_type,value
2024,KAZ,Gender,Male,12
2024,KEN,Gender,Male,34
2024,XKX,Gender,Male,10
2024,KWT,Gender,Male,23
2024,KGZ,Gender,Male,11
2024,LAO,Gender,Male,25
2024,LVA,Gender,Male,14
2024,LBN,Gender,Male,32
2024,LBR,Gender,Male,34
2024,LBY,Gender,Male,28
2024,LTU,Gender,Male,8
2024,MDG,Gender,Male,20
2024,MWI,Gender,Male,41
2024,MYS,Gender,Male,31
2024,MLI,Gender,Male,29
2024,MRT,Gender,Male,23
2024,MUS,Gender,Male,30
2024,MEX,Gender,Male,21
2024,MDA,Gender,Male,8
2024,MNG,Gender,Male,18
2024,MNE,Gender,Male,12
2024,MAR,Gender,Male,24
2024,MOZ,Gender,Male,45
2024,MMR,Gender,Male,32
2024,NAM,Gender,Male,33
2024,NPL,Gender,Male,15
2024,NIC,Gender,Male,21
2024,NER,Gender,Male,28
2024,NGA,Gender,Male,22
2024,PAK,Gender,Male,12
2024,PSE,Gender,Male,25
2024,PAN,Gender,Male,24
2024,PRY,Gender,Male,15
2024,PER,Gender,Male,24
2024,PHL,Gender,Male,58
2024,POL,Gender,Male,6
2024,RUS,Gender,Male,23
2024,SAU,Gender,Male,29
2024,SEN,Gender,Male,22
2024,SRB,Gender,Male,11
2024,SLE,Gender,Male,28
2024,ZAF,Gender,Male,23
2024,LKA,Gender,Male,28
2024,TJK,Gender,Male,6
2024,TZA,Gender,Male,37
2024,THA,Gender,Male,20
2024,TGO,Gender,Male,26
2024,TUN,Gender,Male,10
2024,TUR,Gender,Male,35
2024,UGA,Gender,Male,28
2024,UKR,Gender,Male,32
2024,ARE,Gender,Male,28
2024,GBR,Gender,Male,14
2024,USA,Gender,Male,28
2024,URY,Gender,Male,14
2024,UZB,Gender,Male,7
2024,VEN,Gender,Male,27
2024,VNM,Gender,Male,8
2024,YEM,Gender,Male,30
2024,ZMB,Gender,Male,29
2024,ZWE,Gender,Male,19
2020,AFG,Gender,Female,29
2020,ALB,Gender,Female,18
2020,DZA,Gender,Female,17
2020,ARG,Gender,Female,16
2020,ARM,Gender,Female,12
2020,AUS,Gender,Female,15
2020,AUT,Gender,Female,4
2020,AZE,Gender,Female,6
2020,BGD,Gender,Female,31
2020,BLR,Gender,Female,7
2020,BEL,Gender,Female,15
2020,BEN,Gender,Female,38
2020,BOL,Gender,Female,22
2020,BIH,Gender,Female,8
2020,BWA,Gender,Female,29
2020,BRA,Gender,Female,23
2020,BGR,Gender,Female,9
2020,BFA,Gender,Female,46
2020,KHM,Gender,Female,31
2020,CMR,Gender,Female,33
2020,CAN,Gender,Female,15
2020,TCD,Gender,Female,17
2020,CHL,Gender,Female,23
2020,CHN,Gender,Female,11
2020,COL,Gender,Female,24
2020,COM,Gender,Female,31
2020,COG,Gender,Female,42
2020,CRI,Gender,Female,13
2020,HRV,Gender,Female,7
2020,CYP,Gender,Female,22
2020,CIV,Gender,Female,29
2020,DNK,Gender,Female,8
2020,DOM,Gender,Female,24
2020,ECU,Gender,Female,17
2020,EGY,Gender,Female,23
2020,SLV,Gender,Female,28
2020,EST,Gender,Female,9
2020,SWZ,Gender,Female,42
2020,ETH,Gender,Female,25
2020,FIN,Gender,Female,5
2020,FRA,Gender,Female,18
2020,GAB,Gender,Female,37
2020,GMB,Gender,Female,25
2020,GEO,Gender,Female,13
2020,DEU,Gender,Female,11
2020,GHA,Gender,Female,26
2020,GRC,Gender,Female,18
2020,GTM,Gender,Female,33
2020,GIN,Gender,Female,27
2020,HND,Gender,Female,17
2020,HUN,Gender,Female,9
2020,IND,Gender,Female,22
2020,IDN,Gender,Female,23
2020,IRN,Gender,Female,37
2020,IRQ,Gender,Female,28
2020,IRL,Gender,Female,15
2020,ISR,Gender,Female,13
2020,ITA,Gender,Female,7
2020,JPN,Gender,Female,19
2020,JOR,Gender,Female,36
2020,KAZ,Gender,Female,13
2020,KEN,Gender,Female,28
2020,KOR,Gender,Female,15
2020,XKX,Gender,Female,9
2020,KWT,Gender,Female,35
2020,KGZ,Gender,Female,20
2020,LAO,Gender,Female,25
2020,LVA,Gender,Female,10
2020,LBN,Gender,Female,19
2020,LBR,Gender,Female,44
2020,LBY,Gender,Female,31
2020,LTU,Gender,Female,5
2020,LUX,Gender,Female,23
2020,MDG,Gender,Female,25
2020,MWI,Gender,Female,21
2020,MYS,Gender,Female,34
2020,MLI,Gender,Female,32
2020,MLT,Gender,Female,8
2020,MRT,Gender,Female,16
2020,MUS,Gender,Female,26
2020,MEX,Gender,Female,17
2020,MDA,Gender,Female,11
2020,MNG,Gender,Female,20
2020,MNE,Gender,Female,14
2020,MAR,Gender,Female,22
2020,MOZ,Gender,Female,24
2020,MMR,Gender,Female,19
2020,NAM,Gender,Female,34
2020,NPL,Gender,Female,15
2020,NLD,Gender,Female,10
2020,NZL,Gender,Female,12
2020,NIC,Gender,Female,21
2020,NER,Gender,Female,30
2020,NGA,Gender,Female,24
2020,MKD,Gender,Female,7
2020,NOR,Gender,Female,7
2020,PAK,Gender,Female,13
2020,PSE,Gender,Female,25
2020,PAN,Gender,Female,24
2020,PRY,Gender,Female,13
2020,PER,Gender,Female,21
2020,PHL,Gender,Female,48
2020,POL,Gender,Female,10
2020,PRT,Gender,Female,13
2020,ROU,Gender,Female,8
2020,RUS,Gender,Female,9
2020,RWA,Gender,Female,9
2020,SAU,Gender,Female,34
2020,SEN,Gender,Female,20
2020,SRB,Gender,Female,11
2020,SLE,Gender,Female,36
2020,SGP,Gender,Female,3
2020,SVK,Gender,Female,14
2020,SVN,Gender,Female,6
2020,ZAF,Gender,Female,28
2020,ESP,Gender,Female,8
2020,LKA,Gender,Female,28
2020,SWE,Gender,Female,6
2020,CHE,Gender,Female,4
2020,TWN,Gender,Female,18
2020,TJK,Gender,Female,14
2020,TZA,Gender,Female,22
2020,THA,Gender,Female,17
2020,TGO,Gender,Female,26
2020,TUN,Gender,Female,23
2020,TUR,Gender,Female,31
2020,TKM,Gender,Female,1
2020,UGA,Gender,Female,28
2020,UKR,Gender,Female,10
2020,ARE,Gender,Female,28
2020,GBR,Gender,Female,14
2020,USA,Gender,Female,14
2020,URY,Gender,Female,15
2020,UZB,Gender,Female,4
2020,VEN,Gender,Female,24
2020,VNM,Gender,Female,10
2020,YEM,Gender,Female,28
2020,ZMB,Gender,Female,26
2020,ZWE,Gender,Female,29
2024,AFG,Gender,Female,32
2024,ALB,Gender,Female,20
2024,DZA,Gender,Female,24
2024,ARG,Gender,Female,20
2024,ARM,Gender,Female,18
2024,AZE,Gender,Female,10
2024,BGD,Gender,Female,16
2024,BEN,Gender,Female,21
2024,BOL,Gender,Female,23
2024,BIH,Gender,Female,12
2024,BWA,Gender,Female,36
2024,BRA,Gender,Female,24
2024,BGR,Gender,Female,7
2024,BFA,Gender,Female,19
2024,KHM,Gender,Female,38
2024,CMR,Gender,Female,25
2024,TCD,Gender,Female,29
2024,CHL,Gender,Female,15
2024,CHN,Gender,Female,24
2024,COL,Gender,Female,25
2024,COM,Gender,Female,36
2024,COG,Gender,Female,29
2024,CRI,Gender,Female,25
2024,HRV,Gender,Female,13
2024,CYP,Gender,Female,25
2024,CIV,Gender,Female,18
2024,ECU,Gender,Female,27
2024,EGY,Gender,Female,18
2024,SLV,Gender,Female,33
2024,EST,Gender,Female,9
2024,ETH,Gender,Female,22
2024,GAB,Gender,Female,24
2024,GMB,Gender,Female,12
2024,GEO,Gender,Female,15
2024,GHA,Gender,Female,25
2024,GRC,Gender,Female,28
2024,GTM,Gender,Female,20
2024,GIN,Gender,Female,29
