year,geo,disagg,value,,
2023,NLD,Moped,50,,
2019,NOR,Scooter,7,,
2019,NOR,Bike,0,,
2019,NOR,Moped,0,,
2020,NOR,Scooter,7,,
2020,NOR,Bike,0,,
2020,NOR,Moped,0,,
2021,NOR,Scooter,58,,
2021,NOR,Bike,1,,
2021,NOR,Moped,0,,
2022,NOR,Scooter,58,,
2022,NOR,Bike,1,,
2022,NOR,Moped,0,,
2023,NOR,Scooter,57,,
2023,NOR,Bike,2,,
2023,NOR,Moped,0,,
2019,NZL,Scooter,12,,
2019,NZL,Bike,0,,
2019,NZL,Moped,0,,
2020,NZL,Scooter,6,,
2020,NZL,Bike,0,,
2020,NZL,Moped,0,,
2021,NZL,Scooter,19,,
2021,NZL,Bike,2,,
2021,NZL,Moped,0,,
2022,NZL,Scooter,19,,
2022,NZL,Bike,2,,
2022,NZL,Moped,0,,
2023,NZL,Scooter,20,,
2023,NZL,Bike,6,,
2023,NZL,Moped,0,,
2021,PAK,Scooter,1,,
2021,PAK,Bike,0,,
2021,PAK,Moped,0,,
2022,PAK,Scooter,1,,
2022,PAK,Bike,0,,
2022,PAK,Moped,0,,
2023,PAK,Scooter,1,,
2023,PAK,Bike,0,,
2023,PAK,Moped,0,,
2021,PAN,Scooter,4,,
2021,PAN,Bike,0,,
2021,PAN,Moped,0,,
2022,PAN,Scooter,4,,
2022,PAN,Bike,0,,
2022,PAN,Moped,0,,
2023,PAN,Scooter,5,,
2023,PAN,Bike,0,,
2023,PAN,Moped,0,,
2019,PER,Scooter,3,,
2019,PER,Bike,0,,
2019,PER,Moped,0,,
2020,PER,Scooter,2,,
2020,PER,Bike,0,,
2020,PER,Moped,0,,
2019,POL,Scooter,18,,
2019,POL,Bike,10,,
2019,POL,Moped,12,,
2020,POL,Scooter,31,,
2020,POL,Bike,2,,
2020,POL,Moped,25,,
2021,POL,Scooter,99,,
2021,POL,Bike,21,,
2021,POL,Moped,38,,
2022,POL,Scooter,99,,
2022,POL,Bike,21,,
2022,POL,Moped,38,,
2023,POL,Scooter,162,,
2023,POL,Bike,9,,
2023,POL,Moped,30,,
2019,PRT,Scooter,17,,
2019,PRT,Bike,4,,
2019,PRT,Moped,2,,
2020,PRT,Scooter,3,,
2020,PRT,Bike,0,,
2020,PRT,Moped,2,,
2021,PRT,Scooter,11,,
2021,PRT,Bike,3,,
2021,PRT,Moped,2,,
2022,PRT,Scooter,11,,
2022,PRT,Bike,3,,
2022,PRT,Moped,2,,
2023,PRT,Scooter,22,,
2023,PRT,Bike,5,,
2023,PRT,Moped,2,,
2021,QAT,Scooter,6,,
2021,QAT,Bike,3,,
2021,QAT,Moped,0,,
2022,QAT,Scooter,6,,
2022,QAT,Bike,3,,
2022,QAT,Moped,0,,
2023,QAT,Scooter,7,,
2023,QAT,Bike,4,,
2023,QAT,Moped,0,,
2019,ROU,Scooter,3,,
2019,ROU,Bike,1,,
2019,ROU,Moped,1,,
2020,ROU,Scooter,4,,
2020,ROU,Bike,0,,
2020,ROU,Moped,1,,
2021,ROU,Scooter,9,,
2021,ROU,Bike,0,,
2021,ROU,Moped,1,,
2022,ROU,Scooter,9,,
2022,ROU,Bike,0,,
2022,ROU,Moped,1,,
2023,ROU,Scooter,20,,
2023,ROU,Bike,0,,
2023,ROU,Moped,1,,
2019,RUS,Scooter,4,,
2019,RUS,Bike,0,,
2019,RUS,Moped,0,,
2020,RUS,Scooter,4,,
2020,RUS,Bike,0,,
2020,RUS,Moped,0,,
2021,RUS,Scooter,21,,
2021,RUS,Bike,0,,
2021,RUS,Moped,0,,
2022,RUS,Scooter,21,,
2022,RUS,Bike,0,,
2022,RUS,Moped,0,,
2023,RUS,Scooter,67,,
2023,RUS,Bike,0,,
2023,RUS,Moped,0,,
2021,SAU,Scooter,11,,
2021,SAU,Bike,2,,
2021,SAU,Moped,0,,
2022,SAU,Scooter,11,,
2022,SAU,Bike,2,,
2022,SAU,Moped,0,,
2023,SAU,Scooter,10,,
2023,SAU,Bike,6,,
2023,SAU,Moped,0,,
2019,SGP,Scooter,2,,
2019,SGP,Bike,1,,
2019,SGP,Moped,0,,
2020,SGP,Scooter,1,,
2020,SGP,Bike,1,,
2020,SGP,Moped,0,,
2021,SGP,Scooter,2,,
2021,SGP,Bike,0,,
2021,SGP,Moped,0,,
2022,SGP,Scooter,2,,
2022,SGP,Bike,0,,
2022,SGP,Moped,0,,
2020,SRB,Scooter,1,,
2020,SRB,Bike,0,,
2020,SRB,Moped,0,,
2023,SRB,Scooter,5,,
2023,SRB,Bike,0,,
2023,SRB,Moped,0,,
2019,SVK,Scooter,1,,
2019,SVK,Bike,1,,
2019,SVK,Moped,0,,
2020,SVK,Scooter,2,,
2020,SVK,Bike,1,,
2020,SVK,Moped,1,,
2021,SVK,Scooter,18,,
2021,SVK,Bike,1,,
2021,SVK,Moped,1,,
2022,SVK,Scooter,18,,
2022,SVK,Bike,1,,
2022,SVK,Moped,1,,
2023,SVK,Scooter,29,,
2023,SVK,Bike,2,,
2023,SVK,Moped,1,,
2019,SVN,Scooter,1,,
2019,SVN,Bike,0,,
2019,SVN,Moped,0,,
2019,SWE,Scooter,22,,
2019,SWE,Bike,7,,
2019,SWE,Moped,1,,
2020,SWE,Scooter,10,,
2020,SWE,Bike,3,,
2020,SWE,Moped,0,,
2021,SWE,Scooter,49,,
2021,SWE,Bike,2,,
2021,SWE,Moped,1,,
2022,SWE,Scooter,49,,
2022,SWE,Bike,2,,
2022,SWE,Moped,1,,
2023,SWE,Scooter,68,,
2023,SWE,Bike,6,,
2023,SWE,Moped,1,,
2019,THA,Scooter,2,,
2019,THA,Bike,1,,
2019,THA,Moped,0,,
2020,THA,Scooter,4,,
2020,THA,Bike,1,,
2020,THA,Moped,0,,
2021,THA,Scooter,1,,
2021,THA,Bike,0,,
2021,THA,Moped,0,,
2022,THA,Scooter,1,,
2022,THA,Bike,0,,
2022,THA,Moped,0,,
2023,THA,Scooter,1,,
2023,THA,Bike,0,,
2023,THA,Moped,0,,
2019,TUR,Scooter,1,,
2019,TUR,Bike,0,,
2019,TUR,Moped,1,,
2020,TUR,Scooter,1,,
2020,TUR,Bike,0,,
2020,TUR,Moped,0,,
2021,TUR,Scooter,31,,
2021,TUR,Bike,0,,
2021,TUR,Moped,1,,
2022,TUR,Scooter,31,,
2022,TUR,Bike,0,,
2022,TUR,Moped,1,,
2023,TUR,Scooter,50,,
2023,TUR,Bike,0,,
2023,TUR,Moped,1,,
2019,TWN,Scooter,0,,
2019,TWN,Bike,0,,
2019,TWN,Moped,4,,
2020,TWN,Scooter,1,,
2020,TWN,Bike,0,,
2020,TWN,Moped,3,,
2021,TWN,Scooter,0,,
2021,TWN,Bike,0,,
2021,TWN,Moped,9,,
2022,TWN,Scooter,0,,
2022,TWN,Bike,0,,
2022,TWN,Moped,9,,
2023,TWN,Scooter,0,,
2023,TWN,Bike,0,,
2023,TWN,Moped,10,,
2021,UKR,Scooter,28,,
2021,UKR,Bike,2,,
2021,UKR,Moped,1,,
2022,UKR,Scooter,28,,
2022,UKR,Bike,2,,
2022,UKR,Moped,1,,
2023,UKR,Scooter,32,,
2023,UKR,Bike,2,,
2023,UKR,Moped,1,,
2019,URY,Scooter,3,,
2019,URY,Bike,0,,
2019,URY,Moped,0,,
2020,URY,Scooter,1,,
2020,URY,Bike,0,,
2020,URY,Moped,0,,
2019,USA,Scooter,306,,
2019,USA,Bike,93,,
2019,USA,Moped,5,,
2020,USA,Scooter,131,,
2020,USA,Bike,30,,
2020,USA,Moped,6,,
2021,USA,Scooter,339,,
2021,USA,Bike,33,,
2021,USA,Moped,8,,
2022,USA,Scooter,339,,
2022,USA,Bike,33,,
2022,USA,Moped,8,,
2023,USA,Scooter,271,,
2023,USA,Bike,51,,
2023,USA,Moped,2,,
2021,UZB,Scooter,1,,
2021,UZB,Bike,0,,
2021,UZB,Moped,0,,
2022,UZB,Scooter,1,,
2022,UZB,Bike,0,,
2022,UZB,Moped,0,,
2023,UZB,Scooter,1,,
2023,UZB,Bike,0,,
2023,UZB,Moped,0,,
