geo,disagg,year,value
AUS,Total,2017,39.1
AUS,Total,2018,39.2
AUS,Total,2019,39.1
AUT,Total,2010,31.4
AUT,Total,2011,31.7
AUT,Total,2012,30.3
AUT,Total,2013,30.5
AUT,Total,2014,30.1
AUT,Total,2015,30.3
AUT,Total,2016,30.4
AUT,Total,2017,31.9
AUT,Total,2018,32.3
AUT,Total,2019,32.5
AZE,Total,2010,27.8
AZE,Total,2011,30.3
AZE,Total,2012,30.2
AZE,Total,2013,30.5
AZE,Total,2014,30.8
AZE,Total,2015,31
AZE,Total,2016,31.4
AZE,Total,2017,31.5
AZE,Total,2018,31.7
AZE,Total,2019,32.2
BHR,Total,2010,39
BHR,Total,2011,41.5
BHR,Total,2015,38.6
BGD,Total,2010,10.3
BGD,Total,2013,10.4
BGD,Total,2016,11.8
BGD,Total,2017,12.4
BRB,Total,2011,38.5
BRB,Total,2012,37.9
BRB,Total,2013,38.5
BRB,Total,2014,36.1
BRB,Total,2015,37.3
BRB,Total,2016,38.6
BRB,Total,2017,38.8
BRB,Total,2018,39
BRB,Total,2019,39.2
BLR,Total,2011,36
BLR,Total,2012,36.3
BLR,Total,2013,36.3
BLR,Total,2014,36.5
BLR,Total,2015,36.5
BLR,Total,2016,39.8
BLR,Total,2017,39.8
BLR,Total,2018,40.4
BLR,Total,2019,40.1
BEL,Total,2010,41.9
BEL,Total,2011,41.5
BEL,Total,2012,36.2
BEL,Total,2013,36
BEL,Total,2014,36.1
BEL,Total,2015,36.2
BEL,Total,2016,36.1
BEL,Total,2017,38.2
BEL,Total,2018,39.1
BEL,Total,2019,39.8
BLZ,Total,2012,22.8
BLZ,Total,2013,22.8
BLZ,Total,2014,23.5
BLZ,Total,2015,23.7
BLZ,Total,2016,23.9
BLZ,Total,2017,24.3
BLZ,Total,2019,25
BLZ,Total,2010,1.6
BLZ,Total,2011,1.1
BLZ,Total,2018,1
BTN,Total,2010,13.2
BTN,Total,2011,12.8
BTN,Total,2012,12.1
BTN,Total,2014,11.1
BTN,Total,2015,12.3
BTN,Total,2018,15.9
BTN,Total,2019,17
BOL,Total,2011,37.4
BOL,Total,2012,36.6
BOL,Total,2013,37.5
BOL,Total,2014,37.7
BOL,Total,2015,35.8
BOL,Total,2016,37
BOL,Total,2017,37.4
BOL,Total,2018,39.6
BOL,Total,2019,40.3
BIH,Total,2010,16
BIH,Total,2011,16.2
BIH,Total,2012,15.6
BIH,Total,2013,15.4
BIH,Total,2014,15.9
BIH,Total,2015,14.9
BIH,Total,2016,15.5
BIH,Total,2017,16.8
BIH,Total,2018,17.7
BIH,Total,2019,18.8
BWA,Total,2010,21.7
BWA,Total,2013,24.9
BWA,Total,2019,23.1
BRA,Total,2011,40.7
BRA,Total,2012,41.3
BRA,Total,2013,41.7
BRA,Total,2014,42.2
BRA,Total,2015,41.7
BRA,Total,2016,40.3
BRA,Total,2017,40.3
BRA,Total,2018,40.9
BRA,Total,2019,41.5
BRN,Total,2014,40.8
BRN,Total,2017,36.4
BRN,Total,2018,40.7
BRN,Total,2019,35.5
BGR,Total,2010,25.3
BGR,Total,2011,24.7
BGR,Total,2012,31.3
BGR,Total,2013,31.9
BGR,Total,2014,32.8
BGR,Total,2015,33.7
BGR,Total,2016,33.9
BGR,Total,2017,35.6
BGR,Total,2018,36.1
BGR,Total,2019,37
BFA,Total,2014,3.6
BFA,Total,2018,4.1
BDI,Total,2014,3.6
BDI,Total,2017,3.6
CPV,Total,2015,34
CPV,Total,2017,26.7
CPV,Total,2018,27.8
CPV,Total,2019,28.4
KHM,Total,2010,12.5
KHM,Total,2011,12.8
KHM,Total,2012,12.4
KHM,Total,2013,14.1
KHM,Total,2014,15.1
KHM,Total,2015,15.3
KHM,Total,2016,16.4
KHM,Total,2017,16.7
KHM,Total,2019,17.8
CMR,Total,2010,17.4
CMR,Total,2010,8.4
CMR,Total,2014,24.3
CAN,Total,2011,48
CAN,Total,2012,48.1
CAN,Total,2013,48.4
CAN,Total,2014,48.5
CAN,Total,2015,48.5
CAN,Total,2016,48.4
CAN,Total,2017,48.8
CAN,Total,2018,48.6
CAN,Total,2019,48.8
TCD,Total,2018,12.9
CHL,Total,2010,36.3
CHL,Total,2011,37.3
CHL,Total,2012,37.8
CHL,Total,2013,38.4
CHL,Total,2014,38.4
CHL,Total,2015,39
CHL,Total,2016,38.6
CHL,Total,2017,39.3
CHL,Total,2018,39.2
CHL,Total,2019,40
CHN,Total,2010,27.4
COL,Total,2010,38
COL,Total,2011,39.2
COL,Total,2012,39.9
COL,Total,2013,40.3
COL,Total,2014,40.6
COL,Total,2014,3200.6
COL,Total,2015,41.1
COL,Total,2016,40.8
COL,Total,2017,40.7
COL,Total,2018,40.3
COL,Total,2019,39.6
COD,Total,2012,11.3
CRI,Total,2010,34.9
CRI,Total,2011,34
CRI,Total,2012,36
CRI,Total,2013,36.5
CRI,Total,2014,35.5
CRI,Total,2015,33.8
CRI,Total,2016,32
CRI,Total,2017,32.7
CRI,Total,2018,33.5
CIV,Total,2012,29.6
CIV,Total,2013,19
CIV,Total,2016,17.9
CIV,Total,2017,20.6
CIV,Total,2019,21.8
HRV,Total,2010,25.5
HRV,Total,2011,24.4
HRV,Total,2012,24.1
HRV,Total,2013,23.9
HRV,Total,2014,24.8
HRV,Total,2015,25.4
HRV,Total,2016,26.5
HRV,Total,2017,27.4
HRV,Total,2018,28.5
HRV,Total,2019,37.4
HRV,Total,2019,28.2
CUB,Total,2010,29.7
CYP,Total,2010,50.6
CYP,Total,2011,48.2
CYP,Total,2012,48.2
CYP,Total,2013,46
CYP,Total,2014,47.4
CYP,Total,2015,49.2
CYP,Total,2016,51.5
CYP,Total,2017,54.1
CYP,Total,2018,57.9
CYP,Total,2019,58.2
CZE,Total,2010,30.5
CZE,Total,2011,31
CZE,Total,2012,33.1
CZE,Total,2013,33.4
CZE,Total,2014,33.5
CZE,Total,2015,34
CZE,Total,2016,35
CZE,Total,2017,36.3
CZE,Total,2018,36.4
CZE,Total,2019,36.2
DNK,Total,2010,35.2
DNK,Total,2011,35.1
DNK,Total,2012,29.8
DNK,Total,2013,29.2
DNK,Total,2014,29.5
DNK,Total,2015,29.7
DNK,Total,2016,31.8
DNK,Total,2017,32.4
DNK,Total,2017,447.8
DNK,Total,2018,32.5
DNK,Total,2019,33.2
DOM,Total,2010,32.9
DOM,Total,2011,33.7
DOM,Total,2012,34.7
DOM,Total,2013,33.9
DOM,Total,2014,36.6
DOM,Total,2015,36.7
DOM,Total,2016,37.8
DOM,Total,2017,38.5
DOM,Total,2018,40.1
DOM,Total,2019,41.6
ECU,Total,2010,33
ECU,Total,2011,32.7
ECU,Total,2012,33
ECU,Total,2013,32.4
ECU,Total,2014,32.6
ECU,Total,2015,33.4
ECU,Total,2016,33.1
ECU,Total,2017,32.9
ECU,Total,2018,32.4
ECU,Total,2019,32
EGY,Total,2010,16.8
EGY,Total,2011,16
EGY,Total,2012,16.3
EGY,Total,2013,16
EGY,Total,2014,16.1
EGY,Total,2015,15.2
EGY,Total,2016,15.1
EGY,Total,2017,14
EGY,Total,2018,14
EGY,Total,2019,14.3
SLV,Total,2010,29.3
SLV,Total,2011,28.7
SLV,Total,2012,29.2
SLV,Total,2013,29.3
SLV,Total,2014,28.8
SLV,Total,2015,28.6
SLV,Total,2016,28
SLV,Total,2017,27.3
SLV,Total,2018,28.4
SLV,Total,2019,28.2
EST,Total,2010,23.3
EST,Total,2011,24.7
EST,Total,2012,30.8
EST,Total,2013,31.4
EST,Total,2014,32.1
EST,Total,2015,34.1
EST,Total,2016,33.8
EST,Total,2017,38.1
EST,Total,2018,37.1
EST,Total,2019,37.8
SWZ,Total,2016,10.3
ETH,Total,2013,9.6
FJI,Total,2010,23.2
FJI,Total,2011,23.8
FJI,Total,2014,21.3
FJI,Total,2016,23.7
FIN,Total,2010,21.8
FIN,Total,2011,21.8
FIN,Total,2012,35.2
FIN,Total,2013,35.2
FIN,Total,2014,34.8
FIN,Total,2015,34.9
FIN,Total,2016,35.3
FIN,Total,2017,35.7
FIN,Total,2018,36.7
FIN,Total,2019,37
FRA,Total,2010,31.4
FRA,Total,2011,31.4
FRA,Total,2012,31
FRA,Total,2013,30.9
FRA,Total,2014,29.5
FRA,Total,2015,29.4
FRA,Total,2016,29.6
FRA,Total,2017,29.4
FRA,Total,2018,29.8
FRA,Total,2019,29.8
PYF,Total,2012,30.8
GAB,Total,2010,18.3
GMB,Total,2012,23.1
GMB,Total,2018,22.1
GEO,Total,2010,20.7
GEO,Total,2011,20.9
GEO,Total,2012,21.7
GEO,Total,2013,21.4
GEO,Total,2014,22.6
GEO,Total,2015,23.9
GEO,Total,2016,23.6
GEO,Total,2017,23.1
GEO,Total,2018,24
GEO,Total,2019,24.1
DEU,Total,2010,42.9
DEU,Total,2011,44.1
DEU,Total,2012,40.1
DEU,Total,2013,40.4
DEU,Total,2014,40.6
DEU,Total,2015,40.5
DEU,Total,2016,40.9
DEU,Total,2017,41.3
DEU,Total,2018,41.8
DEU,Total,2019,42.4
GHA,Total,2010,22
GHA,Total,2013,24.6
GHA,Total,2015,35
GHA,Total,2017,30
GRC,Total,2010,22.9
GRC,Total,2011,21.3
GRC,Total,2012,24.2
GRC,Total,2013,23
GRC,Total,2014,23.2
GRC,Total,2015,24.9
GRC,Total,2016,25.1
GRC,Total,2017,25.8
GRC,Total,2018,29.6
GRC,Total,2019,30.6
GTM,Total,2010,22.6
GTM,Total,2011,22
GTM,Total,2012,22.4
GTM,Total,2013,22.1
GTM,Total,2014,25.2
GTM,Total,2015,26.5
GTM,Total,2016,23.7
GTM,Total,2017,23.7
GTM,Total,2018,23.7
GTM,Total,2019,23.4
GIN,Total,2019,11.2
GNB,Total,2018,12.7
GUY,Total,2010,12.1
GUY,Total,2018,11
GUY,Total,2019,11
HTI,Total,2010,13.7
HND,Total,2010,22.5
HND,Total,2011,22.3
HND,Total,2012,22
HND,Total,2013,24.9
HND,Total,2014,28
HND,Total,2015,27.6
HND,Total,2016,28.6
HND,Total,2017,29.3
HND,Total,2018,29.8
HND,Total,2019,30
HKG,Total,2010,35.7
HKG,Total,2011,36.3
HKG,Total,2012,36.4
HKG,Total,2013,36.8
HKG,Total,2014,36.8
HKG,Total,2015,36.8
HKG,Total,2016,36.7
HKG,Total,2017,36.6
HKG,Total,2018,36.4
HKG,Total,2019,36
HUN,Total,2010,24.1
HUN,Total,2011,24.5
HUN,Total,2012,28.6
HUN,Total,2013,29.2
HUN,Total,2014,30.6
HUN,Total,2015,31.2
HUN,Total,2016,31.9
HUN,Total,2017,33.6
HUN,Total,2018,34.4
HUN,Total,2019,35
ISL,Total,2010,45.8
ISL,Total,2011,46.1
ISL,Total,2012,61.1
ISL,Total,2013,61.4
ISL,Total,2014,63.5
ISL,Total,2015,65.5
ISL,Total,2016,67
ISL,Total,2017,65.9
ISL,Total,2018,63.1
ISL,Total,2019,60.7
IND,Total,2010,11.7
IND,Total,2012,12.5
IND,Total,2018,13.6
IND,Total,2019,13.5
IDN,Total,2010,20
IDN,Total,2011,23.2
IDN,Total,2012,23.7
IDN,Total,2013,23.9
IDN,Total,2014,24
IDN,Total,2015,25.6
IDN,Total,2016,25.1
IDN,Total,2017,25.7
IDN,Total,2018,26
IDN,Total,2019,26.7
IRN,Total,2010,20.3
IRN,Total,2011,20.4
IRN,Total,2012,20.7
IRN,Total,2013,21.1
IRN,Total,2014,21
IRN,Total,2015,21.7
IRN,Total,2016,22.4
IRN,Total,2017,23.8
IRN,Total,2018,23.9
IRN,Total,2019,24.1
IRQ,Total,2012,20.8
IRQ,Total,2014,23
IRQ,Total,2016,27.3
IRQ,Total,2017,26.1
IRL,Total,2010,17.4
IRL,Total,2011,16.9
IRL,Total,2012,27.3
IRL,Total,2013,27.8
IRL,Total,2014,28.7
IRL,Total,2015,28.3
IRL,Total,2016,28.9
IRL,Total,2017,30.5
IRL,Total,2018,31.5
IRL,Total,2019,31.3
ISR,Total,2010,47.9
ISR,Total,2011,48.7
ISR,Total,2012,50.8
ISR,Total,2013,50.8
ISR,Total,2014,51.1
ISR,Total,2015,51.3
ISR,Total,2016,51.5
ISR,Total,2017,51.5
ISR,Total,2018,51.6
ISR,Total,2019,51.1
ITA,Total,2010,33.2
ITA,Total,2011,33.9
ITA,Total,2012,29.2
ITA,Total,2013,28.5
ITA,Total,2014,28.4
ITA,Total,2015,28.6
ITA,Total,2016,29.2
ITA,Total,2017,29.8
ITA,Total,2018,30
ITA,Total,2019,30.3
JAM,Total,2010,24.6
JAM,Total,2011,24.7
JAM,Total,2012,24.5
JAM,Total,2013,24.3
JAM,Total,2014,24.8
