year,geo,value,disagg
2003,PRT,1,Taxes and fees
2003,PRY,1,Taxes and fees
2003,ROU,8,Taxes and fees
2003,SGP,8,Taxes and fees
2003,SLB,1,Taxes and fees
2003,SRB,7,Taxes and fees
2003,SVK,2,Taxes and fees
2003,SVN,3,Taxes and fees
2003,SWE,2,Taxes and fees
2003,SYC,2,Taxes and fees
2003,THA,8,Taxes and fees
2003,TKL,1,Taxes and fees
2003,TUR,1,Taxes and fees
2003,UKR,1,Taxes and fees
2003,USA,15,Taxes and fees
2003,VNM,1,Taxes and fees
2003,ZAF,1,Taxes and fees
2004,MAR,2,Taxes and fees
2004,ALB,3,Taxes and fees
2004,ARG,1,Taxes and fees
2004,ARM,1,Taxes and fees
2004,AUS,6,Taxes and fees
2004,AUT,4,Taxes and fees
2004,BEL,3,Taxes and fees
2004,BFA,1,Taxes and fees
2004,BGR,11,Taxes and fees
2004,BIH,6,Taxes and fees
2004,BRN,11,Taxes and fees
2004,BWA,1,Taxes and fees
2004,CAN,10,Taxes and fees
2004,CHL,2,Taxes and fees
2004,CHN,1,Taxes and fees
2004,CIV,1,Taxes and fees
2004,COD,1,Taxes and fees
2004,COK,2,Taxes and fees
2004,COL,6,Taxes and fees
2004,CRI,11,Taxes and fees
2004,CYP,1,Taxes and fees
2004,CZE,6,Taxes and fees
2004,DEU,11,Taxes and fees
2004,DNK,9,Taxes and fees
2004,ESP,8,Taxes and fees
2004,EST,7,Taxes and fees
2004,FIN,6,Taxes and fees
2004,FRA,10,Taxes and fees
2004,GBR,1,Taxes and fees
2004,GNQ,1,Taxes and fees
2004,GRC,2,Taxes and fees
2004,HRV,11,Taxes and fees
2004,HUN,2,Taxes and fees
2004,IDN,4,Taxes and fees
2004,IRL,1,Taxes and fees
2004,ISL,3,Taxes and fees
2004,ISR,7,Taxes and fees
2004,JPN,3,Taxes and fees
2004,KHM,1,Taxes and fees
2004,KOR,10,Taxes and fees
2004,LAO,2,Taxes and fees
2004,LTU,10,Taxes and fees
2004,LVA,6,Taxes and fees
2004,MEX,4,Taxes and fees
2004,MHL,1,Taxes and fees
2004,MKD,1,Taxes and fees
2004,MLT,4,Taxes and fees
2004,MMR,8,Taxes and fees
2004,MNE,7,Taxes and fees
2004,MNG,1,Taxes and fees
2004,MRT,1,Taxes and fees
2004,MYS,6,Taxes and fees
2004,NER,1,Taxes and fees
2004,NLD,4,Taxes and fees
2004,NOR,2,Taxes and fees
2004,NZL,3,Taxes and fees
2004,PAN,1,Taxes and fees
2004,PER,1,Taxes and fees
2004,PHL,12,Taxes and fees
2004,POL,5,Taxes and fees
2004,PRT,1,Taxes and fees
2004,PRY,1,Taxes and fees
2004,ROU,8,Taxes and fees
2004,SGP,8,Taxes and fees
2004,SLB,1,Taxes and fees
2004,SRB,7,Taxes and fees
2004,SVK,3,Taxes and fees
2004,SVN,3,Taxes and fees
2004,SWE,2,Taxes and fees
2004,SYC,2,Taxes and fees
2004,THA,8,Taxes and fees
2004,TKL,1,Taxes and fees
2004,TUR,1,Taxes and fees
2004,UKR,1,Taxes and fees
2004,USA,17,Taxes and fees
2004,VNM,1,Taxes and fees
2004,ZAF,1,Taxes and fees
2005,MAR,2,Taxes and fees
2005,ALB,3,Taxes and fees
2005,ARG,1,Taxes and fees
2005,ARM,1,Taxes and fees
2005,AUS,6,Taxes and fees
2005,AUT,4,Taxes and fees
2005,BEL,3,Taxes and fees
2005,BFA,1,Taxes and fees
2005,BGR,12,Taxes and fees
2005,BIH,6,Taxes and fees
2005,BRN,11,Taxes and fees
2005,BWA,1,Taxes and fees
2005,CAN,10,Taxes and fees
2005,CHL,2,Taxes and fees
2005,CHN,1,Taxes and fees
2005,CIV,1,Taxes and fees
2005,COD,1,Taxes and fees
2005,COK,2,Taxes and fees
2005,COL,6,Taxes and fees
2005,CRI,13,Taxes and fees
2005,CYP,1,Taxes and fees
2005,CZE,6,Taxes and fees
2005,DEU,12,Taxes and fees
2005,DNK,9,Taxes and fees
2005,ESP,8,Taxes and fees
2005,EST,7,Taxes and fees
2005,FIN,6,Taxes and fees
2005,FRA,11,Taxes and fees
2005,GBR,1,Taxes and fees
2005,GNQ,1,Taxes and fees
2005,GRC,2,Taxes and fees
2005,HRV,11,Taxes and fees
2005,HUN,2,Taxes and fees
2005,IDN,4,Taxes and fees
2005,IRL,1,Taxes and fees
2005,ISL,3,Taxes and fees
2005,ISR,7,Taxes and fees
2005,JPN,3,Taxes and fees
2005,KHM,1,Taxes and fees
2005,KOR,10,Taxes and fees
2005,LAO,2,Taxes and fees
2005,LTU,10,Taxes and fees
2005,LVA,6,Taxes and fees
2005,MEX,4,Taxes and fees
2005,MHL,1,Taxes and fees
2005,MKD,2,Taxes and fees
2005,MLT,5,Taxes and fees
2005,MMR,8,Taxes and fees
2005,MNE,7,Taxes and fees
2005,MNG,1,Taxes and fees
2005,MRT,1,Taxes and fees
2005,MYS,6,Taxes and fees
2005,NER,1,Taxes and fees
2005,NLD,4,Taxes and fees
2005,NOR,2,Taxes and fees
2005,NZL,3,Taxes and fees
2005,PAN,1,Taxes and fees
2005,PER,1,Taxes and fees
2005,PHL,12,Taxes and fees
2005,POL,6,Taxes and fees
2005,PRT,1,Taxes and fees
2005,PRY,1,Taxes and fees
2005,ROU,9,Taxes and fees
2005,SGP,8,Taxes and fees
2005,SLB,1,Taxes and fees
2005,SRB,7,Taxes and fees
2005,SVK,3,Taxes and fees
2005,SVN,3,Taxes and fees
2005,SWE,2,Taxes and fees
2005,SYC,3,Taxes and fees
2005,THA,8,Taxes and fees
2005,TKL,1,Taxes and fees
2005,TUR,1,Taxes and fees
2005,UKR,1,Taxes and fees
2005,USA,20,Taxes and fees
2005,VNM,2,Taxes and fees
2005,ZAF,1,Taxes and fees
2006,MAR,2,Taxes and fees
2006,ALB,3,Taxes and fees
2006,ARG,1,Taxes and fees
2006,ARM,1,Taxes and fees
2006,AUS,6,Taxes and fees
2006,AUT,4,Taxes and fees
2006,BEL,3,Taxes and fees
2006,BFA,1,Taxes and fees
2006,BGR,13,Taxes and fees
2006,BIH,6,Taxes and fees
2006,BRN,11,Taxes and fees
2006,BWA,1,Taxes and fees
2006,CAN,10,Taxes and fees
2006,CHL,2,Taxes and fees
2006,CHN,1,Taxes and fees
2006,CIV,1,Taxes and fees
2006,COD,1,Taxes and fees
2006,COK,2,Taxes and fees
2006,COL,6,Taxes and fees
2006,CRI,13,Taxes and fees
2006,CYP,1,Taxes and fees
2006,CZE,6,Taxes and fees
2006,DEU,12,Taxes and fees
2006,DNK,9,Taxes and fees
2006,ESP,8,Taxes and fees
2006,EST,7,Taxes and fees
2006,FIN,6,Taxes and fees
2006,FRA,11,Taxes and fees
2006,GBR,1,Taxes and fees
2006,GNQ,1,Taxes and fees
2006,GRC,2,Taxes and fees
2006,HRV,12,Taxes and fees
2006,HUN,2,Taxes and fees
2006,IDN,4,Taxes and fees
2006,IRL,1,Taxes and fees
2006,ISL,4,Taxes and fees
2006,ISR,7,Taxes and fees
2006,JPN,3,Taxes and fees
2006,KHM,4,Taxes and fees
2006,KOR,10,Taxes and fees
2006,LAO,2,Taxes and fees
2006,LTU,10,Taxes and fees
2006,LVA,6,Taxes and fees
2006,MEX,4,Taxes and fees
2006,MHL,1,Taxes and fees
2006,MKD,2,Taxes and fees
2006,MLT,5,Taxes and fees
2006,MMR,9,Taxes and fees
2006,MNE,7,Taxes and fees
2006,MNG,1,Taxes and fees
2006,MOZ,3,Taxes and fees
2006,MRT,1,Taxes and fees
2006,MYS,6,Taxes and fees
2006,NER,1,Taxes and fees
2006,NLD,4,Taxes and fees
2006,NOR,2,Taxes and fees
2006,NZL,3,Taxes and fees
2006,PAN,1,Taxes and fees
2006,PER,1,Taxes and fees
2006,PHL,12,Taxes and fees
2006,POL,6,Taxes and fees
2006,PRT,1,Taxes and fees
2006,PRY,1,Taxes and fees
2006,ROU,9,Taxes and fees
2006,SGP,9,Taxes and fees
2006,SLB,1,Taxes and fees
2006,SRB,7,Taxes and fees
2006,SVK,3,Taxes and fees
2006,SVN,4,Taxes and fees
2006,SWE,2,Taxes and fees
2006,SYC,3,Taxes and fees
2006,THA,8,Taxes and fees
2006,TKL,1,Taxes and fees
2006,TUR,1,Taxes and fees
2006,UKR,1,Taxes and fees
2006,USA,21,Taxes and fees
2006,VNM,2,Taxes and fees
2006,ZAF,1,Taxes and fees
2007,MAR,2,Taxes and fees
2007,ALB,3,Taxes and fees
2007,ARG,1,Taxes and fees
2007,ARM,1,Taxes and fees
2007,AUS,6,Taxes and fees
2007,AUT,4,Taxes and fees
2007,BEL,3,Taxes and fees
2007,BFA,1,Taxes and fees
2007,BGR,13,Taxes and fees
2007,BIH,6,Taxes and fees
2007,BRN,13,Taxes and fees
2007,BWA,1,Taxes and fees
2007,CAN,10,Taxes and fees
2007,CHL,2,Taxes and fees
2007,CHN,1,Taxes and fees
2007,CIV,1,Taxes and fees
2007,COD,1,Taxes and fees
2007,COK,2,Taxes and fees
2007,COL,6,Taxes and fees
2007,CRI,13,Taxes and fees
2007,CYP,1,Taxes and fees
2007,CZE,6,Taxes and fees
2007,DEU,12,Taxes and fees
2007,DNK,9,Taxes and fees
2007,ESP,11,Taxes and fees
2007,EST,8,Taxes and fees
2007,FIN,6,Taxes and fees
2007,FRA,11,Taxes and fees
2007,GBR,1,Taxes and fees
2007,GNQ,1,Taxes and fees
2007,GRC,2,Taxes and fees
2007,HRV,12,Taxes and fees
2007,HUN,2,Taxes and fees
2007,IDN,4,Taxes and fees
2007,IRL,1,Taxes and fees
2007,ISL,4,Taxes and fees
2007,ISR,7,Taxes and fees
2007,JPN,3,Taxes and fees
2007,KHM,4,Taxes and fees
2007,KOR,11,Taxes and fees
2007,LAO,2,Taxes and fees
2007,LTU,10,Taxes and fees
2007,LVA,7,Taxes and fees
2007,MEX,4,Taxes and fees
2007,MHL,1,Taxes and fees
2007,MKD,2,Taxes and fees
2007,MLT,5,Taxes and fees
2007,MMR,9,Taxes and fees
2007,MNE,7,Taxes and fees
2007,MNG,1,Taxes and fees
2007,MOZ,3,Taxes and fees
2007,MRT,1,Taxes and fees
2007,MUS,1,Taxes and fees
2007,MYS,6,Taxes and fees
2007,NER,1,Taxes and fees
2007,NLD,4,Taxes and fees
2007,NOR,4,Taxes and fees
2007,NZL,3,Taxes and fees
2007,PAN,1,Taxes and fees
2007,PER,1,Taxes and fees
2007,PHL,12,Taxes and fees
2007,POL,6,Taxes and fees
2007,PRT,1,Taxes and fees
2007,PRY,1,Taxes and fees
2007,ROU,9,Taxes and fees
2007,SGP,9,Taxes and fees
2007,SLB,1,Taxes and fees
2007,SRB,7,Taxes and fees
2007,SVK,3,Taxes and fees
2007,SVN,4,Taxes and fees
2007,SWE,2,Taxes and fees
2007,SYC,3,Taxes and fees
2007,THA,8,Taxes and fees
2007,TKL,1,Taxes and fees
2007,TUR,1,Taxes and fees
2007,UKR,1,Taxes and fees
2007,USA,21,Taxes and fees
2007,VNM,2,Taxes and fees
2007,ZAF,1,Taxes and fees
2008,MAR,2,Taxes and fees
2008,ALB,3,Taxes and fees
2008,ARG,1,Taxes and fees
2008,ARM,1,Taxes and fees
2008,AUS,6,Taxes and fees
2008,AUT,4,Taxes and fees
2008,BEL,3,Taxes and fees
2008,BFA,1,Taxes and fees
2008,BGR,13,Taxes and fees
2008,BIH,6,Taxes and fees
2008,BRN,13,Taxes and fees
2008,BWA,1,Taxes and fees
2008,CAN,10,Taxes and fees
2008,CHL,2,Taxes and fees
2008,CHN,1,Taxes and fees
2008,CIV,1,Taxes and fees
2008,COD,1,Taxes and fees
2008,COK,2,Taxes and fees
2008,COL,6,Taxes and fees
2008,CRI,13,Taxes and fees
2008,CYP,1,Taxes and fees
2008,CZE,6,Taxes and fees
2008,DEU,13,Taxes and fees
2008,DNK,9,Taxes and fees
2008,ESP,11,Taxes and fees
2008,EST,8,Taxes and fees
2008,FIN,6,Taxes and fees
2008,FRA,12,Taxes and fees
2008,GBR,1,Taxes and fees
2008,GNQ,1,Taxes and fees
2008,GRC,2,Taxes and fees
2008,HRV,12,Taxes and fees
2008,HUN,2,Taxes and fees
2008,IDN,4,Taxes and fees
2008,IRL,1,Taxes and fees
2008,ISL,4,Taxes and fees
2008,ISR,7,Taxes and fees
2008,JPN,3,Taxes and fees
2008,KHM,5,Taxes and fees
2008,KOR,11,Taxes and fees
2008,LAO,2,Taxes and fees
2008,LTU,10,Taxes and fees
2008,LVA,7,Taxes and fees
2008,MEX,4,Taxes and fees
2008,MHL,1,Taxes and fees
2008,MKD,2,Taxes and fees
2008,MLT,5,Taxes and fees
2008,MMR,9,Taxes and fees
2008,MNE,7,Taxes and fees
2008,MNG,1,Taxes and fees
2008,MOZ,3,Taxes and fees
2008,MRT,1,Taxes and fees
2008,MUS,1,Taxes and fees
2008,MYS,6,Taxes and fees
2008,NER,1,Taxes and fees
2008,NLD,4,Taxes and fees
2008,NOR,4,Taxes and fees
2008,NZL,3,Taxes and fees
2008,PAN,1,Taxes and fees
2008,PER,1,Taxes and fees
2008,PHL,12,Taxes and fees
2008,POL,6,Taxes and fees
2008,PRT,1,Taxes and fees
2008,PRY,1,Taxes and fees
2008,ROU,9,Taxes and fees
2008,SGP,9,Taxes and fees
2008,SLB,1,Taxes and fees
2008,SRB,7,Taxes and fees
2008,SVK,3,Taxes and fees
2008,SVN,4,Taxes and fees
2008,SWE,2,Taxes and fees
2008,SYC,3,Taxes and fees
2008,THA,8,Taxes and fees
2008,TKL,1,Taxes and fees
2008,TUR,1,Taxes and fees
2008,UKR,1,Taxes and fees
2008,USA,21,Taxes and fees
2008,VNM,2,Taxes and fees
2008,ZAF,1,Taxes and fees
2009,MAR,2,Taxes and fees
2009,ALB,3,Taxes and fees
2009,ARG,1,Taxes and fees
2009,ARM,1,Taxes and fees
2009,AUS,6,Taxes and fees
2009,AUT,4,Taxes and fees
2009,BEL,3,Taxes and fees
2009,BFA,1,Taxes and fees
2009,BGR,13,Taxes and fees
2009,BIH,6,Taxes and fees
2009,BRN,13,Taxes and fees
2009,BWA,1,Taxes and fees
2009,CAN,10,Taxes and fees
2009,CHL,3,Taxes and fees
2009,CHN,1,Taxes and fees
2009,CIV,2,Taxes and fees
2009,COD,1,Taxes and fees
2009,COK,2,Taxes and fees
2009,COL,6,Taxes and fees
2009,CRI,13,Taxes and fees
2009,CYP,1,Taxes and fees
2009,CZE,6,Taxes and fees
2009,DEU,13,Taxes and fees
2009,DNK,9,Taxes and fees
2009,ESP,13,Taxes and fees
2009,EST,8,Taxes and fees
2009,FIN,6,Taxes and fees
2009,FRA,12,Taxes and fees
2009,GBR,1,Taxes and fees
2009,GNQ,1,Taxes and fees
2009,GRC,2,Taxes and fees
2009,HRV,12,Taxes and fees
2009,HUN,2,Taxes and fees
2009,IDN,5,Taxes and fees
2009,IRL,1,Taxes and fees
2009,ISL,4,Taxes and fees
2009,ISR,8,Taxes and fees
2009,JPN,3,Taxes and fees
2009,KHM,5,Taxes and fees
2009,KOR,11,Taxes and fees
2009,LAO,3,Taxes and fees
2009,LTU,10,Taxes and fees
2009,LVA,7,Taxes and fees
2009,MEX,4,Taxes and fees
2009,MHL,1,Taxes and fees
2009,MKD,2,Taxes and fees
2009,MLT,5,Taxes and fees
2009,MMR,9,Taxes and fees
2009,MNE,7,Taxes and fees
2009,MNG,1,Taxes and fees
2009,MOZ,3,Taxes and fees
2009,MRT,1,Taxes and fees
2009,MUS,1,Taxes and fees
2009,MYS,6,Taxes and fees
2009,NER,1,Taxes and fees
2009,NLD,4,Taxes and fees
2009,NOR,5,Taxes and fees
2009,NZL,3,Taxes and fees
2009,PAN,1,Taxes and fees
2009,PER,1,Taxes and fees
2009,PHL,12,Taxes and fees
2009,POL,6,Taxes and fees
2009,PRT,2,Taxes and fees
2009,PRY,1,Taxes and fees
2009,ROU,9,Taxes and fees
2009,SGP,9,Taxes and fees
2009,SLB,1,Taxes and fees
2009,SRB,7,Taxes and fees
2009,SVK,3,Taxes and fees
2009,SVN,4,Taxes and fees
2009,SWE,2,Taxes and fees
2009,SYC,3,Taxes and fees
2009,THA,8,Taxes and fees
2009,TKL,1,Taxes and fees
2009,TUR,1,Taxes and fees
2009,UKR,1,Taxes and fees
2009,USA,21,Taxes and fees
2009,VNM,2,Taxes and fees
2009,ZAF,1,Taxes and fees
2010,MAR,2,Taxes and fees
2010,ALB,3,Taxes and fees
2010,ARG,1,Taxes and fees
2010,ARM,1,Taxes and fees
2010,AUS,6,Taxes and fees
