geo,year,disagg,value
DNK,2021,Total,53
DNK,2021,Female,48
DNK,2021,Male,58
DJI,2011,Total,4
DJI,2011,Female,4
DJI,2011,Male,5
DOM,2011,Total,14
DOM,2011,Female,12
DOM,2011,Male,16
DOM,2014,Total,24
DOM,2014,Female,23
DOM,2014,Male,25
DOM,2017,Total,30
DOM,2017,Female,27
DOM,2017,Male,33
DOM,2021,Total,22
DOM,2021,Female,22
DOM,2021,Male,22
DOM,2021,Rural,17
DOM,2021,Urban,23
ECU,2011,Total,11
ECU,2011,Female,10
ECU,2011,Male,11
ECU,2014,Total,17
ECU,2014,Female,16
ECU,2014,Male,17
ECU,2017,Total,17
ECU,2017,Female,11
ECU,2017,Male,23
ECU,2021,Total,23
ECU,2021,Female,15
ECU,2021,Male,32
EGY,2011,Total,4
EGY,2011,Female,3
EGY,2011,Male,5
EGY,2014,Total,8
EGY,2014,Female,5
EGY,2014,Male,10
EGY,2017,Total,9
EGY,2017,Female,6
EGY,2017,Male,11
EGY,2021,Total,7
EGY,2021,Female,5
EGY,2021,Male,10
EGY,2021,Rural,9
EGY,2021,Urban,7
SLV,2011,Total,4
SLV,2011,Female,3
SLV,2011,Male,5
SLV,2014,Total,21
SLV,2014,Female,17
SLV,2014,Male,24
SLV,2017,Total,12
SLV,2017,Female,10
SLV,2017,Male,14
SLV,2021,Total,11
SLV,2021,Female,11
SLV,2021,Male,10
SLV,2021,Rural,10
SLV,2021,Urban,11
EST,2011,Total,8
EST,2011,Female,7
EST,2011,Male,8
EST,2014,Total,32
EST,2014,Female,33
EST,2014,Male,32
EST,2017,Total,32
EST,2017,Female,30
EST,2017,Male,35
EST,2021,Total,34
EST,2021,Female,33
EST,2021,Male,34
SWZ,2011,Total,12
SWZ,2011,Female,10
SWZ,2011,Male,13
SWZ,2022,Total,10
SWZ,2022,Female,9
SWZ,2022,Male,10
ETH,2014,Total,7
ETH,2014,Female,8
ETH,2014,Male,7
ETH,2017,Total,11
ETH,2017,Female,9
ETH,2017,Male,13
ETH,2022,Total,5
ETH,2022,Female,4
ETH,2022,Male,5
FIN,2011,Total,24
FIN,2011,Female,19
FIN,2011,Male,29
FIN,2014,Total,58
FIN,2014,Female,55
FIN,2014,Male,61
FIN,2017,Total,54
FIN,2017,Female,52
FIN,2017,Male,56
FIN,2021,Total,53
FIN,2021,Female,53
FIN,2021,Male,53
FRA,2011,Total,19
FRA,2011,Female,17
FRA,2011,Male,20
FRA,2014,Total,43
FRA,2014,Female,37
FRA,2014,Male,49
FRA,2017,Total,45
FRA,2017,Female,45
FRA,2017,Male,46
FRA,2021,Total,44
FRA,2021,Female,44
FRA,2021,Male,45
GAB,2011,Total,2
GAB,2011,Female,1
GAB,2011,Male,3
GAB,2014,Total,7
GAB,2014,Female,6
GAB,2014,Male,8
GAB,2017,Total,8
GAB,2017,Female,6
GAB,2017,Male,10
GAB,2021,Total,5
GAB,2021,Female,3
GAB,2021,Male,8
GMB,2017,Total,5
GMB,2017,Female,5
GMB,2017,Male,5
GMB,2022,Total,6
GMB,2022,Female,7
GMB,2022,Male,4
GEO,2011,Total,11
GEO,2011,Female,12
GEO,2011,Male,10
GEO,2014,Total,20
GEO,2014,Female,19
GEO,2014,Male,22
GEO,2017,Total,27
GEO,2017,Female,23
GEO,2017,Male,32
GEO,2021,Total,24
GEO,2021,Female,23
GEO,2021,Male,25
GEO,2021,Rural,26
GEO,2021,Urban,23
DEU,2011,Total,13
DEU,2011,Female,11
DEU,2011,Male,14
DEU,2014,Total,46
DEU,2014,Female,40
DEU,2014,Male,52
DEU,2017,Total,55
DEU,2017,Female,50
DEU,2017,Male,59
DEU,2021,Total,55
DEU,2021,Female,58
DEU,2021,Male,51
GHA,2011,Total,6
GHA,2011,Female,6
GHA,2011,Male,6
GHA,2014,Total,8
GHA,2014,Female,9
GHA,2014,Male,7
GHA,2017,Total,12
GHA,2017,Female,10
GHA,2017,Male,13
GHA,2021,Total,7
GHA,2021,Female,6
GHA,2021,Male,9
GHA,2021,Rural,7
GHA,2021,Urban,8
GRC,2011,Total,8
GRC,2011,Female,5
GRC,2011,Male,11
GRC,2014,Total,16
GRC,2014,Female,14
GRC,2014,Male,19
GRC,2017,Total,11
GRC,2017,Female,10
GRC,2017,Male,13
GRC,2021,Total,20
GRC,2021,Female,15
GRC,2021,Male,25
GTM,2011,Total,14
GTM,2011,Female,11
GTM,2011,Male,17
GTM,2014,Total,15
GTM,2014,Female,13
GTM,2014,Male,17
GTM,2017,Total,13
GTM,2017,Female,12
GTM,2017,Male,14
GTM,2022,Total,11
GTM,2022,Female,10
GTM,2022,Male,13
GIN,2011,Total,2
GIN,2011,Female,1
GIN,2011,Male,3
GIN,2014,Total,3
GIN,2014,Female,2
GIN,2014,Male,3
GIN,2017,Total,6
GIN,2017,Female,5
GIN,2017,Male,6
GIN,2021,Total,6
GIN,2021,Female,5
GIN,2021,Male,7
GIN,2021,Rural,6
GIN,2021,Urban,6
HTI,2011,Total,8
HTI,2011,Female,10
HTI,2011,Male,7
HTI,2014,Total,6
HTI,2014,Female,5
HTI,2014,Male,7
HTI,2017,Total,13
HTI,2017,Female,13
HTI,2017,Male,12
HND,2011,Total,7
HND,2011,Female,6
HND,2011,Male,8
HND,2014,Total,13
HND,2014,Female,9
HND,2014,Male,18
HND,2017,Total,14
HND,2017,Female,11
HND,2017,Male,18
HND,2021,Total,10
HND,2021,Female,8
HND,2021,Male,13
HND,2021,Rural,12
HND,2021,Urban,9
HKG,2011,Total,8
HKG,2011,Female,5
HKG,2011,Male,11
HKG,2014,Total,60
HKG,2014,Female,59
HKG,2014,Male,62
HKG,2017,Total,62
HKG,2017,Female,60
HKG,2017,Male,65
HKG,2021,Total,70
HKG,2021,Female,72
HKG,2021,Male,67
HUN,2011,Total,9
HUN,2011,Female,10
HUN,2011,Male,8
HUN,2014,Total,16
HUN,2014,Female,15
HUN,2014,Male,17
HUN,2017,Total,16
HUN,2017,Female,13
HUN,2017,Male,19
HUN,2021,Total,19
HUN,2021,Female,17
HUN,2021,Male,21
ISL,2021,Total,73
ISL,2021,Female,72
ISL,2021,Male,75
IND,2011,Total,8
IND,2011,Female,7
IND,2011,Male,9
IND,2014,Total,9
IND,2014,Female,6
IND,2014,Male,12
IND,2017,Total,8
IND,2017,Female,6
IND,2017,Male,10
IND,2021,Total,12
IND,2021,Female,10
IND,2021,Male,13
IND,2021,Rural,11
IND,2021,Urban,13
IDN,2011,Total,9
IDN,2011,Female,8
IDN,2011,Male,9
IDN,2014,Total,14
IDN,2014,Female,12
IDN,2014,Male,16
IDN,2017,Total,18
IDN,2017,Female,18
IDN,2017,Male,19
IDN,2021,Total,13
IDN,2021,Female,16
IDN,2021,Male,9
IDN,2021,Rural,13
IDN,2021,Urban,13
IRN,2011,Total,31
IRN,2011,Female,30
IRN,2011,Male,31
IRN,2014,Total,38
IRN,2014,Female,39
IRN,2014,Male,37
IRN,2017,Total,28
IRN,2017,Female,28
IRN,2017,Male,28
IRN,2021,Total,25
IRN,2021,Female,22
IRN,2021,Male,28
IRQ,2011,Total,8
IRQ,2011,Female,5
IRQ,2011,Male,11
IRQ,2014,Total,5
IRQ,2014,Female,3
IRQ,2014,Male,7
IRQ,2017,Total,3
IRQ,2017,Female,3
IRQ,2017,Male,3
IRQ,2021,Total,4
IRQ,2021,Female,2
IRQ,2021,Male,5
IRQ,2021,Rural,3
IRQ,2021,Urban,4
IRL,2011,Total,16
IRL,2011,Female,14
IRL,2011,Male,17
IRL,2014,Total,50
IRL,2014,Female,51
IRL,2014,Male,50
IRL,2017,Total,51
IRL,2017,Female,48
IRL,2017,Male,53
IRL,2021,Total,54
IRL,2021,Female,57
IRL,2021,Male,51
ISR,2011,Total,17
ISR,2011,Female,15
ISR,2011,Male,18
ISR,2014,Total,79
ISR,2014,Female,80
ISR,2014,Male,78
ISR,2017,Total,79
ISR,2017,Female,79
ISR,2017,Male,79
ISR,2021,Total,80
ISR,2021,Female,80
ISR,2021,Male,78
ISR,2021,Rural,79
ISR,2021,Urban,80
ITA,2011,Total,5
ITA,2011,Female,3
ITA,2011,Male,6
ITA,2014,Total,39
ITA,2014,Female,30
ITA,2014,Male,50
ITA,2017,Total,46
ITA,2017,Female,36
ITA,2017,Male,56
ITA,2021,Total,55
ITA,2021,Female,56
ITA,2021,Male,54
JAM,2011,Total,8
JAM,2011,Female,8
JAM,2011,Male,8
JAM,2014,Total,18
JAM,2014,Female,15
JAM,2014,Male,22
JAM,2021,Total,12
JAM,2021,Female,10
JAM,2021,Male,14
JAM,2021,Rural,9
JAM,2021,Urban,14
JPN,2011,Total,6
JPN,2011,Female,4
JPN,2011,Male,9
JPN,2014,Total,54
JPN,2014,Female,60
JPN,2014,Male,49
JPN,2017,Total,54
JPN,2017,Female,55
JPN,2017,Male,53
JPN,2021,Total,61
JPN,2021,Female,60
JPN,2021,Male,62
JOR,2011,Total,4
JOR,2011,Female,4
JOR,2011,Male,5
JOR,2014,Total,15
JOR,2014,Female,11
JOR,2014,Male,18
JOR,2017,Total,18
JOR,2017,Female,14
JOR,2017,Male,21
JOR,2021,Total,10
JOR,2021,Female,6
JOR,2021,Male,13
KAZ,2011,Total,13
KAZ,2011,Female,14
KAZ,2011,Male,12
KAZ,2014,Total,20
KAZ,2014,Female,19
KAZ,2014,Male,20
KAZ,2017,Total,28
KAZ,2017,Female,27
KAZ,2017,Male,30
KAZ,2021,Total,30
KAZ,2021,Female,30
KAZ,2021,Male,29
KAZ,2021,Rural,27
KAZ,2021,Urban,31
KEN,2011,Total,10
KEN,2011,Female,7
KEN,2011,Male,13
KEN,2014,Total,16
KEN,2014,Female,14
KEN,2014,Male,18
KEN,2017,Total,19
KEN,2017,Female,14
KEN,2017,Male,25
KEN,2021,Total,22
KEN,2021,Female,19
KEN,2021,Male,25
KEN,2021,Rural,21
KEN,2021,Urban,25
KOR,2011,Total,17
KOR,2011,Female,13
KOR,2011,Male,20
KOR,2014,Total,57
KOR,2014,Female,61
KOR,2014,Male,53
KOR,2017,Total,63
KOR,2017,Female,66
KOR,2017,Male,60
KOR,2021,Total,69
KOR,2021,Female,64
KOR,2021,Male,73
XKX,2011,Total,6
XKX,2011,Female,6
XKX,2011,Male,7
XKX,2014,Total,17
XKX,2014,Female,13
XKX,2014,Male,20
XKX,2017,Total,15
XKX,2017,Female,10
XKX,2017,Male,19
XKX,2021,Total,18
XKX,2021,Female,11
XKX,2021,Male,24
XKX,2021,Rural,21
XKX,2021,Urban,16
KWT,2011,Total,21
KWT,2011,Female,17
KWT,2011,Male,24
KWT,2014,Total,30
KWT,2014,Female,27
KWT,2014,Male,33
KWT,2017,Total,28
KWT,2017,Female,26
KWT,2017,Male,30
KGZ,2011,Total,11
KGZ,2011,Female,11
KGZ,2011,Male,11
KGZ,2014,Total,15
KGZ,2014,Female,14
KGZ,2014,Male,15
KGZ,2017,Total,10
KGZ,2017,Female,10
KGZ,2017,Male,10
KGZ,2021,Total,18
KGZ,2021,Female,16
KGZ,2021,Male,19
KGZ,2021,Rural,23
KGZ,2021,Urban,14
LAO,2011,Total,18
LAO,2011,Female,17
LAO,2011,Male,19
LAO,2017,Total,9
LAO,2017,Female,8
LAO,2017,Male,10
LAO,2021,Total,9
LAO,2021,Female,10
LAO,2021,Male,8
LAO,2021,Rural,9
LAO,2021,Urban,9
LVA,2011,Total,7
LVA,2011,Female,8
LVA,2011,Male,5
LVA,2014,Total,29
LVA,2014,Female,26
LVA,2014,Male,32
LVA,2017,Total,19
LVA,2017,Female,19
LVA,2017,Male,19
LVA,2021,Total,23
LVA,2021,Female,19
LVA,2021,Male,28
LBN,2011,Total,11
LBN,2011,Female,8
LBN,2011,Male,14
LBN,2014,Total,21
LBN,2014,Female,14
LBN,2014,Male,28
LBN,2017,Total,23
LBN,2017,Female,17
LBN,2017,Male,28
LBN,2021,Total,3
LBN,2021,Female,2
LBN,2021,Male,5
LSO,2011,Total,3
LSO,2011,Female,3
LSO,2011,Male,3
LSO,2017,Total,6
LSO,2017,Female,5
LSO,2017,Male,6
LSO,2022,Total,13
LSO,2022,Female,12
LSO,2022,Male,13
LBR,2011,Total,6
LBR,2011,Female,6
LBR,2011,Male,7
LBR,2017,Total,8
LBR,2017,Female,7
LBR,2017,Male,9
LBR,2021,Total,15
LBR,2021,Female,13
LBR,2021,Male,18
LBR,2021,Rural,17
LBR,2021,Urban,11
LBY,2017,Total,8
LBY,2017,Female,3
LBY,2017,Male,13
LTU,2011,Total,6
LTU,2011,Female,6
LTU,2011,Male,6
LTU,2014,Total,15
LTU,2014,Female,13
LTU,2014,Male,17
LTU,2017,Total,21
LTU,2017,Female,19
LTU,2017,Male,22
LTU,2021,Total,12
LTU,2021,Female,10
LTU,2021,Male,14
LUX,2011,Total,17
LUX,2011,Female,16
LUX,2011,Male,19
LUX,2014,Total,68
LUX,2014,Female,68
LUX,2014,Male,69
LUX,2017,Total,72
LUX,2017,Female,70
LUX,2017,Male,75
MDG,2011,Total,2
MDG,2011,Female,2
MDG,2011,Male,3
MDG,2014,Total,2
MDG,2014,Female,2
MDG,2014,Male,2
MDG,2017,Total,4
MDG,2017,Female,3
MDG,2017,Male,4
MDG,2022,Total,6
MDG,2022,Female,6
MDG,2022,Male,6
MWI,2011,Total,9
MWI,2011,Female,12
MWI,2011,Male,6
MWI,2014,Total,7
MWI,2014,Female,8
MWI,2014,Male,6
MWI,2017,Total,9
MWI,2017,Female,8
MWI,2017,Male,9
MWI,2021,Total,8
MWI,2021,Female,9
MWI,2021,Male,7
MWI,2021,Rural,8
MWI,2021,Urban,8
MYS,2011,Total,11
MYS,2011,Female,10
MYS,2011,Male,12
MYS,2014,Total,31
MYS,2014,Female,25
MYS,2014,Male,36
MYS,2017,Total,23
MYS,2017,Female,21
MYS,2017,Male,26
MYS,2021,Total,13
MYS,2021,Female,13
MYS,2021,Male,14
MYS,2021,Rural,8
MYS,2021,Urban,15
MDV,2017,Total,20
MDV,2017,Female,15
MDV,2017,Male,25
MLI,2011,Total,4
MLI,2011,Female,2
MLI,2011,Male,6
MLI,2014,Total,3
MLI,2014,Female,2
MLI,2014,Male,4
MLI,2017,Total,8
MLI,2017,Female,5
MLI,2017,Male,11
MLI,2021,Total,11
MLI,2021,Female,12
MLI,2021,Male,10
MLI,2021,Rural,12
MLI,2021,Urban,9
MLT,2011,Total,10
MLT,2011,Female,7
MLT,2011,Male,13
MLT,2014,Total,37
MLT,2014,Female,32
MLT,2014,Male,42
MLT,2017,Total,43
MLT,2017,Female,41
MLT,2017,Male,46
MLT,2021,Total,39
MLT,2021,Female,33
MLT,2021,Male,45
MRT,2011,Total,8
MRT,2011,Female,7
MRT,2011,Male,8
MRT,2014,Total,9
MRT,2014,Female,8
MRT,2014,Male,10
MRT,2017,Total,9
MRT,2017,Female,7
MRT,2017,Male,11
MRT,2022,Total,11
MRT,2022,Female,7
MRT,2022,Male,15
MUS,2011,Total,14
MUS,2011,Female,9
MUS,2011,Male,20
MUS,2014,Total,25
MUS,2014,Female,18
MUS,2014,Male,33
MUS,2017,Total,23
MUS,2017,Female,15
MUS,2017,Male,32
MUS,2021,Total,20
MUS,2021,Female,16
MUS,2021,Male,25
MEX,2011,Total,8
MEX,2011,Female,7
MEX,2011,Male,8
MEX,2014,Total,18
MEX,2014,Female,15
MEX,2014,Male,22
MEX,2017,Total,12
MEX,2017,Female,10
MEX,2017,Male,14
MEX,2022,Total,16
MEX,2022,Female,14
MEX,2022,Male,17
MDA,2011,Total,6
MDA,2011,Female,7
MDA,2011,Male,6
MDA,2014,Total,10
MDA,2014,Female,10
MDA,2014,Male,10
MDA,2017,Total,20
MDA,2017,Female,18
MDA,2017,Male,23
MDA,2021,Total,13
MDA,2021,Female,13
MDA,2021,Male,13
MDA,2021,Rural,11
MDA,2021,Urban,15
MNG,2011,Total,25
MNG,2011,Female,24
MNG,2011,Male,25
MNG,2014,Total,36
MNG,2014,Female,34
MNG,2014,Male,38
MNG,2017,Total,30
MNG,2017,Female,30
MNG,2017,Male,31
MNG,2021,Total,34
MNG,2021,Female,34
MNG,2021,Male,35
MNG,2021,Rural,40
MNG,2021,Urban,31
MNE,2011,Total,22
MNE,2011,Female,20
MNE,2011,Male,24
MNE,2014,Total,30
MNE,2014,Female,27
MNE,2014,Male,32
MNE,2017,Total,24
MNE,2017,Female,22
MNE,2017,Male,26
MAR,2017,Total,3
MAR,2017,Female,2
MAR,2017,Male,4
MAR,2021,Total,5
MAR,2021,Female,4
MAR,2021,Male,6
MOZ,2017,Total,11
MOZ,2017,Female,10
MOZ,2017,Male,12
MOZ,2021,Total,10
MOZ,2021,Female,7
MOZ,2021,Male,14
MOZ,2021,Rural,10
MOZ,2021,Urban,11
MMR,2014,Total,16
MMR,2014,Female,12
MMR,2014,Male,20
MMR,2017,Total,19
MMR,2017,Female,19
MMR,2017,Male,19
