year,geo,value,projections,benchmark_low,benchmark_mid,benchmark _high
2012,BEN,0.8,,,,
2013,BEN,0.4,,,,
2014,BEN,0.7,,,,
2015,BEN,1.7,,,,
2016,BEN,1.7,,,,
2017,BEN,1.7,,,,
2018,BEN,1.9,,,,
2019,BEN,1.1,,,,
2020,BEN,1.1,,,,
2021,BEN,1.1,,,,
2012,BES,36.9,,,,
2013,BES,36.9,,,,
2014,BES,36.9,,,,
2015,BES,37.5,,,,
2016,BES,41.2,,,,
2017,BES,39.3,,,,
2018,BES,38.2,,,,
2019,BES,39.6,,,,
2020,BES,39.6,,,,
2021,BES,39.6,,,,
2012,BFA,10.3,,,,
2013,BFA,15,,,,
2014,BFA,13.3,,,,
2015,BFA,12.1,,,,
2016,BFA,12.8,,,,
2017,BFA,21.6,,,,
2018,BFA,24.7,,,,
2019,BFA,22.4,,,,
2020,BFA,22.4,,,,
2021,BFA,22.4,,,,
2012,BGD,2.8,,,,
2013,BGD,2.9,,,,
2014,BGD,2.8,,,,
2015,BGD,2.7,,,,
2016,BGD,2.6,,,,
2017,BGD,2.7,,,,
2018,BGD,2.2,,,,
2019,BGD,2.2,,,,
2020,BGD,2.2,,,,
