year,geo,value
2021,BRN,13688515
2022,BRN,18973750
2023,BRN,20861318
2017,BTN,176
2019,BTN,213
2012,CAN,23
2007,CHL,7.5
2008,CHL,11
2009,CHL,20
2010,CHL,23
2011,CHL,21
2012,CHL,25
2013,CHL,24
2014,CHL,25
2015,CHL,29
2016,CHL,35
2017,CHL,34
2018,CHL,32
2019,CHL,31
2020,CHL,30
2021,CHL,33
2022,CHL,31
2023,CHL,33
2000,CHN,15
2001,CHN,13
2002,CHN,13
2003,CHN,11
2004,CHN,13
2005,CHN,11
2006,CHN,12
2007,CHN,12
2008,CHN,9.8
2009,CHN,9.4
2010,CHN,8.5
2011,CHN,4.0
2012,CHN,4.0
2013,CHN,4.4
2014,CHN,3.8
2015,CHN,3.5
2016,CHN,2.7
2017,CHN,2.1
2018,CHN,1.9
2019,CHN,1.8
2020,CHN,2.0
2021,CHN,1.6
2022,CHN,1.5
2023,CHN,1.3
2004,CMR,287
2005,CMR,181
2006,CMR,172
2007,CMR,215
2008,CMR,200
2009,CMR,219
2007,COL,2.3
2008,COL,2.5
2009,COL,4.3
2010,COL,3.7
2011,COL,4.8
2012,COL,6.2
2013,COL,7.3
2014,COL,9.7
2015,COL,8.6
2016,COL,6.4
2017,COL,10
2018,COL,13
2019,COL,13
2020,COL,9.9
2021,COL,12
2022,COL,13
2023,COL,14
2002,CPV,778
2014,CPV,14
2016,CRI,5.9
2017,CRI,6.5
2018,CRI,6.3
2019,CRI,6.3
2020,CRI,6.1
2021,CRI,6.5
2004,CUB,1.8
2005,CUB,1.2
2006,CUB,0.90
2007,CUB,0.80
2010,CUB,1.7
2011,CUB,2.3
2012,CUB,2.0
2013,CUB,2.3
2014,CUB,2.7
2015,CUB,3.7
2016,CUB,4.9
2017,CUB,4.8
2018,CUB,2.9
2019,CUB,4.3
2020,CUB,3.9
2021,CUB,4.7
2004,CYP,153
2006,CYP,23
2008,CYP,30
2010,CYP,45
2012,CYP,36
2014,CYP,201
2016,CYP,184
2018,CYP,254
2020,CYP,36
2022,CYP,61
2004,CZE,142
2006,CZE,128
2008,CZE,145
2010,CZE,130
2012,CZE,141
2014,CZE,110
2016,CZE,103
2018,CZE,159
2020,CZE,164
2022,CZE,146
2004,DEU,242
2006,DEU,263
2008,DEU,272
2010,DEU,244
2012,DEU,273
2014,DEU,269
2016,DEU,280
2018,DEU,292
2020,DEU,282
2022,DEU,274
2002,DMA,12
2003,DMA,12
2004,DMA,12
2005,DMA,12
2006,DMA,12
2007,DMA,12
2008,DMA,12
2009,DMA,12
2010,DMA,12
2011,DMA,13
2012,DMA,13
2013,DMA,13
2014,DMA,13
2015,DMA,13
2016,DMA,13
2017,DMA,12
2018,DMA,12
2019,DMA,12
2020,DMA,8.8
2021,DMA,8.8
2004,DNK,59
2006,DNK,69
2008,DNK,76
2010,DNK,221
2012,DNK,218
2014,DNK,304
2016,DNK,351
2018,DNK,361
2020,DNK,235
2022,DNK,237
2003,DZA,9.9
2007,DZA,11
2013,ECU,191
2014,ECU,159
2015,ECU,164
2016,ECU,152
2017,ECU,135
2018,ECU,115
2019,ECU,116
2020,ECU,126
2004,ESP,73
2006,ESP,91
2008,ESP,79
2010,ESP,64
2012,ESP,67
2014,ESP,64
2016,ESP,69
2018,ESP,69
2020,ESP,70
2022,ESP,72
2004,EST,5382
2006,EST,4914
2008,EST,5638
2010,EST,6731
2012,EST,6925
2014,EST,7919
2016,EST,7358
2018,EST,8230
2020,EST,1198
2022,EST,1130
2004,FIN,412
2006,FIN,515
2008,FIN,407
2010,FIN,477
2012,FIN,305
2014,FIN,366
2016,FIN,435
2018,FIN,4771
2020,FIN,3585
2022,FIN,5266
2006,FJI,23
2007,FJI,30
2008,FJI,28
2009,FJI,25
2010,FJI,26
2011,FJI,23
2012,FJI,32
2013,FJI,14
2014,FJI,8.5
2015,FJI,7.8
2016,FJI,7.9
2017,FJI,6.6
2018,FJI,6.4
2019,FJI,4.9
2020,FJI,5.9
2021,FJI,6.1
2022,FJI,4.2
2023,FJI,4.8
2004,FRA,140
2006,FRA,140
2008,FRA,170
2010,FRA,178
2012,FRA,173
2014,FRA,163
2016,FRA,165
2018,FRA,180
2020,FRA,166
2022,FRA,167
2004,GBR,133
2006,GBR,139
2008,GBR,117
2010,GBR,79
2012,GBR,85
2014,GBR,81
2016,GBR,83
2018,GBR,86
2020,GBR,125
2006,GLP,4.0
2007,GLP,7.1
2008,GLP,26
2009,GLP,48
2010,GLP,5.5
2011,GLP,21
2012,GLP,4.5
2013,GLP,3.4
2014,GLP,3.5
2015,GLP,1.8
2016,GLP,4.0
2017,GLP,3.8
2018,GLP,3.6
2019,GLP,3.4
2020,GLP,4.3
2021,GLP,3.0
2022,GLP,2.6
2023,GLP,2.9
2004,GRC,31
2006,GRC,25
2008,GRC,23
2010,GRC,26
2012,GRC,27
2014,GRC,20
2016,GRC,47
2018,GRC,58
2020,GRC,52
2022,GRC,76
2001,GTM,2.2
2002,GTM,2.0
2003,GTM,1.9
2004,GTM,2.1
2005,GTM,2.2
2006,GTM,1.6
2007,GTM,1612
2008,GTM,1291
2009,GTM,39054
2010,GTM,4.8
2011,GTM,47871
2012,GTM,106943
2013,GTM,89
2014,GTM,77
2015,GTM,140
2016,GTM,333
2017,GTM,106
2006,GUF,6.5
2007,GUF,9.3
2008,GUF,42
2009,GUF,37
2010,GUF,38
2011,GUF,36
2012,GUF,28
2013,GUF,37
2014,GUF,15
2015,GUF,22
2017,GUF,31
2018,GUF,18
2019,GUF,12
2020,GUF,13
2021,GUF,18
2022,GUF,49
2023,GUF,18
2000,HKG,7.3
2001,HKG,8.8
2002,HKG,11
2003,HKG,12
2004,HKG,14
2005,HKG,15
2006,HKG,12
2007,HKG,11
2008,HKG,12
2009,HKG,13
2010,HKG,17
2011,HKG,20
2012,HKG,21
2013,HKG,22
2014,HKG,23
2015,HKG,22
2016,HKG,23
2017,HKG,21
2018,HKG,20
2019,HKG,19
2020,HKG,19
2021,HKG,22
2022,HKG,25
2023,HKG,27
2004,HRV,26
2006,HRV,179
2008,HRV,51
2010,HRV,17
2012,HRV,28
2014,HRV,31
2016,HRV,42
2018,HRV,44
2020,HRV,48
2022,HRV,47
2004,HUN,135
2006,HUN,129
2008,HUN,67
2010,HUN,54
