year,geo,value,,,,,,
2018,SVK,407878,,,,,,
2018,SVN,33219,,,,,,
2018,SWE,405996,,,,,,
2018,SWZ,65396,,,,,,
2018,SYC,252,,,,,,
2018,SYR,1628410,,,,,,
2018,TCD,43009,,,,,,
2018,TGO,7725,,,,,,
2018,THA,5676952,,,,,,
2018,TJK,1166861,,,,,,
2018,TKM,1907388,,,,,,
2018,TLS,21578,,,,,,
2018,TTO,4114,,,,,,
2018,TUN,564147,,,,,,
2018,TUR,6380699,,,,,,
2018,TZA,215449,,,,,,
2018,UGA,10685,,,,,,
2018,UKR,4123779,,,,,,
2018,URY,350769,,,,,,
2018,USA,41536736,,,,,,
2018,UZB,4081313,,,,,,
2018,VEN,581569,,,,,,
2018,VGB,4,,,,,,
2018,VIR,215,,,,,,
2018,VNM,3439311,,,,,,
2018,YEM,506205,,,,,,
2018,ZAF,2022775,,,,,,
2018,ZMB,185978,,,,,,
2018,ZWE,214475,,,,,,
