year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,WLD,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,WLD,,34.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,WLD,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,WLD,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,WLD,,,0,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,WLD,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,AFG,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,AFG,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,AFG,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,AFG,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,AFG,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AFG,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AFG,14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AFG,16.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AFG,6.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AFG,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AFG,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AFG,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AFG,10.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,AFG,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,AFG,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,AFG,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,AFG,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,AFG,10.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,AFG,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,AFG,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,AFG,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,AFG,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,ARG,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,ARG,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,ARG,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,ARG,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,ARG,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,ARG,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,ARG,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,ARG,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,ARG,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ARG,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,ARG,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,ARG,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,ARG,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,ARG,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,ARG,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,ARG,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,ARG,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,ARG,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,ARG,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,ARG,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,ARG,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ARG,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,ARG,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,ARG,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,AUS,83.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,AUS,80.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,AUS,76.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,AUS,76.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,AUS,78.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,AUS,79.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AUS,78.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AUS,76.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AUS,75.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AUS,72.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AUS,70.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AUS,67.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AUS,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AUS,62.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,AUS,62.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,AUS,63.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,AUS,62.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,AUS,61.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,AUS,59.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,AUS,56.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,AUS,53.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,AUS,51.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,AUS,47.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,AUS,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,AUT,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,AUT,11.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,AUT,10.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,AUT,14.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,AUT,12.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,AUT,11.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,AUT,11.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AUT,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AUT,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AUT,5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AUT,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AUT,8.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AUT,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AUT,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,AUT,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,AUT,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,AUT,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,AUT,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,AUT,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,AUT,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,AUT,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,AUT,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,AUT,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,AUT,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BGD,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,BGD,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,BGD,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,BGD,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,BGD,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BGD,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BGD,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BGD,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BGD,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BGD,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BGD,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BGD,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BGD,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BGD,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BGD,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BGD,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BGD,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BGD,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BGD,14.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BLR,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BEL,15.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,BEL,12.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,BEL,12.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,BEL,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,BEL,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BEL,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,BEL,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,BEL,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,BEL,6.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,BEL,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BEL,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BEL,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BEL,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BEL,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BEL,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BEL,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BEL,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BEL,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BEL,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BEL,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BEL,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BEL,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BEL,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BIH,50.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,BIH,50.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,BIH,49.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,BIH,58.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,BIH,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BIH,51.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,BIH,54.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,BIH,64.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,BIH,66.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,BIH,59.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BIH,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BIH,70.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BIH,69.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BIH,57.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BIH,64.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BIH,65.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BIH,67.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BIH,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BIH,65.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BIH,62.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BIH,70.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BIH,60.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BIH,65.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BIH,58.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BWA,97.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,BWA,98.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,BWA,97.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,BWA,97.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,BWA,94.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BWA,99.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,BWA,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,BWA,98.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,BWA,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,BWA,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BWA,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BWA,91.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BWA,71.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BWA,82.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BWA,95.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BWA,96.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BWA,99.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BWA,99.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BWA,99.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BWA,99.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BWA,97.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BWA,96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BWA,95.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BRA,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,BRA,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,BRA,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,BRA,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,BRA,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BRA,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,BRA,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,BRA,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,BRA,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,BRA,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BRA,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BRA,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BRA,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BRA,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BRA,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BRA,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BRA,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BRA,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BRA,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BRA,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BRA,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BRA,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BRA,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BRA,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BRN,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BRN,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BRN,21.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BRN,21.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BGR,41.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,BGR,44.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,BGR,40.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,BGR,45.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,BGR,45.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,BGR,42.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,BGR,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,BGR,52.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,BGR,52.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,BGR,49.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BGR,49.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,BGR,55.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BGR,49.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BGR,45.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,BGR,45.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,BGR,46.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,BGR,43.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,BGR,46.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,BGR,40.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,BGR,39.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,BGR,33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,BGR,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,BGR,43.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BGR,28.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,KHM,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,KHM,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,KHM,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,KHM,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,KHM,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,KHM,29.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
