year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2017,DEU,Total,8.7,,,,
2018,DEU,Total,8.8,,,,
2019,DEU,Total,9.7,,,,
2020,DEU,Total,10.8,,,,
2011,EST,Total,3.5,,,,
2012,EST,Total,3.3,,,,
2013,EST,Total,2.3,,,,
2014,EST,Total,3.9,,,,
2015,EST,Total,4.9,,,,
2016,EST,Total,5.9,,,,
2017,EST,Total,6,,,,
2018,EST,Total,6.5,,,,
2019,EST,Total,6.7,,,,
2020,EST,Total,7.4,,,,
2011,IRL,Total,7.1,,,,
2012,IRL,Total,7.5,,,,
2013,IRL,Total,7.7,,,,
2014,IRL,Total,8.1,,,,
2015,IRL,Total,8.6,,,,
2016,IRL,Total,9.2,,,,
2017,IRL,Total,9.1,,,,
2018,IRL,Total,10.7,,,,
2019,IRL,Total,10.8,,,,
2020,IRL,Total,11,,,,
2011,GRC,Total,3.5,,,,
2012,GRC,Total,3,,,,
2014,GRC,Total,3.5,,,,
2015,GRC,Total,4.1,,,,
2016,GRC,Total,4.3,,,,
2017,GRC,Total,4.1,,,,
2018,GRC,Total,4.4,,,,
2019,GRC,Total,4.8,,,,
2020,GRC,Total,4.8,,,,
2011,ESP,Total,2.6,,,,
2012,ESP,Total,2.9,,,,
2014,ESP,Total,3.1,,,,
2015,ESP,Total,3.8,,,,
2016,ESP,Total,4.7,,,,
2017,ESP,Total,5.1,,,,
2018,ESP,Total,5.9,,,,
2019,ESP,Total,6.3,,,,
2020,ESP,Total,7.1,,,,
2011,FRA,Total,5.6,,,,
2012,FRA,Total,5.5,,,,
2013,FRA,Total,5.7,,,,
2014,FRA,Total,6.4,,,,
2015,FRA,Total,7.6,,,,
2016,FRA,Total,8.9,,,,
2017,FRA,Total,9.1,,,,
2018,FRA,Total,9,,,,
2019,FRA,Total,9.6,,,,
2020,FRA,Total,9.9,,,,
2011,HRV,Total,3.5,,,,
2012,HRV,Total,3.5,,,,
2013,HRV,Total,3.4,,,,
2014,HRV,Total,3.5,,,,
2015,HRV,Total,5.2,,,,
2016,HRV,Total,9,,,,
2017,HRV,Total,8.4,,,,
2018,HRV,Total,9.3,,,,
2019,HRV,Total,9.1,,,,
2020,HRV,Total,9.6,,,,
2011,ITA,Total,8.5,,,,
2012,ITA,Total,6.7,,,,
2013,ITA,Total,6.4,,,,
2014,ITA,Total,4.3,,,,
2015,ITA,Total,4.9,,,,
2016,ITA,Total,5.1,,,,
2017,ITA,Total,5.6,,,,
2018,ITA,Total,5.9,,,,
2019,ITA,Total,6.4,,,,
2020,ITA,Total,7,,,,
2011,CYP,Total,2.5,,,,
2012,CYP,Total,2.5,,,,
2013,CYP,Total,2.1,,,,
2014,CYP,Total,2.4,,,,
2015,CYP,Total,3.2,,,,
2016,CYP,Total,2.8,,,,
2017,CYP,Total,4.3,,,,
2018,CYP,Total,3.5,,,,
2019,CYP,Total,4,,,,
2020,CYP,Total,5.2,,,,
2011,LVA,Total,1.8,,,,
2012,LVA,Total,1.9,,,,
2013,LVA,Total,2.2,,,,
2014,LVA,Total,2.2,,,,
2015,LVA,Total,2,,,,
2016,LVA,Total,2.2,,,,
2017,LVA,Total,3.9,,,,
2018,LVA,Total,4.3,,,,
2019,LVA,Total,4.9,,,,
2020,LVA,Total,5.1,,,,
2011,LTU,Total,2.8,,,,
2012,LTU,Total,3.3,,,,
2013,LTU,Total,3.8,,,,
2014,LTU,Total,5.7,,,,
2015,LTU,Total,4.5,,,,
2016,LTU,Total,3.7,,,,
2017,LTU,Total,3.9,,,,
2018,LTU,Total,4.2,,,,
2019,LTU,Total,4.8,,,,
2020,LTU,Total,4.8,,,,
2011,LUX,Total,8.3,,,,
2012,LUX,Total,8.2,,,,
2013,LUX,Total,8.3,,,,
2014,LUX,Total,8.7,,,,
2015,LUX,Total,9,,,,
2016,LUX,Total,9.3,,,,
2017,LUX,Total,9.1,,,,
2018,LUX,Total,8.8,,,,
2019,LUX,Total,8.6,,,,
2020,LUX,Total,8.9,,,,
2011,HUN,Total,3.3,,,,
2012,HUN,Total,3.6,,,,
2013,HUN,Total,4.4,,,,
2014,HUN,Total,4.6,,,,
2015,HUN,Total,4.4,,,,
2016,HUN,Total,5,,,,
2017,HUN,Total,5.4,,,,
2018,HUN,Total,6,,,,
2019,HUN,Total,7.2,,,,
2020,HUN,Total,7.5,,,,
2011,MLT,Total,4.6,,,,
