year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high,benchmark_high
2016,BRB,Total,2368,,,,,
2016,BWA,Total,7086,,,,,
2016,CAF,Total,365,,,,,
2016,CAN,Total,734604,,,,,
2016,CHE,Total,3802373,,,,,
2016,CHL,Total,98751,,,,,
2016,CHN,Total,73587770,,,,,
2016,CIV,Total,1350,,,,,
2016,CMR,Total,5844,,,,,
2016,COD,Total,6605,,,,,
2016,COG,Total,2172,,,,,
2016,COK,Total,285,,,,,
2016,COL,Total,937261,,,,,
2016,COM,Total,340,,,,,
2016,CPV,Total,1,,,,,
2016,CRI,Total,2483532,,,,,
2016,CUB,Total,69432,,,,,
2016,CUW,Total,735,,,,,
2016,CYM,Total,5033,,,,,
2016,CYP,Total,7,,,,,
2016,CZE,Total,67052,,,,,
2016,DEU,Total,775643,,,,,
2016,DMA,Total,286,,,,,
2016,DNK,Total,101880,,,,,
2016,DOM,Total,4379595,,,,,
2016,DZA,Total,5,,,,,
2016,ECU,Total,61500,,,,,
2016,EGY,Total,5504,,,,,
2016,ERI,Total,10,,,,,
2016,ESP,Total,430912,,,,,
2016,EST,Total,16428,,,,,
2016,ETH,Total,509079,,,,,
2016,FIN,Total,4310,,,,,
2016,FJI,Total,165532,,,,,
2016,FLK,Total,213,,,,,
2016,FRA,Total,9179641,,,,,
2016,FRO,Total,10,,,,,
2016,FSM,Total,22942,,,,,
2016,GAB,Total,448,,,,,
2016,GBR,Total,243951,,,,,
2016,GEO,Total,18297308,,,,,
2016,GGY,Total,56,,,,,
2016,GHA,Total,28135,,,,,
2016,GIB,Total,4,,,,,
2016,GLP,Total,1,,,,,
2016,GMB,Total,68,,,,,
2016,GNB,Total,11,,,,,
2016,GNQ,Total,1790,,,,,
2016,GRC,Total,8190,,,,,
2016,GRD,Total,202,,,,,
2016,GRL,Total,960,,,,,
2016,GTM,Total,1645296,,,,,
2016,GUF,Total,270,,,,,
2016,GUY,Total,30719,,,,,
2016,HKG,Total,792046,,,,,
2016,HND,Total,597401,,,,,
2016,HRV,Total,1695,,,,,
2016,HTI,Total,14977,,,,,
2016,HUN,Total,77857,,,,,
2016,IDN,Total,6466663,,,,,
2016,IMN,Total,2,,,,,
2016,IND,Total,105413,,,,,
2016,IOT,Total,360,,,,,
2016,IRL,Total,749,,,,,
2016,IRN,Total,77,,,,,
2016,IRQ,Total,4,,,,,
2016,ISL,Total,1560,,,,,
2016,ISR,Total,246898,,,,,
2016,ITA,Total,2780268,,,,,
2016,JAM,Total,44079,,,,,
2016,JEY,Total,1028,,,,,
2016,JOR,Total,4224,,,,,
2016,JPN,Total,972845,,,,,
2016,KAZ,Total,836,,,,,
2016,KEN,Total,1004561,,,,,
2016,KGZ,Total,660,,,,,
2016,KHM,Total,194049,,,,,
2016,KIR,Total,14,,,,,
2016,KNA,Total,28780,,,,,
2016,KOR,Total,11052284,,,,,
2016,KWT,Total,9571,,,,,
2016,LAO,Total,1170,,,,,
2016,LBN,Total,18790,,,,,
2016,LBR,Total,65,,,,,
2016,LCA,Total,19,,,,,
2016,LIE,Total,2,,,,,
2016,LKA,Total,104818,,,,,
2016,LSO,Total,1,,,,,
2016,LTU,Total,31282,,,,,
2016,LUX,Total,273,,,,,
2016,LVA,Total,59416,,,,,
2016,MAC,Total,380,,,,,
2016,MAR,Total,13719,,,,,
2016,MCO,Total,12236,,,,,
2016,MDA,Total,26,,,,,
2016,MDG,Total,242158,,,,,
2016,MDV,Total,754,,,,,
2016,MEX,Total,1594087,,,,,
2016,MHL,Total,25419,,,,,
2016,MKD,Total,54732,,,,,
2016,MLI,Total,66420,,,,,
2016,MLT,Total,36209,,,,,
2016,MMR,Total,2613,,,,,
2016,MNE,Total,9,,,,,
2016,MNG,Total,13426,,,,,
2016,MOZ,Total,85885,,,,,
2016,MUS,Total,265809,,,,,
2016,MWI,Total,17826,,,,,
2016,MYS,Total,1222966,,,,,
2016,NAM,Total,51879,,,,,
2016,NCL,Total,374,,,,,
2016,NER,Total,81,,,,,
2016,NGA,Total,162,,,,,
2016,NIC,Total,58668,,,,,
2016,NLD,Total,22181137,,,,,
2016,NOR,Total,2890,,,,,
2016,NPL,Total,31,,,,,
2016,NZL,Total,2834,,,,,
2016,OMN,Total,12947,,,,,
2016,PAK,Total,42651,,,,,
2016,PAN,Total,21390,,,,,
2016,PER,Total,1401705,,,,,
2016,PHL,Total,919973,,,,,
2016,PLW,Total,36666,,,,,
2016,PNG,Total,41263,,,,,
2016,POL,Total,1756,,,,,
2016,PRT,Total,653074,,,,,
2016,PRY,Total,2041,,,,,
2016,PSE,Total,1,,,,,
2016,PYF,Total,17781,,,,,
2016,QAT,Total,4192,,,,,
2016,ROU,Total,36296,,,,,
2016,RUS,Total,176188,,,,,
2016,RWA,Total,241,,,,,
2016,SAU,Total,933,,,,,
2016,SDN,Total,10651,,,,,
2016,SEN,Total,24764,,,,,
2016,SGP,Total,1547006,,,,,
2016,SGS,Total,575,,,,,
2016,SHN,Total,68,,,,,
2016,SLB,Total,74108,,,,,
2016,SLE,Total,1,,,,,
2016,SLV,Total,462087,,,,,
2016,SMR,Total,184,,,,,
2016,SRB,Total,43300,,,,,
2016,STP,Total,5438,,,,,
2016,SUR,Total,21228,,,,,
2016,SVK,Total,183,,,,,
2016,SVN,Total,38110,,,,,
2016,SWE,Total,4453,,,,,
2016,SWZ,Total,47,,,,,
2016,SXM,Total,183,,,,,
2016,SYC,Total,3033,,,,,
2016,SYR,Total,20525,,,,,
2016,TCA,Total,12382,,,,,
2016,TCD,Total,17041,,,,,
2016,TGO,Total,157816,,,,,
2016,THA,Total,31672574,,,,,
2016,TJK,Total,101,,,,,
2016,TKL,Total,21,,,,,
2016,TLS,Total,1250,,,,,
2016,TON,Total,70081,,,,,
2016,TTO,Total,70,,,,,
2016,TUN,Total,375249,,,,,
2016,TUR,Total,40591544,,,,,
2016,TWN,Total,63683434,,,,,
2016,TZA,Total,3331745,,,,,
2016,UGA,Total,2193,,,,,
2016,UKR,Total,35914,,,,,
2016,URY,Total,13531,,,,,
2016,USA,Total,5643154,,,,,
2016,UZB,Total,190748,,,,,
2016,VCT,Total,1,,,,,
2016,VEN,Total,55534,,,,,
2016,VGB,Total,186,,,,,
2016,VNM,Total,1634535,,,,,
2016,VUT,Total,13,,,,,
2016,WSM,Total,43384,,,,,
2016,YEM,Total,5,,,,,
2016,ZAF,Total,724196,,,,,
2016,ZMB,Total,212947,,,,,
2016,ZWE,Total,644526,,,,,
2016,ZWE,Total,327331935,,,,,
2017,ABW,Total,1,,,,,
2017,AFG,Total,1,,,,,
2017,AGO,Total,352,,,,,
2017,ALB,Total,16,,,,,
2017,AND,Total,15,,,,,
2017,ARE,Total,19834,,,,,
2017,ARG,Total,217547,,,,,
2017,ARM,Total,650,,,,,
2017,ATA,Total,7,,,,,
2017,AUS,Total,1190200,,,,,
2017,AUT,Total,331546,,,,,
2017,AZE,Total,6483,,,,,
2017,BEL,Total,52203,,,,,
2017,BEN,Total,43845,,,,,
2017,BES,Total,129,,,,,
2017,BFA,Total,23,,,,,
2017,BGD,Total,300,,,,,
2017,BGR,Total,28797,,,,,
2017,BHR,Total,100,,,,,
2017,BHS,Total,630,,,,,
2017,BLR,Total,164,,,,,
2017,BLZ,Total,47445,,,,,
2017,BOL,Total,226747,,,,,
2017,BRA,Total,72650,,,,,
2017,BRB,Total,1148,,,,,
2017,BRN,Total,8,,,,,
2017,BWA,Total,3218,,,,,
2017,CAF,Total,18,,,,,
2017,CAN,Total,436275,,,,,
2017,CHE,Total,3361573,,,,,
2017,CHL,Total,75910,,,,,
2017,CHN,Total,12147730,,,,,
2017,CIV,Total,473,,,,,
2017,CMR,Total,144,,,,,
2017,COD,Total,6696,,,,,
2017,COG,Total,1687,,,,,
2017,COL,Total,359977,,,,,
2017,COM,Total,30,,,,,
2017,CRI,Total,6181654,,,,,
2017,CUB,Total,10262,,,,,
2017,CUW,Total,1,,,,,
2017,CYP,Total,5673,,,,,
2017,CZE,Total,71573,,,,,
2017,DEU,Total,649905,,,,,
2017,DMA,Total,180,,,,,
2017,DNK,Total,78448,,,,,
2017,DOM,Total,447757,,,,,
2017,DZA,Total,1,,,,,
2017,ECU,Total,192317,,,,,
2017,EGY,Total,128861,,,,,
2017,ERI,Total,6,,,,,
2017,ESP,Total,239698,,,,,
2017,EST,Total,319,,,,,
2017,ETH,Total,669099,,,,,
2017,FIN,Total,6477,,,,,
2017,FJI,Total,61249,,,,,
2017,FLK,Total,87,,,,,
2017,FRA,Total,4075308,,,,,
2017,FRO,Total,37,,,,,
2017,FSM,Total,4735,,,,,
2017,GAB,Total,6582,,,,,
2017,GBR,Total,365417,,,,,
2017,GEO,Total,4244692,,,,,
2017,GGY,Total,18,,,,,
2017,GHA,Total,33059,,,,,
2017,GIN,Total,129,,,,,
2017,GNB,Total,115,,,,,
2017,GNQ,Total,121,,,,,
2017,GRC,Total,4305,,,,,
2017,GRL,Total,380,,,,,
2017,GTM,Total,1799648,,,,,
2017,GUY,Total,18504,,,,,
2017,HKG,Total,130273,,,,,
2017,HND,Total,598410,,,,,
2017,HRV,Total,6195,,,,,
2017,HUN,Total,134401,,,,,
2017,IDN,Total,1529590,,,,,
2017,IMN,Total,1,,,,,
2017,IND,Total,2337276,,,,,
2017,IOT,Total,274,,,,,
2017,IRL,Total,145,,,,,
2017,IRN,Total,41,,,,,
2017,ISL,Total,133,,,,,
2017,ISR,Total,82994,,,,,
2017,ITA,Total,1931074,,,,,
2017,JAM,Total,15632,,,,,
2017,JEY,Total,685,,,,,
2017,JOR,Total,19825,,,,,
2017,JPN,Total,962960,,,,,
2017,KAZ,Total,710,,,,,
2017,KEN,Total,216101,,,,,
2017,KGZ,Total,704,,,,,
2017,KHM,Total,75629,,,,,
2017,KNA,Total,2775,,,,,
2017,KOR,Total,844581,,,,,
2017,KWT,Total,5954,,,,,
2017,LAO,Total,2810,,,,,
2017,LBN,Total,28015,,,,,
2017,LCA,Total,21,,,,,
2017,LIE,Total,34,,,,,
2017,LKA,Total,1147760,,,,,
2017,LSO,Total,9,,,,,
2017,LTU,Total,21438,,,,,
2017,LUX,Total,207,,,,,
2017,LVA,Total,144,,,,,
2017,MAC,Total,110,,,,,
2017,MAR,Total,3574,,,,,
2017,MCO,Total,10092,,,,,
2017,MDA,Total,4018,,,,,
2017,MDG,Total,107670,,,,,
2017,MDV,Total,1804,,,,,
2017,MEX,Total,869205,,,,,
2017,MKD,Total,50774,,,,,
2017,MLI,Total,66216,,,,,
2017,MLT,Total,114,,,,,
2017,MMR,Total,52,,,,,
2017,MNE,Total,4,,,,,
2017,MNG,Total,69,,,,,
2017,MOZ,Total,43392,,,,,
2017,MRT,Total,20,,,,,
2017,MUS,Total,354360,,,,,
2017,MWI,Total,11281,,,,,
2017,MYS,Total,1078468,,,,,
2017,NAM,Total,2059,,,,,
2017,NCL,Total,361,,,,,
2017,NER,Total,117,,,,,
2017,NGA,Total,1,,,,,
2017,NIC,Total,6628,,,,,
2017,NLD,Total,20157466,,,,,
2017,NOR,Total,483,,,,,
2017,NPL,Total,2,,,,,
2017,NZL,Total,625,,,,,
2017,OMN,Total,854,,,,,
2017,PAK,Total,45610,,,,,
2017,PAN,Total,30626,,,,,
2017,PER,Total,44011,,,,,
2017,PHL,Total,73830,,,,,
2017,PLW,Total,37976,,,,,
2017,PNG,Total,104770,,,,,
2017,POL,Total,201055,,,,,
2017,PRK,Total,114,,,,,
2017,PRT,Total,395218,,,,,
2017,PRY,Total,46,,,,,
2017,PYF,Total,9927,,,,,
2017,QAT,Total,414,,,,,
2017,REU,Total,1,,,,,
2017,ROU,Total,32254,,,,,
2017,RUS,Total,121710,,,,,
2017,SAU,Total,1215,,,,,
2017,SDN,Total,11624,,,,,
2017,SEN,Total,8135,,,,,
2017,SGP,Total,1384280,,,,,
2017,SGS,Total,819,,,,,
2017,SLB,Total,35862,,,,,
2017,SLV,Total,27010,,,,,
2017,SMR,Total,73,,,,,
2017,SOM,Total,1,,,,,
2017,SRB,Total,11051,,,,,
2017,STP,Total,628,,,,,
2017,SUR,Total,15317,,,,,
2017,SVK,Total,256,,,,,
2017,SVN,Total,24198,,,,,
2017,SWE,Total,8753,,,,,
2017,SWZ,Total,54,,,,,
2017,SXM,Total,126,,,,,
2017,SYC,Total,2708,,,,,
2017,SYR,Total,19364,,,,,
2017,TCD,Total,11668,,,,,
2017,TGO,Total,111321,,,,,
2017,THA,Total,27975104,,,,,
2017,TJK,Total,52,,,,,
2017,TKM,Total,2,,,,,
2017,TON,Total,14643,,,,,
2017,TTO,Total,38,,,,,
2017,TUN,Total,207937,,,,,
2017,TUR,Total,35406129,,,,,
2017,TWN,Total,14673951,,,,,
2017,TZA,Total,2003098,,,,,
2017,UGA,Total,1652,,,,,
2017,UKR,Total,164798,,,,,
2017,URY,Total,5621,,,,,
2017,USA,Total,4745523,,,,,
2017,UZB,Total,53542,,,,,
2017,VAT,Total,2,,,,,
2017,VEN,Total,26022,,,,,
2017,VGB,Total,5,,,,,
2017,VNM,Total,1462962,,,,,
2017,VUT,Total,2,,,,,
2017,WSM,Total,53551,,,,,
2017,ZAF,Total,103769,,,,,
2017,ZMB,Total,117917,,,,,
2017,ZWE,Total,5059776,,,,,
2018,ABW,Total,2,,,,,
2018,AFG,Total,2,,,,,
2018,AGO,Total,417,,,,,
2018,ALB,Total,18,,,,,
2018,ARE,Total,139704,,,,,
2018,ARG,Total,784565,,,,,
2018,ARM,Total,768,,,,,
2018,ATA,Total,352,,,,,
2018,ATF,Total,3,,,,,
2018,ATG,Total,1,,,,,
2018,AUS,Total,2050622,,,,,
2018,AUT,Total,419659,,,,,
2018,AZE,Total,564,,,,,
2018,BEL,Total,103235,,,,,
2018,BEN,Total,16407,,,,,
2018,BES,Total,407,,,,,
2018,BFA,Total,4,,,,,
2018,BGD,Total,1670,,,,,
2018,BGR,Total,89434,,,,,
2018,BHR,Total,813,,,,,
2018,BHS,Total,40856,,,,,
2018,BLM,Total,100,,,,,
2018,BLR,Total,481,,,,,
2018,BLZ,Total,51161,,,,,
2018,BMU,Total,9499,,,,,
2018,BOL,Total,159305,,,,,
2018,BRA,Total,275207,,,,,
2018,BRB,Total,946,,,,,
2018,BRN,Total,370,,,,,
2018,BTN,Total,206,,,,,
2018,BWA,Total,1711,,,,,
2018,CAF,Total,11111,,,,,
2018,CAN,Total,870921,,,,,
2018,CHE,Total,4805063,,,,,
2018,CHL,Total,267529,,,,,
2018,CHN,Total,110128742,,,,,
2018,CIV,Total,7697,,,,,
2018,CMR,Total,383,,,,,
2018,COD,Total,4438,,,,,
2018,COG,Total,6387,,,,,
2018,COK,Total,301,,,,,
2018,COL,Total,1063646,,,,,
2018,COM,Total,168,,,,,
2018,CRI,Total,8360375,,,,,
2018,CUB,Total,92589,,,,,
2018,CUW,Total,30285,,,,,
2018,CYM,Total,5936,,,,,
2018,CYP,Total,3004,,,,,
2018,CZE,Total,97541,,,,,
2018,DEU,Total,889787,,,,,
2018,DMA,Total,12,,,,,
2018,DNK,Total,112127,,,,,
2018,DOM,Total,5681591,,,,,
2018,ECU,Total,288492,,,,,
2018,EGY,Total,296382,,,,,
2018,ERI,Total,4,,,,,
2018,ESH,Total,1,,,,,
2018,ESP,Total,435625,,,,,
2018,EST,Total,16961,,,,,
2018,ETH,Total,1762865,,,,,
2018,FIN,Total,5157,,,,,
2018,FJI,Total,22929,,,,,
2018,FLK,Total,261,,,,,
2018,FRA,Total,5055521,,,,,
2018,FRO,Total,216,,,,,
2018,FSM,Total,23326,,,,,
2018,GAB,Total,5290,,,,,
2018,GBR,Total,270980,,,,,
2018,GEO,Total,16232249,,,,,
2018,GGY,Total,134,,,,,
2018,GHA,Total,79121,,,,,
2018,GIB,Total,1,,,,,
2018,GIN,Total,84,,,,,
2018,GLP,Total,2948,,,,,
2018,GNB,Total,145,,,,,
2018,GNQ,Total,2,,,,,
2018,GRC,Total,25799,,,,,
2018,GRD,Total,581,,,,,
2018,GRL,Total,6414,,,,,
2018,GTM,Total,7501200,,,,,
2018,GUM,Total,11,,,,,
2018,GUY,Total,65672,,,,,
2018,HKG,Total,877404,,,,,
2018,HND,Total,526766,,,,,
2018,HRV,Total,8226,,,,,
2018,HTI,Total,16692,,,,,
2018,HUN,Total,82002,,,,,
2018,IDN,Total,6049990,,,,,
2018,IMN,Total,46,,,,,
2018,IND,Total,1277672,,,,,
2018,IRL,Total,354,,,,,
2018,IRN,Total,294,,,,,
2018,IRQ,Total,29,,,,,
2018,ISL,Total,2177,,,,,
2018,ISR,Total,175586,,,,,
2018,ITA,Total,3402487,,,,,
2018,JAM,Total,253992,,,,,
2018,JEY,Total,1535,,,,,
2018,JOR,Total,5952,,,,,
2018,JPN,Total,1345808,,,,,
2018,KAZ,Total,697,,,,,
2018,KEN,Total,2960651,,,,,
2018,KGZ,Total,700,,,,,
2018,KHM,Total,474485,,,,,
2018,KIR,Total,1321,,,,,
2018,KNA,Total,40065,,,,,
2018,KOR,Total,6260494,,,,,
2018,KWT,Total,15297,,,,,
2018,LAO,Total,489,,,,,
2018,LBN,Total,39011,,,,,
2018,LBR,Total,7235,,,,,
2018,LCA,Total,14,,,,,
2018,LIE,Total,4,,,,,
2018,LKA,Total,1117508,,,,,
2018,LSO,Total,8,,,,,
2018,LTU,Total,32327,,,,,
2018,LUX,Total,17,,,,,
2018,LVA,Total,182,,,,,
2018,MAC,Total,456,,,,,
2018,MAF,Total,1,,,,,
2018,MAR,Total,27009,,,,,
2018,MCO,Total,9503,,,,,
2018,MDA,Total,34,,,,,
2018,MDG,Total,291507,,,,,
2018,MDV,Total,48,,,,,
2018,MEX,Total,2812067,,,,,
2018,MHL,Total,25965,,,,,
2018,MKD,Total,33426,,,,,
2018,MLI,Total,44440,,,,,
2018,MLT,Total,63,,,,,
2018,MMR,Total,2916,,,,,
