year,geo,value
2009,BRN,82.3327
2010,BRN,82.0162
2011,BRN,80.771
2012,BRN,92.692
2013,BRN,82.8637
2014,BRN,81.7506
2015,BRN,79.6911
2016,BRN,76.3622
2017,BRN,69.5931
2018,BRN,74.5035
2019,BRN,73.9636
2004,BGR,26.3927
2005,BGR,34.4463
2006,BGR,54.8528
2007,BGR,67.5952
2008,BGR,80.0081
2009,BGR,87.8238
2010,BGR,90.5515
2011,BGR,93.8633
2012,BGR,93.1155
2013,BGR,93.7376
2014,BGR,90.4798
2015,BGR,91.2663
2016,BGR,94.1648
2017,BGR,94.6671
2018,BGR,93.4047
2019,BGR,94.3316
2020,BGR,91.3644
2004,BFA,
2005,BFA,
2006,BFA,
2007,BFA,
2008,BFA,
2009,BFA,
2010,BFA,1.34653
2011,BFA,2.21838
2012,BFA,2.30556
2013,BFA,2.65444
2014,BFA,3.20843
2015,BFA,3.45951
2016,BFA,3.69235
2017,BFA,3.97284
2018,BFA,3.96374
2019,BFA,4.35856
2020,BFA,4.3772
2004,BDI,0.053467
2005,BDI,0.051216
2006,BDI,0.049156
2007,BDI,0.047174
2008,BDI,0.067961
2009,BDI,0.283325
2010,BDI,0.525275
2011,BDI,0.712589
2012,BDI,0.987617
2013,BDI,1.55341
2014,BDI,1.50819
2015,BDI,1.42725
2016,BDI,1.41869
2017,BDI,
2018,BDI,
2019,BDI,
2020,BDI,
2004,CPV,13.2423
2005,CPV,15.2379
2006,CPV,20.1575
2007,CPV,27.7006
2008,CPV,34.4777
2009,CPV,37.5274
2010,CPV,42.285
2011,CPV,44.2395
2012,CPV,46.4929
2013,CPV,45.9201
2014,CPV,47.3308
2015,CPV,45.97
2016,CPV,45.717
2017,CPV,47.0261
2018,CPV,49.3182
2019,CPV,52.0676
2020,CPV,49.7677
2004,KHM,
2005,KHM,0.011971
2006,KHM,0.74478
2007,KHM,1.33586
2008,KHM,3.72432
2009,KHM,4.35921
2010,KHM,5.25023
2011,KHM,6.02813
2012,KHM,7.17619
2013,KHM,8.47935
2014,KHM,10.9165
2015,KHM,13.3379
2016,KHM,14.486
2017,KHM,16.7229
2018,KHM,19.4461
2019,KHM,23.276
2020,KHM,26.3494
2004,CMR,0.322867
2005,CMR,0.596021
2006,CMR,0.687349
2007,CMR,0.886948
2008,CMR,1.213
2009,CMR,1.53735
2010,CMR,1.7985
2011,CMR,2.34251
2012,CMR,2.58203
2013,CMR,3.1583
2014,CMR,3.58157
2015,CMR,3.93814
2016,CMR,4.28689
2017,CMR,4.3747
2018,CMR,4.81123
2019,CMR,4.60623
2020,CMR,5.03913
2004,CAN,185.084
2005,CAN,198.362
2006,CAN,206.498
2007,CAN,212.015
2008,CAN,217.776
2009,CAN,216.257
2010,CAN,218.223
2011,CAN,207.648
2012,CAN,203.394
2013,CAN,221.006
2014,CAN,221.854
2015,CAN,221.491
2016,CAN,223.888
2017,CAN,228.417
2018,CAN,219.964
2019,CAN,214.121
2020,CAN,210.232
2004,CAF,0
2005,CAF,0
2006,CAF,0
2007,CAF,0
2008,CAF,0.125381
2009,CAF,0.329782
2010,CAF,0.69271
2011,CAF,0.977305
2012,CAF,0.978649
2013,CAF,1.22507
2014,CAF,0.69365
2015,CAF,0.852951
2016,CAF,1.16103
2017,CAF,1.37575
2018,CAF,
2019,CAF,
2020,CAF,
2004,TCD,0
2005,TCD,0.077903
2006,TCD,0.075287
2007,TCD,0.090924
2008,TCD,0.280955
2009,TCD,0.338838
2010,TCD,0.424597
2011,TCD,0.47285
2012,TCD,0.395081
2013,TCD,0.453843
2014,TCD,0.465382
2015,TCD,0.855891
2016,TCD,1.12792
2017,TCD,1.12676
2018,TCD,1.14863
2019,TCD,1.03769
2020,TCD,1.45629
2004,CHL,33.4138
2005,CHL,39.4708
2006,CHL,43.4494
2007,CHL,48.9485
2008,CHL,54.8709
2009,CHL,57.8098
2010,CHL,61.6781
2011,CHL,64.638
2012,CHL,67.5421
2013,CHL,63.8723
2014,CHL,56.6289
2015,CHL,55.8794
2016,CHL,53.2291
2017,CHL,51.598
2018,CHL,49.6892
2019,CHL,49.615
2020,CHL,49.4673
2004,HKG,39.8036
2005,HKG,41.1266
2006,HKG,42.2651
2007,HKG,41.6478
2008,HKG,42.8225
2009,HKG,44.1568
2010,HKG,46.8778
2011,HKG,49.6153
2012,HKG,48.9073
2013,HKG,50.152
2014,HKG,49.7609
2015,HKG,49.4053
2016,HKG,50.6518
2017,HKG,50.4318
2018,HKG,51.7956
2019,HKG,53.1754
2020,HKG,52.0381
2004,MAC,54.4307
2005,MAC,54.6548
2006,MAC,65.2311
2007,MAC,87.1143
2008,MAC,113.677
2009,MAC,131.085
2010,MAC,139.404
2011,MAC,153.364
2012,MAC,175.637
2013,MAC,213.943
2014,MAC,219.581
2015,MAC,246.894
2016,MAC,282.426
2017,MAC,313.208
2018,MAC,324.172
2019,MAC,322.704
2020,MAC,321.326
2004,CHN,
2005,CHN,
2006,CHN,9.62064
2007,CHN,11.9959
2008,CHN,15.6204
2009,CHN,19.8934
2010,CHN,24.9138
2011,CHN,30.4737
2012,CHN,37.69
2013,CHN,46.8552
2014,CHN,55.0537
2015,CHN,77.1327
2016,CHN,81.7436
2017,CHN,84.4295
2018,CHN,97.119
2019,CHN,95.547
2020,CHN,87.8769
2004,COL,
2005,COL,
2006,COL,
2007,COL,25.3125
2008,COL,27.233
2009,COL,28.6662
2010,COL,34.9517
2011,COL,32.5053
2012,COL,36.0541
2013,COL,39.5167
2014,COL,40.9685
2015,COL,41.3144
2016,COL,41.6141
2017,COL,42.0159
2018,COL,42.3373
2019,COL,42.434
2020,COL,41.1489
2004,COM,0.583473
2005,COM,0.566426
2006,COM,0.550527
2007,COM,1.07027
2008,COM,1.04049
2009,COM,1.51748
2010,COM,1.96746
2011,COM,6.942
2012,COM,5.59173
2013,COM,5.89613
2014,COM,5.07711
2015,COM,4.94243
2016,COM,5.02571
2017,COM,5.10011
2018,COM,4.96786
2019,COM,5.22637
2020,COM,6.22313
2004,COD,
2005,COD,
2006,COD,
2007,COD,
2008,COD,
2009,COD,0.098057
2010,COD,0.405479
2011,COD,0.487847
2012,COD,0.653472
2013,COD,0.72144
2014,COD,1.10752
2015,COD,1.31265
2016,COD,1.19933
2017,COD,1.35164
2018,COD,1.40087
2019,COD,
2020,COD,
2004,COG,0.490084
2005,COG,0.522153
2006,COG,0.5963
2007,COG,0.664375
2008,COG,1.11231
2009,COG,1.3654
2010,COG,1.92433
2011,COG,2.38685
2012,COG,2.79062
2013,COG,3.66114
2014,COG,6.45869
2015,COG,7.72512
2016,COG,9.01148
2017,COG,9.50436
2018,COG,
2019,COG,
2020,COG,
2004,CRI,25.4747
2005,CRI,28.041
2006,CRI,30.9968
2007,CRI,35.5624
2008,CRI,37.9081
2009,CRI,41.4917
2010,CRI,43.2647
2011,CRI,51.7782
2012,CRI,53.699
2013,CRI,71.3807
2014,CRI,78.7988
2015,CRI,60.5983
2016,CRI,63.2574
2017,CRI,64.2471
2018,CRI,74.3391
2019,CRI,70.514
2020,CRI,66.8219
2004,CIV,
2005,CIV,
2006,CIV,
2007,CIV,
2008,CIV,
2009,CIV,
2010,CIV,3.68859
2011,CIV,4.46322
2012,CIV,4.31618
2013,CIV,5.57021
2014,CIV,6.6079
2015,CIV,6.75372
2016,CIV,6.80442
2017,CIV,7.10395
2018,CIV,6.89752
2019,CIV,6.00441
